Area,Province,Author,Sample,Unique_Id,Flow,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,Region
Scanian,Scanian,Tappe_2016,CJBG-21,,,,,,176.7,0.5,Stratigraphic,,,44.83384587,2.44453684,14.35515251,10.62357222,11.23446718,10.31906615,0.208045688,1.601951801,3.630397264,0.748964479,,2.5,,25,,218,281,,160,17,86,15,49,992,31,315,110,,1.3,1087,63.3,114,12.9,48,8.32,2.59,7.47,1.04,5.46,0.98,2.66,0.35,2.14,0.33,5.17,6.3,,4.8,9.56,2.06,0.70362,0.51263,18.97,15.6,38.34,
Scanian,Scanian,Tappe_2016,CJBG-22,,,,,,176.7,0.5,Stratigraphic,,,44.83710793,2.371893413,14.35619697,10.59626321,11.44334541,9.903695302,0.208060826,1.248364954,4.234037802,0.801034179,,2.6,,,,205,257,,149,19,91,16,47,1068,29,345,120,,,998,,145,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-24,,,,,,176.7,0.5,Stratigraphic,,,46.11906888,2.159874945,14.50350809,9.942605549,10.43417848,10.19419237,0.198249391,1.617297664,4.204973927,0.626050709,,2.9,,20,,199,305,,173,15,90,15,51,1077,24,366,119,,1,970,54.4,96.3,10.8,39.7,6.98,2.17,6.31,0.86,4.53,0.81,2.19,0.29,1.8,0.27,5.95,7.6,,4.29,10.2,2.56,0.70451,0.51266,18.88,15.59,38.4,
Scanian,Scanian,Tappe_2016,CJBG-25,,,,,,176.7,0.5,Ar-Ar,,,47.0612567,2.103180056,15.40943804,9.209256983,9.266486386,8.100366751,0.197823867,1.832473712,6.080480954,0.739236554,,2.7,,18.3,,171,196,,112,20,91,20,84,884,27,525,173,,1.6,789,62.2,113,12.3,44.6,7.67,2.33,6.7,0.9,4.7,0.87,2.36,0.31,1.97,0.31,9.25,12.1,,6.69,15.6,4.5,0.70377,0.51263,19.08,15.6,38.42,
Scanian,Scanian,Tappe_2016,CJBG-26,,,,,,176.7,0.5,Stratigraphic,,,44.7069735,2.461973886,14.31859289,11.22472405,11.43427202,9.518258874,0.195721773,1.462762727,3.88353203,0.793188239,,1.8,,,,182,277,,181,20,93,16,64,1106,28,277,92,,,1137,,121,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-29,,,,,,176.7,0.5,Stratigraphic,,,44.35204042,2.512924324,14.17547055,11.58587196,14.17547055,7.52803398,0.236257842,0.966509355,3.672735551,0.79468547,,4.8,,23.4,,186,318,,159,16,100,17,35,1186,32,304,95,,0.87,2330,74.4,140,15.7,57.1,9.83,2.97,8.79,1.17,6.07,1.1,2.95,0.38,2.28,0.36,4.87,5.3,,3.89,7.67,3.67,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-32,,,,,,176.7,0.5,Stratigraphic,,,45.2456226,2.399070221,15.04680007,10.32948936,10.83790495,8.99651333,0.210444756,1.515202245,4.503517784,0.91543469,,3.8,,,,196,221,,135,16,95,20,36,1008,27,378,136,,,964,,139,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-33,,,,,,176.7,0.5,Stratigraphic,,,45.16354036,2.385398258,15.05451345,10.14999893,10.81380544,9.276548783,0.201433631,1.017769924,5.035840768,0.901150453,,4.1,,21.7,,180,224,,137,12,91,16,45,948,27,366,134,,1.1,634,67.9,124,13.7,50,8.69,2.62,7.48,0.99,5.09,0.89,2.36,0.3,1.85,0.29,6.41,8.3,,5.44,12.9,3.08,0.70388,0.51266,19.46,15.62,39.05,
Scanian,Scanian,Tappe_2016,CJBG-34,,,,,,176.7,0.5,Stratigraphic,,,45.44846088,2.184424885,15.11497788,9.641419926,10.35272457,9.369215739,0.196701767,1.977370393,4.886485999,0.828217966,,2.3,,,,195,229,,160,18,95,18,64,1081,31,388,143,,,1049,,118,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-35,,,,,,176.7,0.5,Stratigraphic,,,45.82685072,2.244152415,15.10083868,9.709568716,10.59156046,9.133910064,0.199247177,1.772251206,4.561711685,0.859908869,,2.9,,,,180,229,,130,16,93,17,47,1090,28,387,138,,,2072,,102,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-38,,,,,,176.7,0.5,Stratigraphic,,,44.61698374,2.313857529,14.8377411,10.0085814,10.89484487,9.483703055,0.207520855,1.753551221,5.011628639,0.871587589,,2.4,,,,191,224,,138,15,90,18,71,1048,27,386,136,,,900,,113,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-43,,,,,,176.7,0.5,Stratigraphic,,,44.03186471,2.577220518,14.19036398,10.87199328,11.58184119,10.2775798,0.208681823,1.648586404,3.829311457,0.782556837,,2.5,,24.4,,188,289,,156,16,86,14,68,1008,30,322,113,,3.5,1012,65.1,115,13.4,49.7,8.77,2.7,8,1.07,5.64,1.02,2.76,0.36,2.15,0.34,5.51,7.1,,3.92,9.88,2.12,0.70408,0.51267,18.93,15.6,38.45,
Scanian,Scanian,Tappe_2016,CJBG-44,,,,,,176.7,0.5,Stratigraphic,,,44.78244708,2.395340193,14.37204116,10.47676393,11.35182961,9.685505996,0.208290452,1.426789593,4.488659231,0.812332761,,2.2,,,,174,262,,147,13,95,16,69,1071,31,342,121,,,1027,,158,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-53,,,,,,176.7,0.5,Stratigraphic,,,45.79105564,2.473769673,14.31628406,10.80744495,11.05301343,9.252951244,0.20000691,1.54742188,3.926451438,0.631600768,,3.5,,,,179,349,,157,12,93,17,42,992,31,341,91,,,992,,105,,,,,,,,,,,,,,,,,,,,,,,,
