Province,Author,Sample,Unique_Id,Flow,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,P,T
Harrat_Rahat,Stelten_2018,R14DS068,Medinah,,0.3664,0.0093,Ar-Ar,24.26207985,39.93035941,47.26,1.96,16.26,10.95,10.87,8.16,0.17,0.79,3.23,0.34,,0.34,,24.5,,240,254,,150,83,86,18,7.05,603.91,31.23,222.13,22.17,,0.04,130.74,23.56,56.7,7.75,34.1,7.97,2.83,7.83,1.17,6.86,1.28,3.26,0.42,2.58,0.37,4.89,1.5,,1.71,1.5,0.4,,,,,,,
Harrat_Rahat,Stelten_2018,R15DS202,Medinah,,0.3664,0.0093,Stratigraphic,24.24127097,39.92608116,47.86,1.75,16.74,10.66,11.45,7.96,0.17,0.46,2.8,0.16,,0,,31.04,,282,250,,115,105,82,18,3.43,372.54,25.53,157.68,11.81,,0.03,78.69,11.94,29.17,4.05,17.74,4.67,1.68,5.05,0.87,5.3,1.05,2.74,0.38,2.26,0.34,3.5,0.76,,0.93,0.76,0.18,,,,,,,
Harrat_Rahat,Stelten_2018,R15TS200,Medinah,,0.3664,0.0093,Stratigraphic,24.19734401,39.96806177,46.98,1.53,15.41,12,10.29,10.49,0.18,0.28,2.67,0.16,,0,,24.02,,245,423,,269,104,88,19,6.44,582.84,30.67,215.49,21.77,,0.06,128.39,21.41,50.55,6.77,29.98,7.05,2.58,7.19,1.12,6.51,1.26,3.24,0.44,2.57,0.39,4.84,1.48,,1.61,1.48,0.46,,,,,,2.372346236,1430.551699
Harrat_Rahat,Stelten_2018,R16MS070,Medinah,,0.3664,0.0093,Ar-Ar,24.24141819,39.96915336,47.59,2.23,16.16,11.49,10.67,7.66,0.18,0.74,2.97,0.29,,0,,26.73,,281,199,,110,94,89,20,8.83,526.7,40.32,280.57,29.57,,0.07,165.67,28.96,68.46,9.32,40.77,9.53,3.29,9.48,1.46,8.65,1.67,4.16,0.56,3.38,0.51,6.14,2.01,,2.14,2.01,0.52,,,,,,,
Harrat_Rahat,Stelten_2018,R17JRD006,Medinah,,0.3664,0.0093,Stratigraphic,24.2579068,39.92602431,48,1.86,16.64,11.04,11.25,7.57,0.17,0.5,2.81,0.16,,0,,23.41,,280,205,,108,111,82,20,8.65,583.02,33.63,235.63,24.73,,0.04,149.39,24.41,57.66,7.86,34.49,8.04,2.83,7.89,1.24,7.26,1.38,3.43,0.47,2.78,0.44,5.11,1.71,,1.77,1.71,0.54,,,,,,,
Harrat_Rahat,Stelten_2018,R14AC013,Medinah,,0.4171,0.0018,Ar-Ar,24.19293345,39.89009039,59.2,0.87,16.62,8.35,3.01,0.82,0.25,4,6.46,0.43,,0,,31.37,,7,3,,5,11,131,28,22.69,391.92,64.78,558.61,44.6,,0.24,498.56,55.13,126.22,16.38,67.7,14.77,5.35,13.89,2.25,13.21,2.61,6.89,0.97,5.93,0.95,11.65,2.91,,4.92,2.91,1.18,,,,,,,
Harrat_Rahat,Stelten_2018,R15TS204,Medinah,,0.4171,0.0018,Stratigraphic,24.19267446,39.90188371,58.93,0.92,16.62,8.64,3.29,0.88,0.26,3.91,6.09,0.46,,0.13,,29.74,,6,0,,1,11,129,28,20.15,390.92,63,537.11,42.4,,0.18,454.04,53.51,123.67,16.07,66.31,14.66,5.24,13.68,2.22,13.02,2.54,6.61,0.94,5.72,0.88,11.36,2.85,,4.73,2.85,1.1,,,,,,,
Harrat_Rahat,Stelten_2018,R14TS069,Medinah,,0.4304,0.0043,Ar-Ar,24.1972607,39.89296593,59.42,0.78,16.37,8.27,3.23,0.68,0.25,4.3,6.35,0.34,,0.83,,31.16,,6,0,,3,10,133,29,23.38,404.43,63.48,543.5,44.17,,0.18,496.63,55.13,127.68,16.51,67.6,14.73,5.28,13.74,2.19,13.04,2.57,6.77,0.97,5.94,0.94,11.45,2.93,,5.03,2.93,0.67,,,,,,,
Harrat_Rahat,Stelten_2018,R14TS070,Medinah,,0.4304,0.0043,Ar-Ar,24.20280671,39.88974538,60.4,0.67,16.4,7.76,2.61,0.53,0.25,4.68,6.46,0.26,,0.53,,23.71,,5,1,,3,9,136,28,14.3,480.14,45.42,374.12,33.3,,0.11,295.03,37.22,85.9,11.22,47.48,10.52,3.66,10.25,1.59,9.44,1.82,4.72,0.67,3.96,0.63,7.87,2.24,,3.11,2.24,0.78,,,,,,,
Harrat_Rahat,Stelten_2018,R14AC012,Medinah,,0.4304,0.0043,Stratigraphic,24.20163952,39.88546395,60.06,0.7,16.54,7.81,2.72,0.6,0.24,4.54,6.49,0.29,,0.61,,32.65,,7,4,,3,8,135,28,22.31,395.08,69.73,619.11,47.53,,0.21,627.83,56.28,129.08,16.6,67.42,14.89,5.58,14.25,2.33,13.93,2.76,7.35,1.05,6.49,1.05,12.64,3.14,,5.24,3.14,0.9,,,,,,,
