Unnamed: 0,Area,Province,Author,Sample,Unique_Id,Flow,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,Region,src_FeIII_totFe,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,T,P_err,T_err,Fit_Tp
571,Arabia,Harrat_Rahat,Downs_2019,R14TS022,Medinah,bhb,0.0,0.0,0.0,0.2464,0.025,Stratigraphic,24.39440058,39.86536406,45.982136367864356,1.9352550709372833,16.338628877585265,9.389754496335561,10.528897978152639,9.021937062258854,0.1725073680036308,0.5056250441485731,2.954436532475976,0.2547953653846731,0.5762142659983347,0.0,0.0,24.8,0.0,250.0,183.0,0.0,178.0,71.0,80.0,19.0,4.2,493.0,21.03,144.0,10.45,0.0,0.04,60.0,12.23,29.06,3.96,17.57,4.32,1.62,4.66,0.76,4.53,0.86,2.2,0.3,1.82,0.28,3.36,0.74,0.0,1.11,0.79,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.290837542044386,0.026517832609518132,0.022456196200955403,0.0,0.0,11.55,99.99999999999999,44.92237528887663,13.165320742131112,9.825074746842443,1.8459083216282175,16.561851420367184,8.48396275979569,2.380622318662069,0.4074219404421654,1.559387505378637,0.1390027796802684,0.02136750729245077,0.20530870332085616,0.018094726788206367,0.0,0.46430123879409063,0.0,0.17763157894736853,2.5509149876237736,1443.2769553629714,0.24,39.0,True
572,Arabia,Harrat_Rahat,Downs_2019,R15MS031,Medinah,bhb,0.0,0.0,0.0,0.2464,0.025,Ar-Ar,24.41039832,39.88195339,46.210328136213,1.907265901848414,15.723797331082768,10.098700483729946,9.967322063685739,8.728837711836118,0.19221277140706094,0.5350252399990356,3.150704191105432,0.3556927058512107,0.608541671124829,0.0,0.0,28.4,0.0,237.0,237.0,0.0,186.0,94.0,92.0,18.0,4.4,385.0,25.65,144.0,12.51,0.0,0.04,88.0,12.44,30.71,4.33,19.5,5.0,1.87,5.47,0.91,5.41,1.04,2.7,0.36,2.2,0.33,3.4,0.84,0.0,0.95,0.72,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.4638005395155758,0.034320799095458134,0.02345045350540217,0.0,0.0,12.43,99.99999999999997,44.803043572238565,11.87868265268939,10.564904907170423,1.8613000480854638,18.21959643986243,7.529902173034363,2.380227525869707,0.40418957986466675,1.440861002295344,0.14520884906249096,0.025927953169158666,0.26871122068780756,0.01771585383523499,0.0,0.4597282221349596,0.0,0.21905505661850852,2.834435806853773,1492.4794477927803,0.24,39.0,True
592,Arabia,Harrat_Rahat,Downs_2019,R15DS214,Medinah,blqh,0.0,0.0,0.0,0.22,0.04,Stratigraphic,24.33966693,40.01614784,47.226697015403666,1.7479237798261,15.930821502673997,9.547177551752032,10.392255522305094,8.685027298965576,0.1766782696246711,0.3573268374431551,2.888391935998837,0.21439610246589305,0.42700557074457035,0.0,0.0,29.9,0.0,263.0,384.0,0.0,169.0,108.0,84.0,18.0,3.0,363.0,21.05,106.0,7.82,0.0,0.04,66.0,8.83,21.51,2.94,13.43,3.63,1.4,4.09,0.7,4.34,0.85,2.22,0.31,1.85,0.28,2.59,0.55,0.0,1.05,0.57,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.3292443657235484,0.05570868326473766,0.02134556380812336,0.0,0.0,11.73,100.00000000000001,45.77898060487547,12.507346253586862,10.036018904609191,1.8286982743752862,17.066657957644086,8.158997836451974,2.2676870777531377,0.280538607557087,1.3723013553000885,0.1387107559587821,0.04373709107258021,0.16832316453425272,0.016758480250464072,0.0,0.335243636030721,0.0,0.19484702093397757,2.405188870672728,1452.7642269140965,0.24,39.0,True
593,Arabia,Harrat_Rahat,Downs_2019,R16MS072,Medinah,blqh,0.0,0.0,0.0,0.22,0.04,Stratigraphic,24.32439384,40.01506018,47.17103468306988,1.7669284877075837,15.803090743991424,9.425868622402323,10.750469394310748,8.596404889633526,0.17867816167829498,0.367282887894273,2.928336538616501,0.2163991069214906,0.4216804615607762,0.0,0.0,31.2,0.0,255.0,365.0,0.0,168.0,118.0,83.0,18.0,2.4,385.0,21.84,110.0,7.69,0.0,0.02,82.0,8.81,21.24,2.99,13.64,3.65,1.44,4.18,0.72,4.47,0.89,2.29,0.33,1.92,0.29,2.64,0.52,0.0,0.94,0.54,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.299648378986304,0.052956633558213076,0.021221009668658836,0.0,0.0,11.58,100.00000000000001,45.76483849742502,12.475474074879115,9.927011332425836,1.8154172622396338,16.83061502979272,8.486770366265132,2.3117241533224435,0.28994506329806885,1.394870845055576,0.1410543551179796,0.041805689769866775,0.1708324967539979,0.016752555576178736,0.0,0.33288827807843147,0.0,0.19126566922765884,2.396052627336943,1450.384740679448,0.24,39.0,True
603,Arabia,Harrat_Rahat,Downs_2019,R16MS091,Medinah,bmd,0.0,0.0,0.0,0.22,0.04,Stratigraphic,24.01013591,39.7756339,45.86559219345256,2.249187605943774,16.309087221953533,9.62791011760161,10.443364478699285,8.72922590676857,0.18033134109328938,0.5053240876789977,2.7842366399568306,0.28337782171802617,0.6200623805284643,0.4,0.0,29.5,0.0,279.0,210.0,0.0,182.0,72.0,84.0,19.0,2.7,505.0,23.97,167.0,11.3,0.0,0.02,60.0,12.92,31.29,4.33,19.0,5.0,1.77,5.19,0.86,5.15,0.97,2.5,0.35,2.07,0.32,3.74,0.77,0.0,1.21,0.77,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.3489408543576182,0.030412187093302127,0.022947163154121073,0.0,0.0,11.85,99.99999999999999,44.697362673697036,12.765978214900425,10.106535153637022,1.838639242449705,17.191354516093057,8.174569282202336,2.179368091365127,0.3955436749452753,1.7605571414230743,0.14115480164713665,0.02380521439470635,0.22181468830264392,0.01796194850959815,0.0,0.48535535643284766,0.0,0.19678714859437765,2.6332548695114957,1456.5753845878144,0.24,39.0,True
610,Arabia,Harrat_Rahat,Downs_2019,R14TS001,Medinah,bmt,0.0,0.0,0.0,0.22,0.04,Stratigraphic,24.22847125,39.84905247,46.94708034627086,1.8506934019402905,16.155114522031063,9.251879283458502,10.250757556055335,8.871420382491259,0.16869591331359218,0.40685484975631053,3.0762195957184457,0.21930468730766983,0.47473014664248525,0.0,0.0,27.1,0.0,242.0,328.0,0.0,178.0,100.0,80.0,17.0,3.3,419.0,20.39,126.0,9.44,0.0,0.02,51.0,9.91,23.92,3.24,14.24,3.71,1.46,4.23,0.71,4.31,0.83,2.11,0.3,1.73,0.27,2.9,0.75,0.0,0.77,0.67,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.257199845350676,0.04757272387230588,0.022476745791232468,0.0,0.0,11.37,100.00000000000004,45.71806513024636,13.063078234514226,9.707143469136309,1.8251791487171736,16.330586880744494,8.288795955929439,2.4874411871617923,0.3289841570117202,1.4964767142118518,0.1364080651024209,0.03846745951106643,0.17733048463314666,0.018174769874131604,0.0,0.3838683432058711,0.0,0.175257731958763,2.3673043455479648,1435.1852554540055,0.24,39.0,True
611,Arabia,Harrat_Rahat,Downs_2019,R14TS035,Medinah,bmt,0.0,0.0,0.0,0.22,0.04,Stratigraphic,24.22198909,39.83061336,47.308689919235,1.6557546921346307,14.826620570548455,9.343441531529615,8.704086792583484,10.38555810478711,0.18199454202674556,0.7616075943510547,3.3728336321260994,0.31552314623115124,0.7612119540423009,0.56,0.0,23.0,0.0,200.0,427.0,0.0,329.0,89.0,89.0,18.0,8.0,470.0,24.24,221.0,18.38,0.0,0.09,111.0,17.22,38.48,4.92,20.01,4.77,1.66,4.92,0.81,4.97,0.96,2.51,0.35,2.17,0.33,4.58,1.3,0.0,2.1,1.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.2795384736286732,0.06173009568555782,0.04140895109013701,0.0,0.0,11.52,100.00000000000001,46.308264703740804,12.609679568799418,9.611909964624504,1.9386919345805054,16.046183371617353,7.402613756199792,2.8685128305274206,0.6477287036674806,1.4081790258952795,0.15478192399326815,0.05249994242736701,0.2683447486622422,0.03521730404053898,0.0,0.6473922212240185,0.0,0.13941480206540455,2.3223428008561493,1424.7088585239094,0.24,39.0,True
612,Arabia,Harrat_Rahat,Downs_2019,R16MS098,Medinah,bmt,0.0,0.0,0.0,0.22,0.04,Stratigraphic,24.22091884,39.83967639,46.32817755886495,1.3675483429140884,14.706099571626865,9.166141414940691,9.225996429369685,12.63495751605408,0.1902675955358732,0.4657592182388562,2.75491622702983,0.2477442650206682,0.5434518197493378,0.0,0.0,27.7,0.0,207.0,545.0,0.0,426.0,92.0,80.0,15.0,4.7,318.0,21.24,138.0,11.07,0.0,0.04,110.0,11.73,27.42,3.54,15.11,3.72,1.35,3.99,0.68,4.32,0.86,2.23,0.32,1.94,0.32,3.05,0.76,0.0,1.26,0.83,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.2362822028231615,0.07893845787041748,0.05371937996149158,0.0,0.0,11.28,100.0,45.91266308383656,13.609685564293425,9.258776948821524,2.069556068569564,15.333959882055037,8.53815179269351,2.5495233065185774,0.4310345158502635,1.2655907061135387,0.17608218519840538,0.073053197097846,0.2292736786437572,0.0497143288350405,0.0,0.5029347414729461,0.0,0.07192575406032486,2.2104534808175598,1404.7939514811878,0.24,39.0,True
616,Arabia,Harrat_Rahat,Downs_2019,R17TS230,Medinah,bmuf,0.0,0.0,0.0,0.41,0.05,Stratigraphic,23.98910958,39.75582752,47.14782191685678,1.7268336628772945,16.444143448676247,9.005750348111995,10.952832260803081,8.6490633718581,0.17178966283943178,0.32769126437579477,2.7307605364649565,0.17973369349096624,0.4019679509676415,0.0,0.0,31.2,0.0,262.0,297.0,0.0,169.0,116.0,79.0,19.0,2.0,383.0,20.42,111.0,7.17,0.0,0.02,64.0,8.17,20.24,2.83,13.15,3.54,1.34,4.06,0.69,4.23,0.84,2.16,0.3,1.82,0.28,2.67,0.49,0.0,0.82,0.51,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.1971512673505558,0.04310581968104955,0.021354795646113818,0.0,0.0,11.06,100.00000000000003,45.929252177585596,13.416969018886062,9.486433641982156,1.792681423380655,15.866372824529392,8.936543978159033,2.228059468715987,0.26736713624591774,1.408943787671667,0.14016519566831492,0.03517054257033304,0.14664682321366995,0.017423627596219817,0.0,0.3279703537949932,0.0,0.16909015371832165,2.20069901645804,1418.8368249591513,0.24,39.0,True
618,Arabia,Harrat_Rahat,Downs_2019,R15DD060,Medinah,bmy,0.0,0.0,0.0,0.6604,0.0134,Stratigraphic,24.1276131,39.79966353,46.87584245138832,2.132337015389882,15.671392522744917,9.82021232333216,8.853447478171152,8.517490765829834,0.19762159549489175,0.8003674617543116,3.3101617245394372,0.46243453345804675,0.8926567468504262,0.0,0.0,25.1,0.0,221.0,297.0,0.0,217.0,83.0,94.0,18.0,5.9,452.0,27.91,210.0,18.98,0.0,0.04,138.0,19.77,45.17,6.02,25.37,6.01,2.08,6.03,0.97,5.8,1.13,2.92,0.41,2.43,0.37,4.6,1.32,0.0,1.64,1.43,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.3958572154272733,0.04289329301033707,0.0272848726089966,0.0,0.0,12.12,99.99999999999997,45.385188497214045,12.029993875800418,10.321678456324491,1.8391567684269887,17.58964556118395,6.796263879392947,2.541013838835524,0.6143943908826202,1.636868019166288,0.15170231873644913,0.03292662419618132,0.3549834258432914,0.020944970264246358,0.0,0.685239373732542,0.0,0.2091735863977858,2.6299388251083036,1461.5982690030687,0.24,39.0,True
