,Area,Province,Author,Sample,Unique_Id,Flow,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,Region,src_FeIII_totFe
266,Arabia,Harrat_Rahat,Murcia_2017,HM-189-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Halat Khamisah,,,0.0008,0.0,Historic,23.93033,39.89675,49.0747295,2.568510466,16.75599151,12.12458287,7.786429366,4.813429063,0.212357165,1.506724644,4.57073516,0.586510264,1.5,-0.42,,25.0,,196.0,14.0,47.0,38.0,44.0,78.0,24.0,15.0,564.0,37.0,357.0,28.0,,0.1,251,33.0,75.0,10.0,41.0,9.1,2.9,8.5,1.3,7.7,1.4,4.0,0.6,3.5,0.5,7.9,2.0,,3.0,2.3,0.8,,,,,,88.0,0.18
267,Arabia,Harrat_Rahat,Murcia_2017,HM-190-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Halat Khamisah,,,0.0008,0.0,Historic,23.92203,39.88747,50.00506022,2.408663091,16.76955774,11.82066592,7.286711871,4.412508855,0.222649529,1.720473636,4.74648315,0.607225989,1.62,-0.34,,23.0,,176.0,13.0,41.0,35.0,42.0,82.0,24.0,19.0,530.0,39.0,398.0,30.0,,0.1,293,36.0,81.0,11.0,44.0,9.3,3.1,9.1,1.3,8.2,1.6,4.4,0.6,3.8,0.6,8.9,2.1,,3.5,2.6,0.8,,,,,,88.0,0.18
268,Arabia,Harrat_Rahat,Murcia_2017,HM-199-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Halat Khamisah,,,0.0008,0.0,Historic,23.92158,39.91189,51.06447998,2.210451258,16.86869716,11.39859428,6.865641235,3.962514006,0.224101049,2.006723032,4.848731792,0.550066212,1.8,0.31,,22.0,,155.0,11.0,38.0,30.0,42.0,86.0,25.0,18.0,523.0,43.0,450.0,35.0,,0.2,347,40.0,90.0,12.0,48.0,10.1,3.4,10.1,1.5,8.8,1.7,4.8,0.7,4.4,0.6,10.2,2.5,,4.2,3.1,1.0,,,,,,88.0,0.18
269,Arabia,Harrat_Rahat,Murcia_2017,HM-200-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Halat Khamisah,,,0.0008,0.0,Historic,23.92158,39.91106,49.51535558,2.469135803,16.67176819,11.91715131,7.703295582,4.530149985,0.224466891,1.60187736,4.764819916,0.60197939,1.56,0.4,,23.0,,186.0,12.0,40.0,35.0,44.0,79.0,23.0,21.0,556.0,37.0,383.0,30.0,,0.1,270,35.0,78.0,10.0,43.0,9.5,3.0,9.0,1.4,8.0,1.5,4.3,0.6,3.8,0.6,8.5,2.1,,3.6,2.6,0.8,,,,,,88.0,0.18
270,Arabia,Harrat_Rahat,Murcia_2017,HM-201-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Halat Khamisah,,,0.0008,0.0,Historic,23.92275,39.90989,49.76544972,2.508668162,16.77544361,12.03344891,7.220069345,4.629818479,0.224352437,1.641851927,4.599224964,0.601672445,1.56,0.35,,23.0,,237.0,17.0,39.0,41.0,27.0,73.0,24.0,17.0,588.0,38.0,383.0,30.0,,0.2,270,34.0,78.0,10.0,43.0,9.6,3.1,9.0,1.3,8.0,1.5,4.5,0.6,3.8,0.6,8.7,2.1,,2.0,2.6,0.8,,,,,,88.0,0.18
271,Arabia,Harrat_Rahat,Murcia_2017,HM-202-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Halat Khamisah,,,0.0008,0.0,Historic,23.91686,39.91356,51.16492013,2.156882694,16.97019025,11.17102452,6.928476956,3.927154339,0.223827449,2.106012819,4.873334012,0.478176824,1.8,0.09,,22.0,,166.0,2.0,40.0,28.0,37.0,87.0,26.0,20.0,538.0,42.0,463.0,35.0,,0.2,414,40.0,90.0,11.0,48.0,9.9,3.3,9.5,1.4,8.8,1.7,4.8,0.6,4.6,0.7,10.3,2.5,,3.7,3.0,1.0,,,,,,88.0,0.18
272,Arabia,Harrat_Rahat,Murcia_2017,HM-204-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Halat Khamisah,,,0.0008,0.0,Historic,23.90853,39.90617,48.20435003,2.711178553,16.69195751,12.56449165,8.093070309,5.240263025,0.212443096,1.305007587,4.360141629,0.617096611,1.36,-0.55,,24.0,,218.0,16.0,42.0,42.0,48.0,74.0,23.0,14.0,584.0,34.0,316.0,25.0,,0.1,198,30.0,68.0,9.0,38.0,8.5,2.8,8.2,1.2,7.3,1.4,3.8,0.5,3.2,0.5,7.4,1.8,,3.0,2.1,0.6,,,,,,88.0,0.18
273,Arabia,Harrat_Rahat,Murcia_2017,HM-205-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Halat Khamisah,,,0.0008,0.0,Historic,23.89767,39.89192,51.03965919,2.180748555,16.75626331,11.39060757,6.897251243,3.945633431,0.23328938,2.089461406,4.909220002,0.557865909,1.82,-0.15,,23.0,,154.0,10.0,36.0,28.0,41.0,87.0,26.0,19.0,553.0,43.0,459.0,35.0,,0.2,364,41.0,91.0,12.0,50.0,10.4,3.4,10.3,1.5,9.2,1.7,4.9,0.7,4.3,0.6,10.5,2.6,,4.1,3.1,1.0,,,,,,88.0,0.18
274,Arabia,Harrat_Rahat,Murcia_2017,HM-206-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Halat Khamisah,,,0.0008,0.0,Historic,23.89153,39.87508,51.00820752,2.198804337,16.80008106,11.41959672,6.718005877,3.972033641,0.233052994,2.046813254,5.035971223,0.567433377,1.8,-0.15,,22.0,,151.0,12.0,33.0,28.0,39.0,85.0,26.0,18.0,509.0,42.0,460.0,36.0,,0.1,361,40.0,90.0,12.0,49.0,10.6,3.3,9.6,1.5,8.9,1.8,5.0,0.6,4.3,0.7,10.4,2.5,,4.0,3.1,1.0,,,,,,88.0,0.18
275,Arabia,Harrat_Rahat,Murcia_2017,HM-207-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Halat Khamisah,,,0.0008,0.0,Historic,23.86761,39.85006,49.97967893,2.347083926,16.7140825,11.66429587,7.661044503,4.277585857,0.223531803,1.849217639,4.765291607,0.51818736,1.66,0.09,,23.0,,175.0,8.0,37.0,29.0,39.0,81.0,25.0,16.0,527.0,41.0,416.0,32.0,,0.1,311,37.0,83.0,11.0,46.0,9.6,3.2,9.0,1.4,8.4,1.6,4.7,0.6,3.9,0.6,9.2,2.3,,3.4,2.8,0.9,,,,,,88.0,0.18
276,Arabia,Harrat_Rahat,Murcia_2017,HM-208-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Halat Khamisah,,,0.0008,0.0,Historic,23.86167,39.84167,50.80024311,2.238654781,16.79497569,11.50729335,6.898298217,4.112641815,0.232982172,1.98541329,4.882495948,0.547001621,1.76,-0.2,,22.0,,164.0,6.0,35.0,27.0,39.0,84.0,25.0,19.0,518.0,42.0,444.0,34.0,,0.2,355,39.0,88.0,11.0,47.0,10.1,3.2,9.5,1.4,8.6,1.6,4.6,0.6,4.2,0.6,9.6,2.4,,3.9,2.9,0.9,,,,,,88.0,0.18
277,Arabia,Harrat_Rahat,Murcia_2017,HM-209,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Halat Khamisah,,,0.0008,0.0,Historic,23.84994,39.80911,50.32454361,2.281947262,16.72413793,11.57200811,7.393509128,4.148073022,0.223123732,1.906693712,4.878296146,0.547667343,1.7,-0.09,,22.0,,172.0,5.0,37.0,28.0,37.0,84.0,25.0,17.0,523.0,41.0,428.0,33.0,,0.1,327,37.0,85.0,11.0,46.0,9.6,3.2,9.1,1.4,8.3,1.6,4.5,0.6,4.1,0.6,9.4,2.3,,3.6,2.7,1.0,,,,,,88.0,0.18
278,Arabia,Harrat_Rahat,Murcia_2017,HM-163-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Halat Khamisah,,,0.0008,0.0,Historic,24.29761,39.85303,45.93194515,2.346368715,15.60182834,12.38191976,11.1833418,8.776028441,0.182833926,0.436769934,2.915185373,0.243778568,0.52,-0.05,,32.0,,294.0,299.0,61.0,174.0,121.0,61.0,20.0,6.0,455.0,22.0,141.0,9.0,,0.0,67,10.0,26.0,3.6,16.0,4.3,1.6,4.8,0.7,4.2,0.8,2.3,0.3,1.9,0.3,3.4,0.6,,1.2,0.6,0.3,,,,,,88.0,0.18
279,Arabia,Harrat_Rahat,Murcia_2017,HM-164-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.2925,39.84914,45.62710481,2.43902439,15.5934279,12.32778855,11.41953261,8.807021125,0.183692214,0.469435657,2.877844678,0.255128074,0.54,0.41,,30.0,,291.0,300.0,62.0,181.0,113.0,60.0,20.0,4.0,472.0,22.0,148.0,10.0,,0.0,53,11.0,27.0,3.8,17.0,4.4,1.6,4.8,0.7,4.4,0.8,2.3,0.3,1.8,0.3,3.7,0.7,,1.3,0.6,0.3,,,,,,88.0,0.18
280,Arabia,Harrat_Rahat,Murcia_2017,HM-165-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.28919,39.84678,46.04265642,2.466390377,15.51602143,12.55433135,10.99767512,8.571717376,0.192054988,0.434650763,2.971798241,0.252703932,0.52,-0.52,,31.0,,312.0,291.0,61.0,165.0,124.0,62.0,19.0,6.0,458.0,22.0,145.0,10.0,,0.0,60,10.0,26.0,3.5,16.0,4.0,1.5,4.9,0.7,4.5,0.8,2.3,0.3,1.9,0.3,3.4,0.7,,1.2,0.6,0.2,,,,,,88.0,0.18
281,Arabia,Harrat_Rahat,Murcia_2017,HM-165-1B,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.28919,39.84678,45.83882413,2.412569691,15.68170299,12.39736442,10.7045109,9.224531171,0.182463254,0.425747593,2.878864673,0.253421186,0.54,-0.27,,29.0,,288.0,336.0,64.0,201.0,120.0,60.0,20.0,5.0,502.0,21.0,144.0,11.0,,0.0,47,10.0,27.0,3.5,17.0,4.0,1.5,4.6,0.7,4.1,0.7,2.3,0.3,1.7,0.3,3.3,0.7,,1.3,0.6,0.2,,,,,,88.0,0.18
