,Area,Province,Author,Sample,Unique_Id,Flow,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,Region,src_FeIII_totFe
306,Arabia,Harrat_Rahat,Murcia_2017,HM-223-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.31722,39.85267,46.12273784,2.20402386,15.85279547,12.17268224,11.08078051,8.917197452,0.181983622,0.394297847,2.851076736,0.222424426,0.48,-0.43,,31.0,,289.0,298.0,63.0,178.0,129.0,61.0,20.0,4.0,453.0,21.0,136.0,9.0,,0.0,52,9.0,24.0,3.4,16.0,4.2,1.5,4.6,0.8,4.1,0.8,2.1,0.3,1.8,0.3,3.3,0.6,,1.1,0.5,0.2,,,,,,88.0,0.18
307,Arabia,Harrat_Rahat,Murcia_2017,HM-224-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.32333,39.84431,45.42307301,3.523062825,15.78250687,13.38967519,9.754607474,7.270135424,0.193462988,0.814581,3.46196925,0.386925975,0.86,0.04,,26.0,,309.0,127.0,57.0,121.0,65.0,64.0,20.0,9.0,633.0,24.0,210.0,19.0,,0.1,103,18.0,43.0,5.5,26.0,5.6,2.0,6.0,0.9,5.0,0.9,2.6,0.4,2.2,0.3,4.8,1.3,,1.7,1.2,0.4,,,,,,88.0,0.18
308,Arabia,Harrat_Rahat,Murcia_2017,HM-225-1A,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.0349,0.0031,He Exp,24.33278,39.85028,45.31122864,3.641171684,15.82587469,13.54759967,9.703010578,6.936533767,0.193246542,0.834011391,3.610659072,0.396663954,0.88,-0.06,,25.0,,315.0,90.0,56.0,101.0,61.0,64.0,20.0,12.0,649.0,25.0,214.0,21.0,,0.1,114,19.0,44.0,5.8,26.0,5.8,2.1,6.2,0.8,5.2,1.0,2.8,0.4,2.2,0.3,5.0,1.4,,1.8,1.3,0.5,,,,,,88.0,0.18
309,Arabia,Harrat_Rahat,Murcia_2017,HM-107-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.34861,39.81583,45.54123973,3.5101958,15.96834737,13.25961246,9.475499645,7.253728315,0.192756417,0.831896114,3.571066247,0.395657908,0.88,-0.27,,27.0,,312.0,146.0,57.0,116.0,70.0,66.0,22.0,9.0,622.0,25.0,211.0,20.0,,0.1,100,19.0,44.0,5.9,26.0,5.9,2.1,6.0,0.9,5.2,0.9,2.6,0.4,2.2,0.3,4.9,1.4,,1.7,1.3,0.5,,,,,,88.0,0.18
310,Arabia,Harrat_Rahat,Murcia_2017,HM-110-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.40219,39.85989,45.59032717,3.708595814,16.27717944,13.50335298,9.307051412,6.594188173,0.193050193,0.823003455,3.596829913,0.406421459,0.92,-0.14,,25.0,,310.0,69.0,55.0,81.0,61.0,67.0,21.0,12.0,642.0,26.0,217.0,20.0,,0.1,103,19.0,46.0,6.0,27.0,6.1,2.2,5.9,0.9,5.1,1.0,2.7,0.3,2.3,0.3,5.0,1.4,,1.9,1.3,0.5,,,,,,88.0,0.18
311,Arabia,Harrat_Rahat,Murcia_2017,HM-111-1A,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.0239,0.002,He Exp,24.38808,39.85106,45.27342956,3.649115674,16.15165684,13.37670258,9.869892255,6.718845294,0.193128685,0.843667412,3.527139663,0.396422037,0.9,-0.06,,25.0,,311.0,74.0,69.0,89.0,59.0,65.0,21.0,11.0,713.0,24.0,213.0,20.0,,0.1,119,19.0,45.0,6.1,26.0,5.9,2.1,5.9,0.9,5.3,1.0,2.6,0.3,2.1,0.3,5.0,1.5,,1.9,1.3,0.5,,,,,,88.0,0.18
312,Arabia,Harrat_Rahat,Murcia_2017,HM-112-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.36111,39.82169,45.45362186,3.56598598,16.00121914,13.29879102,9.732805039,6.949100884,0.19303058,0.84323885,3.56598598,0.396220664,0.9,-0.19,,26.0,,315.0,180.0,57.0,158.0,77.0,68.0,20.0,8.0,624.0,25.0,214.0,21.0,,0.1,109,19.0,45.0,5.8,26.0,5.8,2.1,5.5,0.9,5.3,1.0,2.7,0.3,2.3,0.3,4.9,1.3,,1.8,1.4,0.5,,,,,,88.0,0.18
313,Arabia,Harrat_Rahat,Murcia_2017,HM-114-2,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.35494,39.82036,45.71312886,3.573236158,16.10486891,13.36167628,9.241826096,6.984512603,0.192327159,0.819921045,3.613726086,0.394776799,0.9,-0.5,,27.0,,317.0,128.0,58.0,104.0,67.0,68.0,22.0,7.0,631.0,25.0,214.0,19.0,,0.1,106,19.0,45.0,5.9,26.0,6.3,2.1,5.9,0.8,5.3,1.0,2.6,0.3,2.3,0.3,4.9,1.5,,1.9,1.3,0.4,,,,,,88.0,0.18
314,Arabia,Harrat_Rahat,Murcia_2017,HM-116-1A,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.0173,0.002,He Exp,24.34525,39.83147,45.46841623,3.611026345,16.0512664,13.3150239,9.76502899,6.845692198,0.193266199,0.834096226,3.519479199,0.396704303,0.9,-0.14,,26.0,,310.0,116.0,58.0,97.0,65.0,66.0,20.0,10.0,649.0,26.0,215.0,21.0,,0.1,107,19.0,45.0,5.8,26.0,5.9,2.0,5.9,0.9,5.4,1.0,2.7,0.3,2.2,0.3,4.8,1.4,,2.0,1.3,0.5,,,,,,88.0,0.18
315,Arabia,Harrat_Rahat,Murcia_2017,HM-193-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.35744,39.85106,45.58704453,3.522267207,16.04251012,13.31983806,9.301619433,7.145748988,0.192307692,0.850202429,3.623481781,0.414979757,0.86,-0.48,,26.0,,314.0,146.0,59.0,114.0,68.0,63.0,21.0,10.0,659.0,25.0,213.0,20.0,,0.1,107,18.0,43.0,5.8,25.0,5.7,2.1,6.0,0.9,5.1,1.0,2.6,0.4,2.1,0.3,5.0,1.4,,1.9,1.3,0.5,,,,,,88.0,0.18
316,Arabia,Harrat_Rahat,Murcia_2017,HM-227-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.43911,39.77208,45.77615127,3.710480838,16.17363017,13.02226289,9.494764664,6.638202704,0.193148318,0.853918878,3.74097794,0.396462336,0.78,-0.16,,24.0,,308.0,68.0,49.0,89.0,41.3,74.0,17.0,7.9,628.0,24.0,204.0,18.0,,0.1,130,17.0,39.0,5.0,23.0,5.1,1.8,5.1,0.8,4.5,0.9,2.2,0.3,1.9,0.3,4.2,1.3,,1.4,1.2,0.4,,,,,,88.0,0.18
317,Arabia,Harrat_Rahat,Murcia_2017,HM-229-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.43064,39.78578,45.93417722,3.675949367,16.46582278,12.9721519,9.235443038,6.551898734,0.192405063,0.850632911,3.726582279,0.394936709,0.78,-0.44,,24.0,,311.0,71.0,51.0,93.0,43.2,77.0,17.0,8.1,633.0,29.0,200.0,17.0,,0.1,120,17.0,39.0,5.0,23.0,5.2,1.8,4.8,0.8,4.4,0.9,2.3,0.3,1.9,0.3,4.2,1.3,,1.4,1.2,0.3,,,,,,88.0,0.18
318,Arabia,Harrat_Rahat,Murcia_2017,HM-230-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.42497,39.79219,45.79192861,3.640235246,16.27458933,12.88785236,9.389576151,6.783613871,0.19265869,0.851754208,3.792334212,0.395457311,0.76,-0.42,,24.0,,312.0,73.0,51.0,91.0,41.0,73.0,17.0,8.3,756.0,25.0,197.0,16.0,,0.1,142,17.0,38.0,5.0,23.0,5.0,1.7,4.9,0.7,4.4,0.9,2.2,0.3,1.9,0.3,4.0,1.2,,1.6,1.1,0.4,,,,,,88.0,0.18
319,Arabia,Harrat_Rahat,Murcia_2017,HM-231-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.42292,39.79667,45.62780269,3.689359967,16.23522218,12.9841011,9.875662454,6.563391765,0.19364044,0.81532817,3.618018753,0.397472483,0.8,0.15,,25.0,,318.0,79.0,62.0,102.0,44.0,77.0,17.0,6.3,650.0,29.0,202.0,17.0,,0.0,136,17.0,40.0,5.2,23.0,5.5,1.8,5.1,0.8,4.7,0.9,2.3,0.3,2.1,0.3,4.2,1.3,,1.5,1.2,0.4,,,,,,88.0,0.18
320,Arabia,Harrat_Rahat,Murcia_2017,HM-232-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.43994,39.83525,45.85573704,3.682662068,16.3538602,13.05671097,9.201582632,6.66531399,0.192756417,0.862331338,3.73338744,0.395657908,0.78,-0.28,,25.0,,316.0,68.0,48.0,83.0,43.0,77.0,18.0,7.3,643.0,27.0,199.0,17.0,,0.1,118,17.0,39.0,5.2,24.0,5.2,1.8,5.2,0.8,4.6,0.9,2.3,0.3,2.0,0.3,4.2,1.3,,1.5,1.2,0.4,,,,,,88.0,0.18
321,Arabia,Harrat_Rahat,Murcia_2017,HM-233-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.38822,39.85103,45.78851228,3.663486909,16.18632028,13.04038969,9.417495433,6.768824843,0.192815101,0.872742034,3.663486909,0.405926527,0.78,-0.29,,24.0,,317.0,75.0,52.0,95.0,43.0,76.0,17.0,9.8,670.0,25.0,203.0,18.0,,0.1,121,17.0,39.0,5.1,23.0,5.4,1.8,5.0,0.7,4.5,0.8,2.3,0.3,2.0,0.3,4.1,1.3,,1.7,1.2,0.4,,,,,,88.0,0.18
322,Arabia,Harrat_Rahat,Murcia_2017,HM-234-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.39508,39.98842,46.04236343,2.483024222,15.69879396,11.99959461,10.76314989,9.060504713,0.182426269,0.527009223,2.969494274,0.273639404,0.5,-0.3,,30.0,,287.0,274.0,65.0,203.0,80.0,76.0,17.0,4.0,485.0,24.0,140.0,10.0,,0.0,80,11.0,25.0,3.4,16.0,4.3,1.4,4.3,0.6,4.0,0.8,1.9,0.3,1.8,0.2,3.0,0.6,,1.3,0.6,0.2,,,,,,88.0,0.18
323,Arabia,Harrat_Rahat,Murcia_2017,HM-288-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.28406,39.84922,46.05236034,2.226345084,15.67717996,11.44094001,12.37889095,8.575551433,0.175221604,0.463821892,2.772624201,0.237064523,0.42,1.43,,30.0,,289.0,267.0,65.0,173.0,88.0,69.0,17.0,6.7,442.0,19.0,129.0,9.0,,0.1,77,9.0,21.0,2.9,14.0,3.7,1.2,3.8,0.6,3.8,0.7,1.9,0.3,1.7,0.2,2.8,0.5,,1.2,0.5,0.3,,,,,,88.0,0.18
324,Arabia,Harrat_Rahat,Murcia_2017,HM-291-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.30583,39.84311,47.15235918,2.546248181,16.7220952,11.32820619,10.20577842,7.638744544,0.176678445,0.675535232,3.221783413,0.332571191,0.58,1.97,,27.0,,269.0,209.0,59.0,147.0,64.0,70.0,17.0,7.2,575.0,23.0,155.0,11.0,,0.1,110,12.0,29.0,3.9,18.0,4.1,1.5,4.2,0.7,4.1,0.8,2.0,0.3,1.8,0.2,3.2,0.8,,1.8,1.1,0.3,,,,,,88.0,0.18
325,Arabia,Harrat_Rahat,Murcia_2017,HM-292-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.30669,39.84244,46.52018396,2.217680123,15.80991313,11.71180378,11.06796117,8.778742974,0.183955033,0.531425652,2.943280531,0.235053654,0.46,0.62,,31.0,,276.0,257.0,67.0,172.0,91.0,75.0,18.0,4.1,429.0,24.0,130.0,9.0,,0.1,105,9.0,23.0,3.1,15.0,3.8,1.4,3.9,0.6,4.0,0.7,2.1,0.3,1.6,0.2,2.9,0.6,,1.3,0.7,0.3,,,,,,88.0,0.18
326,Arabia,Harrat_Rahat,Murcia_2017,HM-293-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.30817,39.84314,46.2585034,2.24695939,15.69779427,11.38940425,12.12121212,8.482787054,0.175221604,0.494743352,2.896310039,0.237064523,0.44,1.48,,30.0,,281.0,274.0,61.0,169.0,89.0,71.0,17.0,5.8,447.0,24.0,130.0,9.0,,0.1,100,9.0,22.0,3.1,15.0,4.2,1.3,3.8,0.6,3.9,0.7,2.0,0.3,1.6,0.2,2.7,0.6,,1.2,0.6,0.4,,,,,,88.0,0.18
327,Arabia,Harrat_Rahat,Murcia_2017,HM-296-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.34683,39.84028,45.72415194,3.605525086,16.14868982,12.89863904,9.648588259,6.875888686,0.192971765,0.863294739,3.646150721,0.396099939,0.76,-0.21,,25.0,,313.0,122.0,51.0,105.0,47.0,72.0,17.0,5.7,613.0,24.0,201.0,18.0,,0.1,135,17.0,38.0,4.8,23.0,5.5,1.7,5.0,0.7,4.3,0.8,2.2,0.3,1.8,0.3,4.0,1.2,,1.6,1.2,0.4,,,,,,88.0,0.18
328,Arabia,Harrat_Rahat,Murcia_2017,HM-297-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.36478,39.85569,45.93936936,3.54861604,16.10057792,12.86626787,9.378485248,7.158065497,0.192639156,0.831390044,3.589171652,0.395417216,0.74,-0.31,,25.0,,311.0,149.0,51.0,111.0,50.0,71.0,17.0,6.8,603.0,28.0,198.0,18.0,,0.1,137,16.0,37.0,4.8,22.0,5.0,1.8,5.0,0.8,4.7,0.9,2.4,0.3,1.9,0.3,4.3,1.2,,1.6,1.1,0.4,,,,,,88.0,0.18
329,Arabia,Harrat_Rahat,Murcia_2017,HM-298-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.38778,39.85772,45.85618525,3.646150721,16.21978468,12.87832622,9.536867764,6.743855373,0.192971765,0.85313833,3.676619947,0.396099939,0.76,-0.18,,24.0,,328.0,102.0,49.0,88.0,43.0,69.0,18.0,8.4,618.0,27.0,200.0,18.0,,0.1,144,17.0,38.0,4.9,23.0,5.3,1.7,4.8,0.7,4.5,0.8,2.2,0.3,1.7,0.3,4.2,1.2,,1.5,1.2,0.4,,,,,,88.0,0.18
330,Arabia,Harrat_Rahat,Murcia_2017,HM-299-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.41944,39.85228,45.7308396,3.659280342,16.30412686,12.93962187,9.605610897,6.688351291,0.193128685,0.85383208,3.628786339,0.396422037,0.76,-0.12,,24.0,,304.0,72.0,53.0,93.0,42.0,68.0,17.0,8.2,634.0,25.0,200.0,18.0,,0.1,121,17.0,38.0,4.9,22.0,5.3,1.8,4.6,0.7,4.4,0.8,2.2,0.3,2.0,0.3,4.2,1.2,,1.5,1.1,0.4,,,,,,88.0,0.18
331,Arabia,Harrat_Rahat,Murcia_2017,HM-300-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / Five Fingers,,,0.025,0.01,Stratigraphic,24.4445,39.84769,45.85494863,3.682229682,16.2343607,12.96917913,9.612450412,6.652425999,0.193266199,0.834096226,3.570338724,0.396704303,0.74,-0.03,,23.0,,324.0,70.0,53.0,98.0,43.0,71.0,17.0,8.0,631.0,25.0,200.0,17.0,,0.1,137,16.0,37.0,4.7,22.0,5.1,1.8,4.7,0.7,4.4,0.8,2.2,0.3,1.9,0.3,4.0,1.3,,1.5,1.1,0.4,,,,,,88.0,0.18
332,Arabia,Harrat_Rahat,Murcia_2015,HM-240-2B,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41464,39.49447,46.34235315,3.218218969,16.56105698,12.75050795,9.491191816,6.896183505,0.194114795,0.735592907,3.463416605,0.347363317,0.7,0.24,,26.0,,320.0,77.0,54.0,94.0,46.0,69.0,18.0,7.3,603.0,26.0,187.0,15.0,,0.2,103,15.0,35.0,4.8,21.0,5.3,1.8,5.1,0.7,4.6,0.9,2.4,0.3,2.1,0.3,4.1,1.0,,2.0,1.1,0.4,,,,,,88.0,0.18
333,Arabia,Harrat_Rahat,Murcia_2015,HM-241-2B,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41344,39.49586,46.24955333,3.189624367,16.62871048,12.82370599,9.406344472,7.019205216,0.193002748,0.751694915,3.413101234,0.32505726,0.7,-0.14,,26.0,,324.0,78.0,54.0,88.0,46.0,70.0,18.0,9.2,596.0,27.0,184.0,15.0,,0.3,115,15.0,35.0,4.5,21.0,5.0,1.7,4.8,0.7,4.6,0.9,2.3,0.3,1.9,0.3,4.0,1.0,,1.4,1.1,0.3,,,,,,88.0,0.18
334,Arabia,Harrat_Rahat,Murcia_2015,HM-241-3B,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41344,39.49586,46.70181621,3.167601448,16.49792421,12.60668827,9.36066838,6.812373626,0.192898806,0.832510637,3.482331079,0.345187337,0.7,-0.14,,26.0,,302.0,79.0,53.0,91.0,44.0,71.0,18.0,9.1,580.0,29.0,187.0,16.0,,0.2,95,15.0,35.0,4.7,21.0,4.9,1.7,4.9,0.8,4.5,0.9,2.4,0.3,2.0,0.3,4.0,1.0,,1.8,1.1,0.4,,,,,,88.0,0.18
335,Arabia,Harrat_Rahat,Murcia_2015,HM-241-4B,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41344,39.49586,46.21826126,3.185711467,16.63083878,12.78478734,9.414642515,7.032992409,0.193381846,0.773527385,3.429983273,0.335873733,0.68,0.03,,26.0,,318.0,78.0,53.0,86.0,47.0,72.0,19.0,6.7,582.0,28.0,185.0,15.0,,0.1,103,15.0,34.0,4.6,21.0,4.8,1.7,4.9,0.7,4.5,0.9,2.3,0.3,1.9,0.3,4.2,1.0,,1.5,1.0,0.3,,,,,,88.0,0.18
336,Arabia,Harrat_Rahat,Murcia_2015,HM-241-5B,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41344,39.49586,46.14004001,3.203043199,16.52202663,12.86911601,9.457086408,7.044667796,0.192588041,0.760215949,3.466584728,0.34463123,0.7,-0.3,,27.0,,314.0,79.0,57.0,101.0,46.0,72.0,18.0,7.5,594.0,28.0,184.0,15.0,,0.1,119,15.0,35.0,4.6,22.0,4.9,1.7,4.9,0.7,4.6,0.9,2.4,0.3,2.1,0.3,4.1,1.1,,1.4,1.1,0.3,,,,,,88.0,0.18
337,Arabia,Harrat_Rahat,Murcia_2015,HM-241-6B,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41344,39.49586,46.16636562,3.195044139,16.55154195,12.86427093,9.433468929,7.037185825,0.192107084,0.768428337,3.457927517,0.333659673,0.7,-0.54,,27.0,,313.0,79.0,59.0,95.0,46.0,72.0,18.0,8.3,597.0,28.0,183.0,14.0,,0.1,105,15.0,35.0,4.6,21.0,5.1,1.7,4.7,0.8,4.4,0.9,2.4,0.3,2.0,0.3,4.0,1.0,,1.4,1.0,0.3,,,,,,88.0,0.18
338,Arabia,Harrat_Rahat,Murcia_2015,HM-241-7B,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41344,39.49586,46.16793397,3.187834108,16.60709769,12.87598783,9.431940916,6.962634496,0.192282057,0.779248338,3.450956923,0.344083682,0.7,-0.46,,27.0,,319.0,78.0,54.0,88.0,47.0,73.0,19.0,5.6,602.0,29.0,183.0,14.0,,0.1,113,15.0,35.0,4.6,22.0,5.0,1.6,4.9,0.8,4.6,0.9,2.4,0.3,2.1,0.3,4.0,1.0,,1.6,1.0,0.3,,,,,,88.0,0.18
339,Arabia,Harrat_Rahat,Murcia_2015,HM-260-1A,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41636,39.49539,45.98194271,3.145543568,16.41994102,12.75951981,9.945618336,7.064748337,0.1934153,0.732942191,3.410217137,0.34611159,0.7,0.1,,26.0,,316.0,80.0,53.0,91.0,50.0,71.0,18.0,5.8,608.0,31.0,180.0,14.0,,0.1,121,15.0,35.0,4.7,21.0,4.9,1.7,4.7,0.8,4.6,0.9,2.5,0.3,1.9,0.3,4.0,1.0,,1.4,1.1,0.3,,,,,,88.0,0.18
340,Arabia,Harrat_Rahat,Murcia_2015,HM-260-1B,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41636,39.49539,45.64305115,3.140062487,16.44454803,12.75112089,10.20520308,7.126310645,0.193705153,0.713650565,3.425522713,0.356825283,0.7,0.24,,26.0,,306.0,77.0,56.0,89.0,51.0,73.0,19.0,7.0,615.0,27.0,177.0,14.0,,0.0,115,15.0,35.0,4.6,21.0,4.8,1.8,5.1,0.7,4.6,0.9,2.4,0.3,1.9,0.3,3.9,1.0,,1.6,1.0,0.3,,,,,,88.0,0.18
341,Arabia,Harrat_Rahat,Murcia_2015,HM-261-2B,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41506,39.49472,46.18170064,3.216080647,16.58767147,12.87160696,9.587369751,6.980010994,0.192761932,0.760902361,3.266807471,0.355087769,0.72,-0.23,,27.0,,316.0,77.0,60.0,81.0,50.0,77.0,20.0,7.8,606.0,27.0,184.0,15.0,,0.2,102,16.0,36.0,4.8,22.0,5.3,1.8,4.7,0.8,4.6,0.9,2.4,0.4,1.9,0.3,4.2,1.1,,2.1,1.1,0.3,,,,,,88.0,0.18
342,Arabia,Harrat_Rahat,Murcia_2015,HM-261-3B,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41506,39.49472,46.27608325,3.188652654,16.55255995,12.81979927,9.383168955,6.915517379,0.19294395,0.741310967,3.584695499,0.345268122,0.72,-0.16,,27.0,,306.0,80.0,56.0,93.0,51.0,77.0,19.0,6.0,590.0,27.0,188.0,15.0,,0.1,119,16.0,36.0,4.9,22.0,5.6,1.8,4.8,0.8,4.5,0.9,2.3,0.3,2.1,0.3,4.1,1.1,,1.9,1.1,0.4,,,,,,88.0,0.18
343,Arabia,Harrat_Rahat,Murcia_2015,HM-262-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41557,39.49494,46.10622794,3.190953399,16.57466559,12.8381933,9.43058839,6.930669485,0.193083168,0.752008126,3.638093366,0.345517247,0.68,-0.04,,26.0,,309.0,76.0,53.0,81.0,46.0,73.0,18.0,5.6,592.0,29.0,183.0,14.0,,0.1,121,15.0,34.0,4.5,20.0,4.9,1.7,4.8,0.7,4.4,0.9,2.2,0.3,2.0,0.3,3.8,1.0,,1.3,1.0,0.3,,,,,,88.0,0.18
344,Arabia,Harrat_Rahat,Murcia_2015,HM-262-3,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41557,39.49494,46.01563452,3.205219983,16.52154401,12.88272753,9.474104492,6.956439584,0.192110977,0.7482217,3.660219665,0.343777538,0.68,-0.57,,27.0,,317.0,75.0,57.0,84.0,47.0,72.0,19.0,5.0,593.0,23.0,183.0,15.0,,0.1,94,15.0,34.0,4.6,21.0,4.7,1.7,4.8,0.7,4.7,0.9,2.3,0.3,1.9,0.3,4.1,1.0,,1.3,1.0,0.3,,,,,,88.0,0.18
345,Arabia,Harrat_Rahat,Murcia_2015,HM-263-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41542,39.49553,45.83204204,3.166096196,16.4005819,12.72365695,10.08875026,6.963375556,0.193427099,0.732986901,3.552950393,0.346132703,0.66,0.12,,26.0,,316.0,76.0,53.0,88.0,46.0,72.0,18.0,6.6,614.0,28.0,179.0,14.0,,0.1,107,14.0,33.0,4.4,21.0,5.0,1.7,4.9,0.7,4.5,0.8,2.3,0.3,2.1,0.3,3.8,1.0,,1.3,0.9,0.3,,,,,,88.0,0.18
346,Arabia,Harrat_Rahat,Murcia_2015,HM-264-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41742,39.495,46.1722591,3.182551776,16.51895922,12.81828801,9.386001905,6.971303891,0.191963441,0.767853762,3.647305369,0.343513525,0.68,-0.62,,26.0,,322.0,75.0,54.0,81.0,50.0,73.0,19.0,7.9,586.0,25.0,185.0,15.0,,0.1,98,15.0,34.0,4.6,21.0,4.8,1.8,5.1,0.7,4.6,0.9,2.4,0.3,2.1,0.3,3.9,1.0,,1.8,1.0,0.4,,,,,,88.0,0.18
347,Arabia,Harrat_Rahat,Murcia_2015,HM-265-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / AL-DU+AF4-AYTHAH CONES,,,0.0008,0.0,Historic,24.41724,39.49466,46.05547679,3.204474571,16.40650545,12.85244393,9.492118681,7.025583049,0.192066299,0.758156444,3.66947719,0.343697588,0.72,-0.64,,26.0,,314.0,75.0,56.0,85.0,45.0,75.0,18.0,8.7,601.0,29.0,184.0,15.0,,0.1,104,15.0,36.0,4.7,22.0,5.2,1.7,4.8,0.8,5.0,0.9,2.3,0.3,2.0,0.3,4.1,1.1,,1.9,1.0,0.3,,,,,,88.0,0.18
