0.123960 1.617252 8p,Helvetica,blue MgO
0.123960 1.046410 8p,Helvetica,0/125/0 FeO
0.123960 0.981246 8p,Helvetica,red SiO@-2@-
0.123960 0.868086 8p,Helvetica,darkgrey Other
