> -W1p,blue,-
1.216512955643390403e-01 1.601870151249693119e+00
1.220368744512730502e-01 1.603968666370529039e+00
1.224221149627029576e-01 1.606066560716151725e+00
1.228070175438596423e-01 1.608163833688148969e+00
1.231915826391933450e-01 1.610260484691564908e+00
1.235758106923751237e-01 1.612356513134876268e+00
1.239597021462987420e-01 1.614451918429980815e+00
1.243432574430823334e-01 1.616546699992178038e+00
1.247264770240700260e-01 1.618640857240159825e+00
1.251093613298337737e-01 1.620734389595983149e+00
1.254919108001749106e-01 1.622827296485065185e+00
1.258741258741258862e-01 1.624919577336162213e+00
1.262560069899519299e-01 1.627011231581354522e+00
1.266375545851528284e-01 1.629102258656031976e+00
1.270187690964644234e-01 1.631192657998877138e+00
1.273996509598603888e-01 1.633282429051850171e+00
1.277802006105538402e-01 1.635371571260175738e+00
1.281604184829991111e-01 1.637460084072323463e+00
1.285403050108932521e-01 1.639547966939997048e+00
1.289198606271776959e-01 1.641635219318116734e+00
1.292990857640400337e-01 1.643721840664806644e+00
1.296779808529155698e-01 1.645807830441375241e+00
1.300565463244889031e-01 1.647893188112305562e+00
1.304347826086956486e-01 1.649977913145238118e+00
1.308126901347240190e-01 1.652062005010957124e+00
1.311902693310164902e-01 1.654145463183374520e+00
1.315675206252713836e-01 1.656228287139517308e+00
1.319444444444444475e-01 1.658310476359511121e+00
1.323210412147505233e-01 1.660392030326568680e+00
1.326973113616652100e-01 1.662472948526971361e+00
1.330732553099263082e-01 1.664553230450060317e+00
1.334488734835355406e-01 1.666632875588217821e+00
1.338241663057600506e-01 1.668711883436855503e+00
1.341991341991342068e-01 1.670790253494399025e+00
1.345737775854608520e-01 1.672867985262277646e+00
1.349480968858131624e-01 1.674945078244905350e+00
1.353220925205360914e-01 1.677021531949669964e+00
1.356957649092480622e-01 1.679097345886921833e+00
1.360691144708423284e-01 1.681172519569953394e+00
1.364421416234887774e-01 1.683247052514993847e+00
1.368148467846352911e-01 1.685320944241188945e+00
1.371872303710094942e-01 1.687394194270593228e+00
1.375592927986201142e-01 1.689466802128151812e+00
1.379310344827586465e-01 1.691538767341690841e+00
1.383024558380008540e-01 1.693610089441901279e+00
1.386735572782084314e-01 1.695680767962329138e+00
1.390443392165303660e-01 1.697750802439360385e+00
1.394148020654044917e-01 1.699820192412208719e+00
1.397849462365591267e-01 1.701888937422902037e+00
1.401547721410146274e-01 1.703957037016269327e+00
1.405242801890846660e-01 1.706024490739930455e+00
1.408934707903780337e-01 1.708091298144279957e+00
1.412623443537999179e-01 1.710157458782478379e+00
1.416309012875536510e-01 1.712222972210435623e+00
1.419991419991420145e-01 1.714287837986800955e+00
1.423670668953687934e-01 1.716352055672952348e+00
1.427346763823403308e-01 1.718415624832978272e+00
1.431019708654670264e-01 1.720478545033673257e+00
1.434689507494646687e-01 1.722540815844518347e+00
1.438356164383561842e-01 1.724602436837673558e+00
1.442019683354728299e-01 1.726663407587964771e+00
1.445680068434559429e-01 1.728723727672871524e+00
1.449337323642582442e-01 1.730783396672514352e+00
1.452991452991453103e-01 1.732842414169644352e+00
1.456642460486971269e-01 1.734900779749630528e+00
1.460290350128095604e-01 1.736958493000447801e+00
1.463935125906956902e-01 1.739015553512665901e+00
1.467576791808873904e-01 1.741071960879438052e+00
1.471215351812366623e-01 1.743127714696488750e+00
1.474850809889172998e-01 1.745182814562101115e+00
1.478483170004260827e-01 1.747237260077108223e+00
> -W1p,0/125/0,-
0.000000000000000000e+00 1.000000000000000000e+00
4.997501249375313264e-04 1.000307080944901728e+00
9.990009990009992170e-04 1.000612943865127225e+00
1.497753369945082269e-03 1.000917592833774128e+00
1.996007984031935960e-03 1.001221031904519609e+00
2.493765586034913089e-03 1.001523265111741612e+00
2.991026919242273374e-03 1.001824296470644970e+00
3.487792725460886652e-03 1.002124129977379541e+00
3.984063745019920250e-03 1.002422769609163877e+00
4.479840716774515300e-03 1.002720219324401807e+00
4.975124378109453509e-03 1.003016483062804776e+00
5.469915464942813957e-03 1.003311564745507756e+00
5.964214711729622087e-03 1.003605468275186707e+00
6.458022851465475278e-03 1.003898197536174930e+00
6.951340615690169283e-03 1.004189756394577859e+00
7.444168734491314263e-03 1.004480148698388309e+00
7.936507936507936067e-03 1.004769378277597047e+00
8.428358948934061914e-03 1.005057448944310705e+00
8.919722497522300855e-03 1.005344364492857245e+00
9.410599306587419041e-03 1.005630128699901205e+00
9.900990099009901110e-03 1.005914745324552939e+00
1.039089559623948729e-02 1.006198218108476317e+00
1.088031651829871396e-02 1.006480550775996408e+00
1.136925358378645425e-02 1.006761747034211174e+00
1.185770750988142386e-02 1.007041810573091611e+00
1.234567901234568006e-02 1.007320745065594547e+00
1.283316880552813621e-02 1.007598554167762117e+00
1.332017760236803121e-02 1.007875241518828124e+00
1.380670611439842148e-02 1.008150810741322401e+00
1.429275505174963136e-02 1.008425265441171614e+00
1.477832512315271039e-02 1.008698609207802299e+00
1.526341703594288370e-02 1.008970845614240996e+00
1.574803149606299191e-02 1.009241978217215507e+00
1.623216920806689820e-02 1.009512010557253703e+00
1.671583087512291260e-02 1.009780946158782333e+00
1.719901719901719903e-02 1.010048788530225838e+00
1.768172888015717356e-02 1.010315541164102493e+00
1.816396661757486639e-02 1.010581207537122550e+00
1.864573110893032529e-02 1.010845791110282166e+00
1.912702305051495674e-02 1.011109295328959545e+00
1.960784313725490169e-02 1.011371723623009311e+00
2.008819206271435578e-02 1.011633079406857094e+00
2.056807051909892436e-02 1.011893366079588796e+00
2.104747919725893229e-02 1.012152587025049399e+00
2.152641878669275810e-02 1.012410745611927787e+00
2.200488997555012302e-02 1.012667845193852667e+00
2.248289345063538697e-02 1.012923889109480058e+00
2.296042989741084450e-02 1.013178880682582994e+00
2.343750000000000000e-02 1.013432823222142121e+00
2.391410444119082546e-02 1.013685720022432291e+00
2.439024390243902871e-02 1.013937574363111827e+00
2.486591906387128348e-02 1.014188389509306454e+00
2.534113060428850109e-02 1.014438168711700339e+00
2.581587920116902232e-02 1.014686915206616469e+00
2.629016553067186138e-02 1.014934632216105914e+00
2.676399026763990122e-02 1.015181322948029985e+00
2.723735408560311322e-02 1.015426990596144163e+00
2.771025765678172131e-02 1.015671638340182703e+00
2.818270165208941122e-02 1.015915269345939675e+00
2.865468674113647377e-02 1.016157886765352014e+00
2.912621359223300718e-02 1.016399493736579451e+00
2.959728287239204308e-02 1.016640093384087118e+00
3.006789524733268978e-02 1.016879688818724370e+00
3.053805138148327561e-02 1.017118283137805390e+00
3.100775193798449569e-02 1.017355879425187126e+00
3.147699757869249632e-02 1.017592480751348560e+00
3.194578896418200087e-02 1.017828090173468647e+00
3.241412675374939767e-02 1.018062710735502696e+00
3.288201160541585899e-02 1.018296345468260311e+00
3.334944417593040805e-02 1.018528997389480661e+00
3.381642512077295132e-02 1.018760669503908645e+00
3.428295509415741488e-02 1.018991364803370603e+00
3.474903474903474898e-02 1.019221086266846488e+00
3.521466473709599504e-02 1.019449836860547798e+00
3.567984570877531098e-02 1.019677619537987079e+00
3.614457831325301046e-02 1.019904437240054085e+00
3.660886319845857440e-02 1.020130292895085722e+00
3.707270101107366239e-02 1.020355189418939323e+00
3.753609239653513119e-02 1.020579129715065037e+00
3.799903799903799756e-02 1.020802116674574656e+00
3.846153846153846367e-02 1.021024153176312455e+00
3.892359442575685224e-02 1.021245242086926464e+00
3.938520653218059719e-02 1.021465386260937525e+00
3.984637542006720656e-02 1.021684588540806349e+00
4.030710172744721848e-02 1.021902851757004793e+00
4.076738609112710160e-02 1.022120178728080697e+00
4.122722914669223887e-02 1.022336572260728937e+00
4.168663152850982101e-02 1.022552035149855376e+00
4.214559386973179556e-02 1.022766570178644141e+00
4.260411680229774650e-02 1.022980180118626237e+00
4.306220095693780170e-02 1.023192867729740163e+00
4.351984696317550555e-02 1.023404635760402082e+00
4.397705544933078192e-02 1.023615486947567543e+00
4.443382704252269583e-02 1.023825424016796104e+00
4.489016236867240245e-02 1.024034449682315939e+00
4.534606205250596433e-02 1.024242566647086017e+00
4.580152671755725186e-02 1.024449777602861378e+00
4.625655698617071876e-02 1.024656085230251978e+00
4.671115347950429569e-02 1.024861492198787749e+00
4.716531681753215882e-02 1.025066001166978769e+00
4.761904761904761640e-02 1.025269614782377214e+00
4.807234650166587742e-02 1.025472335681636871e+00
4.852521408182684098e-02 1.025674166490575079e+00
4.897765097479790664e-02 1.025875109824230691e+00
4.942965779467680537e-02 1.026075168286925576e+00
4.988123515439429889e-02 1.026274344472322797e+00
5.033238366571700373e-02 1.026472640963484340e+00
5.078310393925011129e-02 1.026670060332931511e+00
5.123339658444022587e-02 1.026866605142700672e+00
5.168326220957800143e-02 1.027062277944402746e+00
5.213270142180095185e-02 1.027257081279278284e+00
5.258171482709615707e-02 1.027451017678255196e+00
5.303030303030303177e-02 1.027644089662005600e+00
5.347846663511594822e-02 1.027836299741000214e+00
5.392620624408704655e-02 1.028027650415565875e+00
5.437352245862883682e-02 1.028218144175938376e+00
5.482041587901701624e-02 1.028407783502319539e+00
5.526688710439301572e-02 1.028596570864930726e+00
5.571293673276676850e-02 1.028784508724065905e+00
5.615856536101934693e-02 1.028971599530146719e+00
5.660377358490565475e-02 1.029157845723775333e+00
5.704856199905705000e-02 1.029343249735787058e+00
5.749293119698398180e-02 1.029527813987303642e+00
5.793688177107865489e-02 1.029711540889785670e+00
5.838041431261770109e-02 1.029894432845082086e+00
5.882352941176470507e-02 1.030076492245485698e+00
5.926622765757291050e-02 1.030257721473781141e+00
5.970850963798778055e-02 1.030438122903296616e+00
6.015037593984962072e-02 1.030617698897956513e+00
6.059182714889619487e-02 1.030796451812328041e+00
6.103286384976526480e-02 1.030974383991672516e+00
6.147348662599717850e-02 1.031151497771997327e+00
6.191369606003752080e-02 1.031327795480100562e+00
6.235349273323956970e-02 1.031503279433624298e+00
6.279287722586691933e-02 1.031677951941100124e+00
6.323185011709603343e-02 1.031851815301998432e+00
6.367041198501872945e-02 1.032024871806775934e+00
6.410856340664483621e-02 1.032197123736925404e+00
6.454630495790458777e-02 1.032368573365018083e+00
6.498363721365123247e-02 1.032539222954756974e+00
6.542056074766355867e-02 1.032709074761017698e+00
6.585707613264829563e-02 1.032878131029898672e+00
6.629318394024277805e-02 1.033046393998765744e+00
6.672888474101727752e-02 1.033213865896296824e+00
6.716417910447761153e-02 1.033380548942530286e+00
6.759906759906759988e-02 1.033546445348906717e+00
6.803355079217147938e-02 1.033711557318317098e+00
6.846762925011644352e-02 1.033875887045143660e+00
6.890130353817504327e-02 1.034039436715307847e+00
6.933457422056769903e-02 1.034202208506310727e+00
6.976744186046511531e-02 1.034364204587280289e+00
7.019990701999070937e-02 1.034525427119012075e+00
7.063197026022303981e-02 1.034685878254014035e+00
7.106363214119833238e-02 1.034845560136547604e+00
7.149489322191272811e-02 1.035004474902672333e+00
7.192575406032483687e-02 1.035162624680285859e+00
7.235621521335806883e-02 1.035320011589168532e+00
7.278627723690310469e-02 1.035476637741023165e+00
7.321594068582021331e-02 1.035632505239516998e+00
7.364520611394165250e-02 1.035787616180323445e+00
7.407407407407406996e-02 1.035941972651162946e+00
7.450254511800093182e-02 1.036095576731842938e+00
7.493061979648474313e-02 1.036248430494298489e+00
7.535829865926954585e-02 1.036400536002632711e+00
7.578558225508318091e-02 1.036551895313158278e+00
7.621247113163973075e-02 1.036702510474432515e+00
7.663896583564173970e-02 1.036852383527302468e+00
7.706506691278265653e-02 1.037001516504938881e+00
7.749077490774908261e-02 1.037149911432880822e+00
7.791609036422314505e-02 1.037297570329067442e+00
7.834101382488480037e-02 1.037444495203882155e+00
7.876554583141411048e-02 1.037590688060188171e+00
7.918968692449356028e-02 1.037736150893366682e+00
7.961343764381040300e-02 1.037880885691355282e+00
8.003679852805888062e-02 1.038024894434684153e+00
8.045977011494254150e-02 1.038168179096514487e+00
8.088235294117646079e-02 1.038310741642674895e+00
8.130454754248965521e-02 1.038452584031697823e+00
8.172635445362717854e-02 1.038593708214857303e+00
8.214777420835245314e-02 1.038734116136202923e+00
8.256880733944953199e-02 1.038873809732599574e+00
8.298945437872534692e-02 1.039012790933759423e+00
8.340971585701191515e-02 1.039151061662279218e+00
8.382959230416857366e-02 1.039288623833676928e+00
8.424908424908424120e-02 1.039425479356423487e+00
8.466819221967962494e-02 1.039561630131981218e+00
8.508691674290942697e-02 1.039697078054837798e+00
8.550525834476452314e-02 1.039831825012538458e+00
8.592321755027421126e-02 1.039965872885723286e+00
8.634079488350844545e-02 1.040099223548159424e+00
8.675799086757991774e-02 1.040231878866775261e+00
8.717480602464629247e-02 1.040363840701695297e+00
8.759124087591239893e-02 1.040495110906272558e+00
8.800729594163246572e-02 1.040625691327119906e+00
8.842297174111213298e-02 1.040755583804148232e+00
8.883826879271071453e-02 1.040884790170593988e+00
8.925318761384334887e-02 1.041013312253054046e+00
8.966772872098316416e-02 1.041141151871519899e+00
9.008189262966333211e-02 1.041268310839406075e+00
9.049567985447931617e-02 1.041394790963585670e+00
9.090909090909091161e-02 1.041520594044419212e+00
9.132212630622445204e-02 1.041645721875789965e+00
9.173478655767484946e-02 1.041770176245131019e+00
9.214707217430777308e-02 1.041893958933460373e+00
9.255898366606170324e-02 1.042017071715409138e+00
9.297052154195012408e-02 1.042139516359255724e+00
9.338168631006346643e-02 1.042261294626951829e+00
9.379247847757138379e-02 1.042382408274157735e+00
9.420289855072463969e-02 1.042502859050270292e+00
9.461294703485739754e-02 1.042622648698452226e+00
9.502262443438913575e-02 1.042741778955664333e+00
9.543193125282678491e-02 1.042860251552693240e+00
9.584086799276671231e-02 1.042978068214183152e+00
9.624943515589697018e-02 1.043095230658662498e+00
9.665763324299909975e-02 1.043211740598575465e+00
9.706546275395033785e-02 1.043327599740310418e+00
9.747292418772562916e-02 1.043442809784228764e+00
9.788001804239963854e-02 1.043557372424692709e+00
9.828674481514877714e-02 1.043671289350096121e+00
9.869310500225327021e-02 1.043784562242890068e+00
9.909909909909908610e-02 1.043897192779613237e+00
9.950472760018010121e-02 1.044009182630918575e+00
9.990999099909991799e-02 1.044120533461602385e+00
1.003148897885740021e-01 1.044231246930631629e+00
1.007194244604316530e-01 1.044341324691170803e+00
1.011235955056179747e-01 1.044450768390609241e+00
1.015274034141958742e-01 1.044559579670589100e+00
1.019308486753480042e-01 1.044667760167033554e+00
1.023339317773788032e-01 1.044775311510170557e+00
1.027366532077164663e-01 1.044882235324562147e+00
1.031390134529148045e-01 1.044988533229130212e+00
1.035410129986553268e-01 1.045094206837182238e+00
1.039426523297490995e-01 1.045199257756440181e+00
