Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,T,P_err,T_err,Fit_Tp
OIB,Hawaii,Rhodes_1996,samp.R114-3.50,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,49.87542784,1.704537283,11.87127169,9.96660474,9.258987426,12.40587214,0.181548403,0.252151056,1.986949887,0.161376358,0.243388859,0,0,0,0,220,697,0,283,0,103,17,3.9,241,20.3,100,6.8,0,0,74,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.15,1.954793877,0.101286274,0.035804161,0,0,11.7934,100,48.63780365,10.27442144,10.08360275,1.69184706,17.25953904,8.013525538,1.719677642,0.218233251,1.47525344,0.157127631,0.087661869,0.139669005,0.030988006,0,0.21064969,0,0.126256007,1.788766494,1459.79905,0.24,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R121-2.45,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,49.09687671,1.842642127,11.11623272,9.433931385,8.901085201,14.75125334,0.171174601,0.231589341,1.993681462,0.171174601,0.243268829,0,0,0,0,225,882,0,543,0,110,16,3.3,243,20.3,110,8,0,0,65,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.15,1.850318317,0.128106796,0.068664565,0,0,11.1686,100,48.83245465,10.76085023,9.453000594,1.791164219,15.85077035,8.616520288,1.929944089,0.224185502,1.783733434,0.165702202,0.124011262,0.165702202,0.06646938,0,0.2354916,0,0.031476998,1.636761,1428.265454,0.24,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R126-0.90,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,49.27293563,1.79101172,10.86677027,9.411770658,8.703497723,15.18334312,0.17105186,0.251545976,1.841319921,0.17105186,0.286056509,0,0,0,0,218,898,0,580,0,106,17,3,239,20,107,7.9,0,0,60,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.15,1.845971837,0.130365963,0.073306947,0,0,11.1479,100,49.1267851,10.6783028,9.420627357,1.813956286,15.77385557,8.5525489,1.809385051,0.247183297,1.759949367,0.168085227,0.128104965,0.168085227,0.07203555,0,0.281095297,0,0.017199017,1.55340228,1419.579805,0.24,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R128-0.45,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,45.68483949,1.068299374,7.609094743,9.473333624,5.744617663,26.3244814,0.17133105,0.100782679,1.300096062,0.100782679,0.200086544,0,0,0,0,150,1257,0,1440,0,106,11,1.6,155,14.5,66,4.4,0,0,42,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.15,1.858046451,0.182343869,0.181864376,0,0,11.2294,100,,,,,,,,,,,,,,,,,,,,0.24,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R129-5.50,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,46.78638111,1.36925775,9.232434584,9.371346589,7.128202346,21.6967558,0.171157219,0.090612774,1.620965965,0.140952828,0.271580439,0,0,0,0,194,976,0,1114,0,108,14,0.8,193,18.4,86,6.4,0,0,31,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.15,1.838043287,0.141599182,0.140710133,0,0,11.1071,100,,,,,,,,,,,,,,,,,,,,0.24,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R133-6.10,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,48.39820509,1.6477722,10.6602265,9.390569154,8.319232136,16.86959461,0.1708058,0.200947708,1.858767542,0.160758166,0.271777814,0,0,0,0,199,832,0,702,0,94,15,2.5,222,21.7,99,6.4,0,0,45,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.15,1.841813493,0.120795226,0.088734562,0,0,11.1218,100,,,,,,,,,,,,,,,,,,,,0.24,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R135-3.50,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,47.30748918,1.667667151,10.67913372,9.719786794,8.247912531,17.75156419,0.180831557,0.140646436,1.717902276,0.150692468,0.300219402,0,0,0,0,214,880,0,808,0,107,15,1.7,209,21.3,99,6.3,0,0,27,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.15,1.906384391,0.127693319,0.102076582,0,0,11.5181,100,,,,,,,,,,,,,,,,,,,,0.24,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R142-1.60,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,48.65112053,1.930759978,12.38907135,9.613913204,9.603512951,12.99241521,0.181009121,0.170952727,1.970979589,0.181009121,0.286218138,0,0,0,0,246,586,0,461,0,107,18,2.3,251,22.2,118,8.5,0,0,37,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.15,1.88561894,0.085119843,0.058299305,0,0,11.3809,100,47.89766461,11.21037549,9.70131854,1.706221214,16.39303119,8.689835034,1.783460653,0.15468829,1.747067535,0.163787919,0.077021544,0.163787919,0.052752711,0,0.258987353,0,0.090909091,1.815313547,1444.132392,0.24,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R150-0.05,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,49.03327671,1.788510858,10.97220085,9.460036431,8.58082094,15.26265602,0.170812567,0.261242925,1.959324419,0.180860716,0.286096571,0,0,0,0,212,787,0,589,0,99,17,4.4,239,20.1,110,8.1,0,0,61,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.15,1.855438414,0.114267686,0.074454894,0,0,11.2035,100,48.88324236,10.77113103,9.468516358,1.821436788,15.88514246,8.423574078,1.923419041,0.256455547,1.755735705,0.167682361,0.112173686,0.177546373,0.073090479,0,0.280853741,0,0.018163967,1.63056458,1425.789692,0.24,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R153-3.05,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,49.07751208,1.844788606,11.14895149,9.347629379,8.842973184,14.83858829,0.170442868,0.230598824,1.975128496,0.180468861,0.328903404,0,0,0,0,214,756,0,561,0,95,18,2.9,253,20.9,109,7.3,0,0,69,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.15,1.833391526,0.109730756,0.070892239,0,0,11.074,100,48.88618438,10.89006962,9.362000076,1.790819646,15.6363692,8.637636794,1.929265443,0.225244253,1.801952082,0.166485136,0.107182776,0.176278322,0.069246101,0,0.321266172,0,0.02296043,1.596472522,1418.687628,0.24,39,TRUE
