,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe
258,OIB,Lanai,West_1992,samp.LMAN-6,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/SOUTHRIFTZONE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.75,-156.88,53.0236,2.04599,14.0485,10.5538,10.0071,7.3129,0.162059,0.486176,1.75226,0.232959,0.342864,0.37,,33.2,,285.0,290.0,,133.0,114.0,101.0,15.5,6.24,335.0,24.7,116.0,8.41,,0.071,81.0,9.12,23.81,3.77,16.2,4.55,1.59,4.79,0.707,4.19,0.74,2.05,0.264,1.74,0.23,2.81,,,0.89,0.527,0.17,,,,,,0.15
259,OIB,Lanai,West_1992,samp.LKAL-1,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.8,-156.99,50.8887,2.13801,13.0903,11.2523,9.54038,10.1757,0.171444,0.0705948,1.42198,0.181529,0.23817599999999997,1.06,,32.7,,302.0,553.0,,302.0,105.0,114.0,14.4,0.4,286.0,18.1,115.0,10.4,,0.006,47.0,6.7,16.54,2.59,10.9,2.87,1.25,3.25,0.483,2.83,0.51,1.34,0.198,1.16,0.165,2.47,,,0.75,0.392,0.105,,,,,,0.15
260,OIB,Lanai,West_1992,samp.LKAL-3,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.8,-156.99,51.8584,1.67415,13.6756,11.0984,9.33895,9.19776,0.171449,0.151279,1.58339,0.151279,0.19123199999999999,1.09,,30.9,,247.0,395.0,,176.0,118.0,102.0,13.3,1.79,256.0,18.1,87.6,5.88,,0.029,41.0,5.08,13.28,2.07,9.5,2.79,1.13,3.17,0.473,2.89,0.531,1.44,0.203,1.24,0.178,2.08,,,0.56,0.337,0.084,,,,,,0.15
261,OIB,Lanai,West_1992,samp.LKAL-4,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.8,-156.99,51.6118,1.68786,12.5369,11.052,9.12053,10.9914,0.142349,0.183021,2.37927,0.0915103,0.099936,0.2,,29.2,,227.0,547.0,,286.0,111.0,93.2,12.7,1.5,257.0,11.2,88.4,6.53,,0.018,48.6,2.59,6.94,1.12,4.9,1.58,0.74,1.76,0.292,1.77,0.327,0.94,0.132,0.82,0.116,1.99,,,0.56,0.289,0.097,,,,,,0.15
262,OIB,Lanai,West_1992,samp.LPOA-1,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.91,-156.89,52.2551,2.19788,13.8527,11.1673,10.4349,7.14815,0.131066,0.352871,2.28862,0.161312,0.265536,0.01,,31.8,,299.0,260.0,,110.0,106.0,108.0,15.8,4.83,339.0,23.0,128.2,8.41,,0.046,73.0,7.54,18.44,2.99,12.9,3.48,1.49,4.12,0.583,3.54,0.647,1.79,0.248,1.54,0.216,2.79,,,0.75,0.441,0.138,,,,,,0.15
576,OIB,Kahoolawe,Leeman_1994,samp.KW-24,Kahoolawe,Pre-Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAHOOLAWE/PRE-SHIELDSTAGE/PACIFICOCEAN,1.1,0.1,Stratigraphic,20.53,-156.55,47.7983,1.78732,10.9935,12.0519,8.35746,16.685,0.189715,0.11982,1.81727,0.149775,0.0,0.05,,25.0,,270.0,937.0,73.0,721.0,,95.0,,1.0,246.0,14.0,98.0,7.0,,,38.0,5.5,14.0,,,2.86,1.03,,0.45,,,,,1.26,0.18,2.6,0.55,,,0.31,,0.70413,0.512868,18.025,15.429,37.759,
577,OIB,Kahoolawe,Leeman_1994,samp.KW-25,Kahoolawe,Pre-Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAHOOLAWE/PRE-SHIELDSTAGE/PACIFICOCEAN,1.1,0.1,Stratigraphic,20.53,-156.55,49.5266,1.83395,10.7146,11.831,8.35244,15.2198,0.169441,0.338882,1.82398,0.189375,0.0,,,26.0,,266.0,853.0,67.0,723.0,,95.0,,4.0,250.0,18.0,106.0,8.0,,,153.0,7.6,20.0,,,3.87,1.33,,0.63,,,,,1.74,0.26,2.9,0.62,,,0.34,,0.70416,0.512848,18.047,15.428,37.786,
578,OIB,Kahoolawe,Leeman_1994,samp.KW-6,Kahoolawe,Pre-Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAHOOLAWE/PRE-SHIELDSTAGE/PACIFICOCEAN,1.1,0.1,Stratigraphic,20.59,-156.55,50.1754,2.38501,14.4804,11.9351,10.3117,7.24521,0.1904,0.120253,2.25473,0.160337,0.0,0.74,,33.0,,295.0,313.0,46.0,96.0,,110.0,,,295.0,23.0,146.0,9.0,,,49.0,8.0,20.3,,,4.34,1.52,,0.71,,,,,1.86,0.27,3.9,0.77,,,0.48,,0.70404,0.512887,18.12,15.431,37.842,
579,OIB,Kahoolawe,Leeman_1994,samp.KW-5,Kahoolawe,Pre-Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAHOOLAWE/PRE-SHIELDSTAGE/PACIFICOCEAN,1.1,0.1,Stratigraphic,20.59,-156.55,49.2466,2.5247,14.4097,11.3063,11.1067,7.50424,0.169644,0.279413,2.53468,0.229518,0.0,0.69,,28.0,,276.0,304.0,45.0,155.0,,109.0,,3.0,435.0,23.0,167.0,13.0,,,93.0,10.9,27.2,,,5.29,1.75,,0.8,,,,,1.91,0.29,4.4,1.0,,,0.73,,0.70379,0.512929,18.369,15.458,38.03,
580,OIB,Kahoolawe,Leeman_1994,samp.KW-23,Kahoolawe,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAHOOLAWE/SHIELDSTAGE/PACIFICOCEAN,1.03,0.18,Stratigraphic,20.54,-156.55,50.5615,1.79059,12.1801,12.5645,8.59889,11.2797,0.182094,0.394537,2.20536,0.242792,0.36864,,,25.0,,231.0,641.0,64.0,270.0,,120.0,,4.0,242.0,29.0,142.0,7.0,,,85.0,9.7,25.6,,19.3,5.24,1.8,,0.97,,,,,2.46,0.36,3.61,0.68,,,0.63,,0.70409,0.512901,18.036,15.43,37.8,0.15
