Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,P_err,T,T_err,Fit_Tp
OIB,Hawaii,Rhodes_1996,samp.R224-1.75,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,49.19293561,2.718557227,12.84591676,8.902895915,10.52566358,8.85273334,0.169287107,0.46802993,2.379986956,0.288784236,1.094133577,0,0,0,0,243,433,0,199,0,106,21,7.1,361,27.9,185,15.3,0,0,134,14,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.2,2.473732337,0.062382647,0.024960785,0,0,11.29,100,48.14510633,11.30853627,9.285630545,2.177679678,13.47337528,9.265967596,2.095153607,0.412016794,2.393204284,0.149027074,0.054916783,0.254222962,0.021973515,0,0.963189275,0,0.11308204,1.482921114,0.24,1360.772618,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R229-0.05,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,48.3072072,2.273045554,11.11379342,9.115102755,9.484429682,13.49743057,0.170981285,0.352019945,1.971314456,0.231327505,0.770604293,0,0,0,0,221,849,0,457,0,112,18,5.6,310,23.6,152,12.7,0,0,120,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.532695502,0.122595081,0.057452749,0,0,11.5328,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R233-3.80,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,48.13743449,2.245014274,11.0345898,9.054174439,9.170469489,14.17163099,0.170379956,0.410917412,1.934314379,0.230514814,0.711526478,0,0,0,0,217,982,0,568,0,110,17,5.9,300,23,147,12.6,0,0,110,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,2.51576614,0.141839957,0.071427376,0,0,11.4525,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R234-7.40,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.6801303,2.366035947,11.43089957,9.248852241,9.863483161,12.9982173,0.17969877,0.27953164,2.086510228,0.239598689,0.888166449,0,0,0,0,221,807,0,419,0,111,18,4.1,314,24.6,158,12.7,0,0,89,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.569858739,0.116400253,0.052616707,0,0,11.7151,100,47.58964953,11.28329628,9.269469578,2.536675032,13.45640051,9.736119376,2.059567835,0.275922143,2.335484134,0.177378382,0.114897216,0.236504833,0.051937286,0,0.87669786,0,0.012833169,1.536208104,0.24,1369.535021,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R243-8.40,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.70304001,1.767308021,8.685908106,8.97032205,8.203921302,20.09310054,0.17070572,0.240996369,1.636769517,0.17070572,0.563646297,0,0,0,0,183,1359,0,832,0,105,14,3.7,236,18.4,114,9.4,0,0,89,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,2.492467163,0.196417326,0.104691861,0,0,11.3393,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R246-5.20,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.81920651,2.142062085,10.26781808,9.056205071,8.80959882,15.69835209,0.170962683,0.422378161,1.920815911,0.221245186,0.740944989,0,0,0,0,213,955,0,606,0,110,17,6.9,301,22.1,148,13.2,0,0,118,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.2,2.516330366,0.137897568,0.076182482,0,0,11.4586,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R250-0.00,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.45906093,2.27378947,10.83806815,9.207669926,9.265435978,14.66446462,0.180300552,0.280466867,1.993318655,0.230383216,0.858644553,0,0,0,0,213,846,0,541,0,108,18,3.9,317,23.1,147,13.5,0,0,125,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.558415942,0.122037433,0.067943705,0,0,11.6618,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R259-0.75,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.51898802,1.744836253,8.63392805,9.181859432,7.631154045,20.65726701,0.170472371,0.250694489,1.544283428,0.170472371,0.622435981,0,0,0,0,187,1434,0,917,0,109,14,4.1,228,18,114,9.4,0,0,77,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.551244315,0.207076982,0.115287247,0,0,11.6168,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R286-0.90,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.19370788,1.9493311,9.50671898,9.059648984,8.067208528,18.24373219,0.169941534,0.329886042,1.819373718,0.199930635,0.711391436,0,0,0,0,203,942,0,762,0,106,15,5.4,257,19.3,131,10.8,0,0,92,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,2.517287281,0.136036539,0.09580516,0,0,11.4616,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R298-0.50,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,49.74083668,2.346746457,12.15204963,9.151526713,10.19305193,11.94802853,0.173455474,0.357113978,0.224471615,0.224471615,0.800276446,0,0,0,0,239,670,0,385,0,107,19,4.6,303,23.5,146,12.1,0,0,95,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.2,2.542816155,0.096751644,0.04840314,0,0,11.5784,100,49.36140025,11.6465322,9.233834151,2.437036644,13.4581784,9.769027543,0.215133741,0.342258267,2.249123318,0.166239838,0.092726838,0.215133741,0.046389601,0,0.766985462,0,0.040767386,0.929002654,0.24,1318.901608,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R303-3.00,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.47498417,1.777898634,8.819566491,9.059275619,7.710877226,20.30598093,0.16979923,0.279669204,1.668023724,0.179787768,0.740330447,0,0,0,0,175,1275,0,897,0,103,14,4.6,245,18.1,120,10.1,0,0,92,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.2,2.517183539,0.183951387,0.112671631,0,0,11.472,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
