Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,Cr2O3,CO2,Fe2O3,NiO,CoO,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,P_err,T,T_err,Fit_Tp
OIB,Kauai,Mukhopadayay_2003,samp.PB19,Kauai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAUAI/KAUAI/SHIELDSTAGE/NAPALIFORMATION/PACIFICOCEAN,4.7,0.4,Stratigraphic,22,-159.5,45.83743771,1.701737266,8.528589691,10.27759744,7.145306183,22.0031643,0.169178559,0.218936958,1.622123827,0.2,0.300938801,0,0,26,0,211,1232,0,1039,60,99,13,0,245,19,99,13,0,0,79,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70345,0.51302,18.257,15.45,37.854,0.15,0.179199025,0,2.015790238,0.13221275,0,12.15,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Kauai,Mukhopadayay_2003,samp.PB20,Kauai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAUAI/KAUAI/SHIELDSTAGE/NAPALIFORMATION/PACIFICOCEAN,4.7,0.4,Stratigraphic,22,-159.5,48.31726956,1.890113489,11.05218993,9.850973066,9.102388644,15.19054367,0.169115417,0.159167452,1.84037366,0.17,0.372451837,0,0,25,0,244,848,0,645,105,99,15,0,235,23,100,11,0,0,46,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70368,0.51303,18.369,15.46,38.02,0.15,0.123298748,0,1.93211453,0.08207625,0,11.65,100,47.86387192,10.52888568,9.838853329,1.84063187,16.67734084,8.671404499,1.753234789,0.151631117,1.800619513,0.161108062,0.117460741,0.161950761,0.078190065,0,0.354816814,0,0.043977055,1.83659425,0.24,1450.995059,39,TRUE
OIB,Kauai,Mukhopadayay_2003,samp.PB21,Kauai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAUAI/KAUAI/SHIELDSTAGE/NAPALIFORMATION/PACIFICOCEAN,4.7,0.4,Stratigraphic,22,-159.5,49.76412455,2.320397318,12.91656606,9.751697189,10.73560787,9.650077801,0.169299593,0.209134791,2.121221326,0.220022,0.372820175,0,0,30,0,281,525,0,243,111,102,20,0,291,27,125,13,0,0,44,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70364,0.51299,18.299,15.45,37.955,0.15,0.076410212,0,1.912643117,0.03092175,0,11.5212,100,47.82429172,10.31459611,10.09412519,1.527351865,17.25844707,8.572979744,1.693913161,0.167005758,1.852966264,0.135195138,0.061017802,0.175699799,0.024692737,0,0.297717637,0,0.18200409,1.921161332,0.24,1467.629232,39,TRUE
OIB,Kauai,Mukhopadayay_2003,samp.OR1,Kauai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAUAI/KAUAI/SHIELDSTAGE/NAPALIFORMATION/PACIFICOCEAN,4.7,0.4,Stratigraphic,22,-159.5,48.86765295,2.100442407,11.63708459,10.06919567,9.616251975,13.13024103,0.169230037,0.169230037,1.801801165,0.20002,0.358333657,0,0,30,0,272,726,0,476,76,101,21,0,261,24,113,13,0,0,39,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70365,0,0,0,0,0.15,0.105620995,0,1.974915486,0.060571,0,11.9012,100,47.78573879,10.22796914,10.11959156,1.735776215,17.31507306,8.451835825,1.583624023,0.14873825,1.846103287,0.14873825,0.092831523,0.175799907,0.053236557,0,0.314943623,0,0.112294718,1.896179147,0.24,1465.897765,39,TRUE
OIB,Kauai,Mukhopadayay_2003,samp.OR3,Kauai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAUAI/KAUAI/SHIELDSTAGE/NAPALIFORMATION/PACIFICOCEAN,4.7,0.4,Stratigraphic,22,-159.5,47.25680336,1.821396289,9.893279511,9.88136696,8.032075197,18.81118279,0.169201026,0.149295023,1.59248024,0.170017,0.300948671,0,0,28,0,225,1058,0,915,77,96,14,0,216,24,98,11,0,0,42,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70364,0,18.299,15.43,37.925,0.15,0.153895118,0,1.938075818,0.11643375,0,11.6812,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Kauai,Mukhopadayay_2003,samp.OR5,Kauai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAUAI/KAUAI/SHIELDSTAGE/NAPALIFORMATION/PACIFICOCEAN,4.7,0.4,Stratigraphic,22,-159.5,46.0342244,1.455391243,7.845156908,10.48978223,6.648944927,23.59528132,0.179431797,0.169463364,1.265991013,0.15,0.086127263,0,0,20,0,188,1186,0,1181,47,98,13,0,176,17,80,10,0,0,44,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.172798562,0,2.057406972,0.15028225,0,12.38,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Kauai,Mukhopadayay_2003,samp.OR18,Kauai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAUAI/KAUAI/SHIELDSTAGE/NAPALIFORMATION/PACIFICOCEAN,4.7,0.4,Stratigraphic,22,-159.5,46.06304046,1.434802715,7.203888276,10.61199065,6.018187545,24.77019189,0.169385961,0.169385961,1.175735855,0.159984,0.071747111,0,0,13,0,174,1581,0,1407,57,96,11,0,179,18,82,9.5,0,0,28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70364,0.51299,18.377,15.45,38.011,0.15,0.230267331,0,2.081376245,0.17904075,0,12.5287,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Kauai,Mukhopadayay_2003,samp.OR27,Kauai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAUAI/KAUAI/SHIELDSTAGE/NAPALIFORMATION/PACIFICOCEAN,4.7,0.4,Stratigraphic,22,-159.5,45.73501839,1.314966695,7.112781189,10.06798737,5.957208622,26.05031171,0.169352028,0.109580724,1.185465192,0.130013,0.114749429,0,0,20,0,175,1428,0,1390,58,89,10,0,161,16,72,8.9,0,0,28,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70363,0.513,18.366,15.44,37.958,0.15,0.207900146,0,1.974678498,0.1768775,0,11.8912,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Kauai,Mukhopadayay_2003,samp.OK9,Kauai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAUAI/KAUAI/SHIELDSTAGE/WAIMEACANYONSERIES/PACIFICOCEAN,4.7,0.4,Stratigraphic,22,-159.5,51.87503613,2.292708953,13.068452,8.074823792,9.848678205,10.07796206,0.159492797,0.328953893,2.312647547,0.229977,0.129202086,0,0,11,0,154,1704,0,1721,53,98,8,0,137,13,57,8,0,0,50,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70367,0.51298,18.25,15.44,37.9,0.15,0.248291955,0,1.583750587,0.21899725,0,9.52905,100,50.68695753,11.87273097,8.269298504,1.438842538,13.40602861,8.947556046,2.101047786,0.298855677,2.082933509,0.144899722,0.225574045,0.208934849,0.198959711,0,0.117380513,0,0.083829592,1.168386869,0.24,1361.023633,39,TRUE
OIB,Kauai,Mukhopadayay_2003,samp.OK19,Kauai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAUAI/KAUAI/SHIELDSTAGE/WAIMEACANYONSERIES/PACIFICOCEAN,4.7,0.4,Stratigraphic,22,-159.5,45.89278194,1.301570106,7.531230179,10.26103735,5.82229912,25.01796706,0.168906173,0.149034859,1.251896787,0.140014,0.500707054,0,0,25,0,274,620,0,313,77,82,19,0,292,25,128,12,0,0,62,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.090027128,0,2.012542236,0.03982925,0,12.1512,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
