Unnamed: 0,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,P_err,T,T_err,Fit_Tp
5288,OIB,Hawaii,Sides_2014,samp.L_O,Kilauea,Shield,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/HAWAII/KILAUEA/PACIFICOCEAN,0.0,0.0,Stratigraphic,19.4,-155.27,49.20698778920223,2.8261603242107336,12.288799084466904,8.403803610244097,13.38844078910935,9.190307888973443,0.1630689408065971,0.5109221665316016,1.597300451141736,0.2867663609100355,0.4891677534332911,0.0,4.199315982,32.53,0.0,381.13,0.0,0.0,0.0,0.0,0.0,0.0,9.13,375.28,19.89,99.04,15.7,0.0,0.0,130.57,15.63,33.91,4.13,19.7,4.07,1.3,3.65,0.781,4.22,0.732,2.04,0.277,2.16,0.3,3.45,1.0,0.0,0.71,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.15,1.6482748409699821,0.0,0.0,0.0,0.0,9.86937,100.0,48.06256168506074,10.651747274578003,8.769447016012794,1.428699983161871,14.391680632366258,11.604900259660377,1.3845161443510785,0.4428596934059616,2.449673505443113,0.14134571929005868,0.0,0.24856479321279687,0.0,0.0,0.4240032934569326,0.0,0.12510936132983386,1.5054055210434645,0.24,1401.1777250549621,39.0,True
5289,OIB,Hawaii,Sides_2014,samp.L_O,Kilauea,Shield,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/HAWAII/KILAUEA/PACIFICOCEAN,0.0,0.0,Stratigraphic,19.4,-155.27,51.03776528451442,2.484195529983287,12.488946067267594,8.06565219085902,11.71653212082116,9.038957421117539,0.14706240248643618,0.41296527699810137,2.3064651359982276,0.34576476241524573,0.37374208677271115,0.0,3.744718569,29.98,0.0,299.67,0.0,0.0,0.0,0.0,0.0,0.0,7.49,329.79,19.73,105.5,10.63,0.0,0.0,83.57,11.31,25.89,4.09,17.39,4.62,1.79,4.42,0.766,4.43,0.931,2.19,0.262,1.6,0.304,2.85,0.631,0.0,0.7,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.15,1.5819517207662572,0.0,0.0,0.0,0.0,9.46549,100.0,49.81576804087305,11.021800532030866,8.415630194717398,1.3961111068680776,13.653467995406283,10.34012632189041,2.0355119259969507,0.36445196297687094,2.192363348081054,0.12978616908395135,0.0,0.30514586433630647,0.0,0.0,0.3298365377387713,0.0,0.11111111111111119,1.3032159623911848,0.24,1375.6064860719657,39.0,True
5290,OIB,Hawaii,Sides_2014,samp.L_O,Kilauea,Shield,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/HAWAII/KILAUEA/PACIFICOCEAN,0.0,0.0,Stratigraphic,19.4,-155.27,50.9120829164207,2.427154840158478,12.715856261810393,8.112839394427777,11.635751891537165,9.074421723048442,0.15195902707394102,0.39267301729571946,2.294343938675318,0.32317051826226373,0.3685397174379055,0.0,4.154695997,27.29,0.0,286.36,0.0,0.0,0.0,0.0,0.0,0.0,6.3,370.82,21.31,103.44,15.62,0.0,0.0,82.58,12.06,25.51,4.36,16.55,5.36,1.55,5.39,0.75,3.57,0.92,1.88,0.284,1.76,0.32,3.24,0.9,0.0,1.06,0.0,0.313,0.0,0.0,0.0,0.0,0.0,0.15,1.5912067538519075,0.0,0.0,0.0,0.0,9.51355,100.00000000000001,49.68652761924773,11.19963825007004,8.463545691691046,1.4014738494434984,13.75305303743761,10.248323767559706,2.0207701003649134,0.3458513255991642,2.137744846040869,0.1338396799256079,0.0,0.2846361914686907,0.0,0.0,0.32459564115109985,0.0,0.11268855368234258,1.3268840036134737,0.24,1377.2370012315669,39.0,True
5291,OIB,Hawaii,Sides_2014,samp.L_O,Kilauea,Shield,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/HAWAII/KILAUEA/PACIFICOCEAN,0.0,0.0,Stratigraphic,19.4,-155.27,50.97410334119503,2.455731236209452,12.601773433986171,8.088995231272406,11.676045512856724,9.056439073969596,0.14949839033089724,0.4028475883754561,2.3003802317005553,0.3345005674581825,0.3731552990364888,0.0,3.949707283,30.12,0.0,287.37,0.0,0.0,0.0,0.0,0.0,0.0,5.97,316.22,22.13,109.42,14.88,0.0,0.0,100.7,10.97,25.84,3.9,15.9,4.91,1.49,5.03,0.777,4.19,0.823,1.98,0.291,1.81,0.201,3.03,0.963,0.0,0.79,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.15,1.5865300936090299,0.0,0.0,0.0,0.0,9.48945,99.99999999999997,49.75037173199538,11.110260406283473,8.439349337201184,1.3987525307242386,13.703104930551513,10.294099226827775,2.028113228788269,0.35516759877810744,2.16507729368858,0.13180415086792135,0.0,0.2949099529505223,0.0,0.0,0.3289896113430251,0.0,0.11190053285968035,1.3149905918011622,0.24,1376.3545255297431,39.0,True
5305,OIB,Hawaii,Sides_2014,samp.1600-6,Kilauea,Shield,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/HAWAII/KILAUEA/EASTRIFTZONE/PACIFICOCEAN,0.0,0.0,Stratigraphic,19.4,-155.27,50.74520720430642,2.4212431629373596,12.881354067229104,9.376692134956208,10.687581567986749,8.521261053291207,0.16593188500773132,0.4375345221215984,2.305559048412864,0.23068018945078841,0.38786343222645236,0.0,0.0,31.41,0.0,304.7,0.0,0.0,0.0,0.0,0.0,0.0,7.62,347.51,24.12,154.1,12.66,0.0,0.0,102.08,10.9,27.09,4.09,19.25,5.19,1.85,5.52,0.783,4.81,0.927,2.32,0.301,2.18,0.254,4.23,0.985,0.0,1.69,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.15,1.8390917320735087,0.0,0.0,0.0,0.0,11.0949,100.00000000000001,48.57764465253917,10.15879872883907,9.893702813003245,1.450388107686391,16.79927853526455,8.428693868717065,1.8182646178375208,0.3450588442763168,1.909498165913654,0.13086113569215901,0.0,0.18192447805800555,0.0,0.0,0.30588605217283804,0.0,0.19191919191919202,1.7929049980742313,0.24,1451.9522231626574,39.0,True
5306,OIB,Hawaii,Sides_2014,samp.1700,Kilauea,Shield,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/HAWAII/KILAUEA/SOUTHWESTRIFTZONE/PACIFICOCEAN,0.0,0.0,Stratigraphic,19.4,-155.27,50.14146892892715,2.455439148498748,12.552376411482493,9.837900393950488,10.573442954214759,9.174741340941994,0.1692264132118418,0.3554291809425016,2.240636092405777,0.23213550921832468,0.3376530965445019,0.0,0.0,29.93666667,0.0,289.9266667,0.0,0.0,0.0,0.0,0.0,0.0,6.12,287.8033333,23.5,131.07,12.06333333,0.0,0.0,79.04,9.483333333,23.57333333,3.61,18.77333333,4.826666667,1.68,5.5,0.833333333,4.666666667,0.904,2.333333333,0.294,2.046666667,0.272,3.673333333,0.780666667,0.0,0.620333333,0.0,0.259666667,0.0,0.0,0.0,0.0,0.0,0.15,1.9295505296614452,0.0,0.0,0.0,0.0,11.6358,100.00000000000003,48.02442070360979,9.795978873969887,10.261000008175861,1.505837269788223,17.64219089093643,8.251602757057592,1.7486110283773073,0.27737988676950115,1.9162451185744542,0.13206569930650477,0.0,0.18116048066569965,0.0,0.0,0.2635072827687631,0.0,0.19871794871794884,1.9716633294715538,0.24,1479.6553275698802,39.0,True
5307,OIB,Hawaii,Sides_2014,samp.1700,Kilauea,Shield,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/HAWAII/KILAUEA/SOUTHWESTRIFTZONE/PACIFICOCEAN,0.0,0.0,Stratigraphic,19.4,-155.27,49.995108581732026,2.432373164841166,12.397145332510334,9.865632133505333,10.61984194129705,9.119245121179604,0.18304050827711227,0.3590315659699619,2.210892750061697,0.22853880002860422,0.6541604232919881,0.0,4.32393108,29.82333333,0.0,329.6,0.0,0.0,0.0,0.0,0.0,0.0,8.95,423.5466667,32.75,183.3633333,18.04666667,0.0,0.0,149.46,17.69666667,45.76,6.823333333,34.62666667,9.236666667,3.473333333,9.973333333,1.53,9.47,1.74,4.35,0.564333333,3.83,0.550666667,6.76,1.626666667,0.0,1.813333333,0.0,0.545,0.0,0.0,0.0,0.0,0.0,0.15,1.9349896773051218,0.0,0.0,0.0,0.0,11.6915,100.0,47.90177591348457,9.665167665861118,10.289561818812956,1.5085730755950908,17.624575540721587,8.279531311003463,1.723674970926238,0.27991123676967433,1.8963474117287427,0.14270359463346677,0.0,0.1781753590190333,0.0,0.0,0.5100021014440644,0.0,0.1993594875900722,1.9649007597441281,0.24,1471.7247875099097,39.0,True
5308,OIB,Hawaii,Sides_2014,samp.1700,Kilauea,Shield,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/HAWAII/KILAUEA/SOUTHWESTRIFTZONE/PACIFICOCEAN,0.0,0.0,Stratigraphic,19.4,-155.27,50.029612270871006,2.476506760357585,12.471935331479681,10.046632167944445,10.476806913172545,9.016310563208648,0.1722069043221948,0.3674348266398642,2.2166218250170897,0.23291257822038755,0.5225298512755833,0.0,0.0,30.83,0.0,295.09,0.0,0.0,0.0,0.0,0.0,0.0,7.446666667,356.4133333,27.14666667,162.3733333,15.06333333,0.0,0.0,111.2733333,13.93333333,36.55,5.37,26.18,7.31,2.58,7.503333333,1.1,6.74,1.353333333,3.226666667,0.444666667,2.89,0.408666667,5.09,1.15,0.0,1.21,0.0,0.440666667,0.0,0.0,0.0,0.0,0.0,0.15,1.9704900074909708,0.0,0.0,0.0,0.0,11.9053,100.0,47.7840998033293,9.540519360867043,10.481425128160268,1.507344094337305,18.09154640018656,8.014327892071405,1.695624846924784,0.2810725829027013,1.8944261709627148,0.13173122383131838,0.0,0.1781685763148864,0.0,0.0,0.3997139201117266,0.0,0.2113564668769717,2.0315661931169733,0.24,1469.4250313359353,39.0,True
5309,OIB,Hawaii,Sides_2014,samp.1700,Kilauea,Shield,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/HAWAII/KILAUEA/SOUTHWESTRIFTZONE/PACIFICOCEAN,0.0,0.0,Stratigraphic,19.4,-155.27,50.47273502901744,2.4053479606907366,12.586408686926578,10.005178998928544,10.489452950271579,8.72318668575087,0.19715362024128558,0.39183286254906513,2.202256032314015,0.21329078115329128,0.35079677641870766,0.0,0.0,29.28,0.0,278.605,0.0,0.0,0.0,0.0,0.0,0.0,6.27,284.625,21.425,123.47,9.77,0.0,0.0,74.42,9.755,24.495,3.375,17.32,5.045,1.835,4.65,0.774,4.675,0.932,2.22,0.3005,1.93,0.2845,3.49,0.556,0.0,0.79,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.15,1.9623596157378724,0.0,0.0,0.0,0.0,11.8356,99.99999999999997,48.042730968019924,9.53230954464838,10.48686603343095,1.4861919520029785,18.144873935089116,7.944181296120719,1.6678773682592432,0.2967543982155088,1.821688926064238,0.1493141834763423,0.0,0.16153565322289662,0.0,0.0,0.26567574144968176,0.0,0.21752738654147116,2.0003425128008536,0.24,1473.4716341648732,39.0,True
5310,OIB,Hawaii,Sides_2014,samp.1700,Kilauea,Shield,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/HAWAII/KILAUEA/SOUTHWESTRIFTZONE/PACIFICOCEAN,0.0,0.0,Stratigraphic,19.4,-155.27,50.26526859434895,2.4094103909049553,12.518853550049283,10.159770983220039,10.47292133606738,8.854922318835563,0.169635746519003,0.4009299148747015,2.1716995617264825,0.2359753869689655,0.3479317971986877,0.0,0.0,31.08,0.0,274.015,0.0,0.0,0.0,0.0,0.0,0.0,6.055,273.09,21.55,119.67,9.93,0.0,0.0,73.555,10.115,24.295,3.215,17.305,4.595,1.6885,4.905,0.8375,4.655,0.895,2.345,0.291,1.985,0.25,3.38,0.604,0.0,0.785,0.0,0.264,0.0,0.0,0.0,0.0,0.0,0.15,1.9926804192860046,0.0,0.0,0.0,0.0,12.0185,100.0,47.83345634288069,9.415026890635271,10.615499094638878,1.4986308176714997,18.447492494363754,7.8763471118482515,1.63326535375559,0.3015264868076173,1.81204001870099,0.12757758597496444,0.0,0.17746949470721524,0.0,0.0,0.2616683080152979,0.0,0.22178988326848262,2.0707199014166005,0.24,1481.6861267753375,39.0,True
5312,OIB,Hawaii,Sides_2014,samp.1823,Kilauea,Shield,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/HAWAII/KILAUEA/EASTRIFTZONE/PACIFICOCEAN,0.0,0.0,Stratigraphic,19.4,-155.27,50.780688568785415,2.3789070712371374,12.755454387387735,9.696713860619202,10.253504859766572,8.83836733628995,0.16545647685545312,0.38821566869835866,2.228825925594344,0.22752206143408926,0.3844847873575004,0.0,3.454179051,28.69333333,0.0,284.8866667,0.0,0.0,0.0,0.0,0.0,0.0,6.82,329.9433333,24.40333333,155.6166667,13.24,0.0,0.0,98.53666667,10.83333333,26.83,4.163333333,19.25666667,5.023333333,1.75,5.173333333,0.752333333,4.576666667,0.920333333,2.233333333,0.278,2.016666667,0.289333333,3.686666667,0.775333333,0.0,1.006666667,0.0,0.317,0.0,0.0,0.0,0.0,0.0,0.15,1.9018589959742402,0.0,0.0,0.0,0.0,11.4633,100.0,48.50848592391174,9.939545839480692,10.167980373931659,1.4820024513910022,17.41318886453,7.989929521425649,1.7367877915484382,0.3025127382719787,1.8537368536087722,0.12893011775181085,0.0,0.1772940336295159,0.0,0.0,0.299605490518751,0.0,0.19967987194877962,1.8474422945305788,0.24,1464.4601767515228,39.0,True
