Area,Province,Author,Sample,Unique_Id,Flow,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
OIB,Oahu,Frey_1994,samp.87TAN-4,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,52.5042,1.80102,14.805,10.0712,9.56472,7.99774,0.152629,0.19333,2.69644,0.21368,0,,,,,218,444,,188,,102,19.9,1.91,358,20.7,117,7.8,,,78,,23,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Frey_1994,samp.OH25,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,50.6604,2.36872,15.7646,10.7748,9.64624,7.09609,0.161275,0.221753,3.0743,0.231832,0,,,25.9,,236,254,42,201,,114,22.4,0.8,487,21.1,175,10.7,,,83,13.2,35.1,,23.9,6.27,1.97,,0.69,,,,,1.67,0.27,4.11,0.66,,,0.48,,,,,,
OIB,Oahu,Clague_1982,samp.66USMC-1,Hawaii,,VOLCANICROCK,NEPHELINITE_MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,38.6086,2.10344,11.5373,13.1176,15.923,13.0623,0.273447,0.525859,3.29188,1.55654,0,,,,,,,,,,,,10,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Clague_1982,samp.69MCA-1,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,40.7399,2.15402,12.1578,13.6425,12.2406,12.893,0.248541,0.776689,3.98701,1.15986,0,,,24,,200,470,68,290,65,127,,,1150,,153,,,,730,81,139,,61,14.3,4.15,,1.6,,,,,1.9,0.25,2.8,2.2,,,7.7,,,,,,
OIB,Oahu,Clague_1982,samp.69PY-1,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,40.4701,1.96871,11.7412,12.7884,12.7864,13.649,0.223255,0.842281,4.52599,1.00465,0,,,27,,225,550,68,375,66,120,17,21,1235,24,116,33,,,660,68,123,,54,12.7,3.79,,1.54,,,,,2.64,0.42,2.6,1.7,,4,6.8,,,,,,
OIB,Oahu,Clague_1982,samp.65KHI-2,Hawaii,,VOLCANICROCK,NEPHELINITE_MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,38.5472,2.09098,11.7722,13.5903,13.1836,14.1768,0.271827,0.773662,4.30742,1.28595,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Clague_1982,samp.69KAL-1,Hawaii,,VOLCANICROCK,NEPHELINITE_MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,38.3241,2.10066,12.0187,13.7787,15.4571,12.7085,0.271728,0.522553,3.50111,1.31683,0,,,24,,260,420,63,250,60,142,,,2150,,200,,,,1040,109,176,,73,17,4.73,,1.8,,,,,2.1,0.27,3.1,2.6,,,10.9,,,,,,
OIB,Oahu,Clague_1982,samp.69KAL-2,Hawaii,,VOLCANICROCK,NEPHELINITE_MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,38.6982,2.1391,11.9442,13.9448,12.6913,12.3331,0.276343,1.07467,5.52686,1.37148,0,,,26,,270,485,66,280,65,144,,23,1550,,185,,,,920,96,174,,71,16.6,4.66,,1.9,,,,,2.1,0.3,3.1,2.7,,,10.9,,,,,,
OIB,Oahu,Clague_1982,samp.68KEE-1,Hawaii,,VOLCANICROCK,NEPHELINITE_MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,39.914,2.71616,11.368,14.0056,11.4939,15.6887,0.230717,0.975302,2.69519,0.912379,0,,,26,,271,480,67,300,92,134,18,25,715,24,191,55,,,,54,104,,46,9.67,3.01,,1.3,,,,,1.4,0.24,4.4,,,,5.6,,,,,,
OIB,Oahu,Clague_1982,samp.65PAL-2,Hawaii,,VOLCANICROCK,BASANITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,42.7707,2.41654,12.6766,13.0148,11.3966,13.506,0.215031,0.552937,2.81588,0.634854,0,,,24,,295,550,67,375,50,112,,,750,,160,,,,510,46,81,,38,8.8,2.59,,1,,,,,1.7,0.28,3.7,3,,,4.2,,,,,,
OIB,Oahu,Clague_1982,samp.69HUL-4,Hawaii,,VOLCANICROCK,BASANITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,42.8267,2.5006,12.4214,13.2137,10.9925,13.7584,0.204131,0.510327,2.97011,0.602186,0,,,24,,280,545,68,400,40,100,,,780,,163,,,,545,35,73,,33,8,2.44,,1,,,,,1.6,0.29,3.5,2.8,,,3.6,,,,,,
OIB,Oahu,Clague_1982,samp.65PAL-1,Hawaii,,VOLCANICROCK,BASANITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,42.8206,2.45152,12.2677,13.1635,10.7077,13.1288,0.212735,0.881332,3.66715,0.698988,0,,,22,,335,475,68,460,60,126,,,900,,188,,,0.8,680,50,87,,42,9.2,2.79,,0.9,,,,,1.6,0.27,3.9,3.3,,,4.6,,,,,,
OIB,Oahu,Clague_1982,samp.68PAL-1,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,37.8575,2.82656,11.3573,13.3154,13.3063,13.5205,0.2449,1.34695,5.02046,1.20409,0,,,24,,210,510,66,250,35,115,,,1600,,195,,,0.7,960,99,154,,62,14,4.16,,1.5,,,,,1.8,0.26,3.7,3,,,9.1,,,,,,
OIB,Oahu,Clague_1982,samp.69WIL-1,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,40.593,1.89885,12.3122,12.2891,13.1708,13.2718,0.232307,0.989828,4.22192,1.02013,0,,,29,,295,530,64,330,55,110,,24,1300,,140,,,0.4,775,72,128,,65,13,3.66,,1.4,,,,,2.1,0.35,2.5,2.3,,,7.3,,,,,,
OIB,Oahu,Clague_1982,samp.68SAL-23,Hawaii,,VOLCANICROCK,BASANITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.92,41.3327,2.67964,11.9084,13.9824,11.1531,12.5705,0.237961,1.04496,4.03499,1.0553,0,,,24,,210,395,69,280,63,,,,1120,,,,,0.7,880,73,126,,56,14.3,3.94,,1.6,,,,,1.8,0.29,3.3,2.4,,6.5,8,,,,,,
OIB,Oahu,Clague_1982,samp.68SAL-28,Hawaii,,VOLCANICROCK,BASANITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.92,43.6406,2.74422,14.0628,14.4273,8.59571,10.9342,0.245592,0.939655,3.40625,1.00372,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Clague_1982,samp.68RH-1,Hawaii,,VOLCANICROCK,NEPHELINITE_MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,38.1584,3.30742,12.2449,18.5027,8.71274,11.6669,0.26759,1.86243,3.97104,1.30584,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Clague_1982,samp.68KAV-2,Hawaii,,VOLCANICROCK,NEPHELINITE_MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,39.2673,2.63278,12.4598,13.3732,13.3272,10.9189,0.24491,1.41844,4.99005,1.36742,0,,,25,,235,325,61,220,59,129,15,35,1500,32,184,55,,0.7,995,82,162,,66,14,4.24,,1.5,,,,,2,0.31,3.6,3,,5,9.7,,,,,,
OIB,Oahu,Clague_1982,samp.66KAN-2,Hawaii,,VOLCANICROCK,NEPHELINITE_MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,39.363,2.60559,11.9216,13.7572,12.2421,14.6202,0.248151,1.22008,3.03985,0.982264,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Clague_1982,samp.65NUU-1,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,39.9359,2.3856,11.8366,12.8293,13.3492,12.6995,0.243635,1.16742,4.43619,1.11666,0,,,27,,240,475,64,250,72,101,,,1200,,178,,,0.6,770,82,124,,53,12.1,3.73,,1.4,,,,,1.7,0.28,3.1,2.4,,,7.3,,,,,,
OIB,Oahu,Clague_1982,samp.69NUU-1,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,39.912,2.53764,11.9168,13.101,12.7593,13.2566,0.233463,1.26882,4.07038,0.944002,0,,,25,,270,480,65,280,67,104,,32,1000,,158,,,,700,54,107,,45,11,3.43,,1.2,,,,,1.8,0.24,3.2,2.45,,,5.9,,,,,,
OIB,Oahu,Clague_1982,samp.69NUU-2,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,39.8551,2.53679,11.9606,13.0462,12.9998,13.2239,0.24451,1.23274,3.94272,0.957663,0,,,25,,330,485,67,270,75,100,,,1000,,164,,,,705,67,111,,47,11.4,3.29,,1.3,,,,,1.7,0.26,3.2,2.8,,,6,,,,,,
OIB,Oahu,Clague_1982,samp.67NUU-4OX,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,41.3429,2.50132,12.3642,13.4605,12.0185,12.7608,0.213527,0.874445,3.69097,0.772765,0,,,23,,350,480,70,365,30,129,,,940,,150,,,0.6,680,50,89,,48,10.6,3.03,,1.2,,,,,1.7,0.27,3.3,2.8,,,4.5,,,,,,
OIB,Oahu,Clague_1982,samp.68SAL-28A,Hawaii,,VOLCANICROCK,BASANITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.92,43.7875,2.46396,12.5391,13.5525,9.62616,12.8523,0.219251,0.793479,3.32008,0.845682,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Clague_1982,samp.68SAL-31,Hawaii,,VOLCANICROCK,BASANITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.92,44.8738,2.49531,12.6332,13.2384,10.2005,12.1842,0.229694,0.647319,2.73544,0.762166,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Clague_1982,samp.68KOST-1,Hawaii,,VOLCANICROCK,BASANITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.92,39.8987,2.7407,12.5144,14.2682,15.7194,12.3445,0.237829,0.215179,0.906017,1.15517,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Clague_1982,samp.68KOST-2,Hawaii,,VOLCANICROCK,BASANITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.92,38.3662,3.03,12.151,15.3979,11.8718,10.9204,0.23785,1.66495,5.08792,1.27198,0,,,15,,210,275,65,180,56,175,,,1600,,240,,,0.7,1065,90,156,,69,16.3,4.88,,1.9,,,,,1.7,0.2,5.1,3.9,,,9.1,,,,,,
OIB,Oahu,Clague_1982,samp.65AIN-1,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,41.2311,2.44836,12.7459,13.248,12.5401,13.2191,0.216031,0.894987,2.7364,0.720105,0,,,26,,305,445,72,305,62,119,18.5,9,590,25,149,39,,,730,50,93,,43,10.4,2.96,,1.3,,,,,1.7,0.3,3.3,2.6,,8.3,4.9,,,,,,
OIB,Oahu,Clague_1982,samp.65KAPAA-11,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,41.1969,2.61649,11.7486,13.4814,12.4155,13.103,0.225736,0.790077,3.60152,0.82086,0,,,21,,290,480,66,340,50,107,,20,1050,,171,,,0.7,780,53,110,,56,11.1,3.24,,1.3,,,,,1.5,0.25,3.4,2.7,,,5.9,,,,,,
OIB,Oahu,Clague_1982,samp.68MAV-1,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,42.2465,2.93421,12.6709,14.0957,10.6403,11.879,0.213212,1.10667,3.60431,0.609178,0,,,18,,240,345,69,240,55,120,,,810,,174,,,,650,45,81,,45,9.3,2.77,,1,,,,,1.5,0.26,3.9,2.35,,,3.6,,,,,,
OIB,Oahu,Clague_1982,samp.68TSV-1,Hawaii,,VOLCANICROCK,NEPHELINITE_MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,38.191,2.62965,11.1403,13.5376,12.9546,13.8006,0.254811,1.31482,4.91275,1.26386,0,,,26,,240,505,68,275,68,134,17.5,36,1640,30,169,51,,0.8,1065,84,163,,66,15,4.53,,1.65,,,,,1.9,0.28,3.6,3,,6.3,10.1,,,,,,
OIB,Oahu,Clague_1982,samp.68FS-2,Hawaii,,VOLCANICROCK,BASANITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,44.4883,2.41706,12.2919,12.6968,11.2589,12.891,0.196257,0.764368,2.61331,0.382184,0,,,27,,1300,575,64,360,60,121,20.5,18,535,18,121,28,,,325,21.5,44,,21,5.5,1.91,,0.84,,,,,1.46,0.23,2.9,1.95,,4,2.1,,,,,,
OIB,Oahu,Clague_1982,samp.65BP-1,Hawaii,,VOLCANICROCK,BASANITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,44.4661,2.29786,11.908,12.6814,11.1318,13.4195,0.194041,0.888505,2.66551,0.347232,0,,,23,,310,555,65,400,90,127,,24,520,,127,,,,355,22,47,,22,6.1,1.97,,0.86,,,,,1.4,0.27,2.5,2,,,2,,,,,,
OIB,Oahu,Clague_1982,samp.69KAM-1,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.5,-157.5,41.1159,2.8773,11.1127,13.9353,11.5092,13.9086,0.203343,1.10822,3.46699,0.762535,0,,,21,,295,600,73,360,55,168,,,920,,168,,,0.5,825,54,94,,48,10.3,2.94,,1.2,,,,,1.5,0.25,3.8,3.2,,,5.1,,,,,,
OIB,Oahu,Clague_1982,samp.68BP-2,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,40.6053,1.92154,12.1462,12.5596,12.8743,13.4205,0.232608,1.07202,4.17683,0.991112,0,,,27,,280,575,67,310,63,133,18,28,1155,24,133,42,,,715,74,125,,60,13.1,3.72,,1.3,,,,,2,0.26,2.8,2.6,,3.3,6.6,,,,,,
OIB,Oahu,Clague_1982,samp.67RAB-4,Hawaii,,VOLCANICROCK,NEPHELINITE_MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,37.8899,2.25429,9.87224,14.8478,13.2925,17.7567,0.288727,0.322042,1.92114,1.55468,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Clague_1982,samp.67RAB-6,Hawaii,,VOLCANICROCK,NEPHELINITE_MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,38.6697,1.96834,11.4615,13.516,12.2201,14.3627,0.246043,1.13795,5.23866,1.17896,0,,,22,,190,495,70,290,66,138,,,1500,,162,,,,860,88,145,,63,14.7,4.41,,1.6,,,,,1.7,0.23,2.7,2.45,,,8.5,,,,,,
OIB,Oahu,Clague_1982,samp.65KAL-1,Hawaii,,VOLCANICROCK,BASALT_ALKALINE_OLIVINE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.3168,-157.758,45.6263,1.99122,13.514,12.5985,10.5019,11.5835,0.202155,0.657002,2.97167,0.35377,0,,,24,,295,504,70,320,50,100,,,580,,110,,,,385,18,41,,20,5.01,1.84,,0.7,,,,,1.5,0.21,2.5,1.2,,,2.1,,,,,,
OIB,Oahu,Clague_1982,samp.65KPO-1,Hawaii,,VOLCANICROCK,BASALT_ALKALINE_OLIVINE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,45.626,2.2044,14.3645,12.8287,10.899,10.3761,0.194808,0.543411,2.5325,0.430627,0,,,25,,260,395,60,220,68,134,21,7,590,20,111,24,,,390,24,47,,24,6.8,2.12,,0.92,,,,,1.6,0.28,2.8,1.8,,4,2,,,,,,
OIB,Oahu,Clague_1982,samp.69TAN-1,Hawaii,,VOLCANICROCK,NEPHELINITE_MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,40.2846,3.00782,12.2453,11.9958,10.2063,14.8251,0.270366,1.53208,4.51737,1.11526,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Clague_1982,samp.65MOIL-2,Hawaii,,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,36.7071,2.87291,11.378,16.4996,12.5767,11.843,0.258355,1.77748,5.00176,1.08509,0,,,13.6,,230,326,75,230,55,175,,51,1550,,240,,,,940,73,146,,66,15.4,4.7,,1.5,,,,,1.2,0.14,5.3,4.6,,,7.9,,,,,,
OIB,Oahu,Roden_1984,samp.70ULUP-8,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,50.427,2.19566,15.1082,10.9713,10.4346,7.10975,0.177744,1.16056,2.15384,0.261388,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Roden_1984,samp.WW9948,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,51.7772,1.55523,13.2296,10.362,8.24072,11.7955,0.161583,0.141385,2.53483,0.201978,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Roden_1984,samp.WW9980,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,52.5214,1.96664,13.2393,10.2949,8.79918,9.68113,0.15206,0.567689,2.50392,0.273707,0,,,23.8,,202,490,,416,,109,19,8.32,450,24,146,8.4,,,196,13.8,34.7,,21.3,5.5,1.98,,0.86,,0.87,,,1.93,0.27,3.3,0.53,,,0.8,,0.70432,0.512724,,,
OIB,Oahu,Roden_1984,samp.WW10403,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,52.5138,2.23227,14.4239,10.6184,9.65632,7.00992,0.161612,0.373728,2.7171,0.292922,0,,,27.1,,231,293,,112,,105,21,5.61,435,22,151,9.4,,,101,11.9,28.9,,20.4,5.39,1.92,,0.85,,1.1,,,1.76,0.26,3.6,1.08,,,0.6,,0.70423,0.512764,,,
OIB,Oahu,Wilkinson_1983,samp.MO6,Hawaii,,VOLCANICROCK,NEPHELINITE_OLIVINE-MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,35.5385,2.71161,10.9286,16.5873,13.2293,11.4216,0.225967,1.87964,5.3924,0.955225,1.12984,,,,,,251,,245,74,195,,46,1458,24,287,78,,,1114,,,,,,,,,,,,,,,,,,4,8,,,,,,
OIB,Oahu,Wilkinson_1983,samp.MO7,Hawaii,,VOLCANICROCK,NEPHELINITE_OLIVINE-MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,36.6556,2.50524,10.7512,16.0391,12.6073,11.5525,0.233281,1.90682,5.55818,0.963552,1.22726,,,,,,313,,256,88,198,,47,1750,26,273,71,,,1025,,,,,,,,,,,,,,,,,,9,8,,,,,,
OIB,Oahu,Wilkinson_1983,samp.MO5A,Hawaii,,VOLCANICROCK,NEPHELINITE_OLIVINE-MELILITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,36.1413,2.5483,10.7999,16.5534,12.4887,11.9729,0.232583,1.75954,5.41007,0.980892,1.11235,,,,,,321,,213,82,209,,44,1700,27,289,90,,,1092,,,,,,,,,,,,,,,,,,6,8,,,,,,
OIB,Oahu,Norman_1999,samp.KOO-CF,Hawaii,,VOLCANICROCK,PICRITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,51.4104,1.71267,10.8805,10.951,6.76002,15.4846,0.141044,0.473504,1.97461,0.211566,0,,4.8,19,,196,844,94,924,72,97,16.7,7.6,343,20.2,132,8.2,,0.088,95,10.08,23.8,3.36,16.8,4.35,1.48,4.49,0.68,3.7,0.69,1.71,,1.31,0.19,3.1,,,1.03,0.6,0.17,,,17.843,15.439,37.774
OIB,Oahu,Norman_1999,samp.KOO-17A,Hawaii,,VOLCANICROCK,PICRITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,47.9364,1.38917,9.83491,11.4657,6.40225,21.0288,0.171129,0.0905979,1.50997,0.171129,0,,4.5,19.1,,175,834,83,1089,64,99,13.1,0.3,273,17.9,110,6.2,,0.005,38,8.03,20,2.81,14,3.44,1.17,3.67,0.57,3.18,0.61,1.55,,1.28,0.18,2.62,,,0.81,0.44,0.04,,,17.871,15.444,37.87
OIB,Oahu,Jackson_1999,samp.6308,Hawaii,,VOLCANICROCK,BASALT,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.9,48.9065,2.75245,15.0271,11.9723,11.0503,7.0835,0.172028,0.232744,2.45899,0.344056,0,,,28.4,,289,212,43.8,88,,124,23,2.4,492,25.9,207,19.6,,,175,16.7,44,,28.2,6.77,2.21,,1.02,,,,,1.94,0.28,4.6,1.01,,,1.06,,,,,,
