Area,Province,Author,Sample,Unique_Id,Flow,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
OIB,Oahu,Frey_1994,samp.KOO-11,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,53.3478,1.97697,14.224,10.1442,9.30697,7.18806,0.172351,0.395394,2.98066,0.263596,0,,,,,230,288,,125,,106,20.5,4.9,388,24.1,139,8.4,,,69,,26,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-12,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,52.0651,2.29609,14.1541,10.5137,9.76603,7.44953,0.173482,0.428603,2.84715,0.306145,0,,,,,256,296,,154,,110,19.4,5.9,435,24.9,162,10.3,,,80,,30,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-13,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,52.8996,2.13715,14.0645,10.4025,9.39328,7.33755,0.183184,0.42743,2.88006,0.274776,0,,,25.5,,252,266,41.8,130,,112,20.2,5.5,406,26,158,10.3,,,80,12.7,33.1,,21.9,5.74,1.91,,1,,,,,1.98,0.3,3.85,0.57,,,0.49,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-14,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,53.1617,2.12971,14.1271,10.2478,9.27947,7.18018,0.172405,0.425943,2.9816,0.294103,0,,,,,250,279,,127,,113,21,6.5,402,24.5,158,9.9,,,94,,25,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-15,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,53.1576,2.13894,14.1577,10.5212,9.09557,7.21127,0.183337,0.37686,2.87228,0.285191,0,,,25.6,,216,286,43.8,128,,107,20.2,1.39,388.6,26.3,153,9.9,,0.028,109.8,12.8,32.5,,22.3,5.64,2,,0.85,,,,,2.04,0.27,3.78,0.55,,,0.7,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-17A,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,47.5405,1.29647,9.32027,11.6565,5.94129,21.9889,0.163334,0.0918756,1.8273,0.173543,0,,,17.5,,170,894,87.8,1121,,112,13.2,,280,17.1,103,6.4,,,34,7.55,19.2,,12.6,3.11,1.08,,0.44,,,,,1.08,0.164,2.15,0.34,,,0.18,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-17,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,52.9796,1.91211,13.2729,10.2225,8.92995,9.01132,0.183074,0.437344,2.76645,0.284782,0,,,24.8,,205,395,46.5,236,,97,20.2,6.26,401.1,21.8,141,8.9,,0.062,93.2,10.8,28.5,,18.7,4.87,1.64,,0.83,,,,,1.61,0.24,3.35,0.48,,,,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-18,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,52.848,2.10533,13.8686,10.4007,9.60686,7.28691,0.183961,0.429243,2.98426,0.286162,0,,,24.9,,240,290,41.4,115,,107,20.3,7.46,443.4,22.6,153,10.7,,0.079,107.6,12.2,32.4,,20.1,4.97,1.76,,0.7,,,,,1.41,0.23,3.53,0.58,,,,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-21,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,52.4634,1.97223,13.2947,10.1971,8.78817,9.46262,0.17372,0.327002,3.02477,0.296345,0,,,,,220,473,,271,,105,20.7,2.7,408,22.6,137,8.5,,,106,,21,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-22,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,52.5882,2.21413,14.2337,10.5673,10.0809,7.00972,0.173458,0.418339,2.408,0.306102,0,,,26.9,,266,286,41,118,,117,20.4,6.4,440,24.1,154,11.2,,,127,12.2,31.5,,20.7,5.08,1.81,,0.76,,,,,1.56,0.25,3.46,0.64,,,,,,,,,
