Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,P_err,T,T_err,Fit_Tp
OIB,Niihau,Dixon_2008,samp.70NII-10,Niihau,Rejuvenated,VOLCANICROCK,BASALT,HAWAIIANISLANDS/NIIHAU/REJUVENATEDSTAGE/KIEKIEBASALT/PACIFICOCEAN,0.5,0.5,Stratigraphic,21.83,-160.18,45.43312527,1.478385131,16.25238417,9.35164023,11.06305977,9.912175986,0.1785974,0.386960538,2.778181774,0.267895605,0.683819836,0,0,28.9,0,247,365,55,200,75,106,18,7.2,564,21.69,65,15.59,0,0.03,273,16.52,32.73,4.25,17.83,4.24,1.44,4.17,0.63,3.63,0.7,1.87,0.27,1.68,0.26,1.59,0.85,0,1.36,1.12,0.19,0.703338,0.513026,18.134,15.457,37.783,0.17,2.128825291,0.052824407,0.025200028,0.006924562,0,11.3788,100,44.63509211,13.57574305,9.672734697,1.778224343,16.20325352,9.241059975,2.320636869,0.32323115,1.234906612,0.149183799,0.044124639,0.223775285,0.021049779,0.00578414,0.571200034,0,0.152542373,2.531909244,0.24,1432.637799,39,TRUE
OIB,Niihau,Dixon_2008,samp.70NII-11,Niihau,Rejuvenated,VOLCANICROCK,BASALT,HAWAIIANISLANDS/NIIHAU/REJUVENATEDSTAGE/KIEKIEBASALT/PACIFICOCEAN,0.5,0.5,Stratigraphic,21.83,-160.18,45.58666267,1.287812073,15.34310023,9.519230418,10.99678527,11.13759311,0.181099099,0.342075856,2.505200406,0.241465135,0.589818385,0,0,29.8,0,200,420,60,268,70,79,17,5.5,548,19.2,54,13.24,0,0.04,227,14.21,28.21,3.69,15.62,3.61,1.23,3.63,0.54,3.2,0.63,1.69,0.24,1.54,0.24,1.33,0.7,0,1.12,0.93,0.31,0.703313,0.513065,18.122,15.445,37.755,0.17,2.166975843,0.060828988,0.033792891,0.007559627,0,11.5742,100,44.89652662,13.19982391,9.724476398,1.864271177,16.33792763,9.4606453,2.155249181,0.29429131,1.107917717,0.155801382,0.052331792,0.207734892,0.029072365,0.006503624,0.507426707,0,0.13081269,2.460878224,0.24,1435.856123,39,TRUE
OIB,Niihau,Dixon_2008,samp.70NII-12,Niihau,Rejuvenated,VOLCANICROCK,BASALT,HAWAIIANISLANDS/NIIHAU/REJUVENATEDSTAGE/KIEKIEBASALT/PACIFICOCEAN,0.5,0.5,Stratigraphic,21.83,-160.18,45.58578965,1.291214692,15.46427865,9.488081405,11.2980543,10.24902281,0.181577004,0.393416017,2.824523476,0.292540674,0.678556539,0,0,28.5,0,216,388,59,234,75,83,17,7.6,639,20.55,60,15.33,0,0.07,264,16.61,32.48,4.19,17.67,4.06,1.36,3.9,0.58,3.37,0.66,1.78,0.26,1.57,0.25,1.44,0.81,0,1.3,1.12,0.3,0,0,0,0,0,0.17,2.159885022,0.05614975,0.02948229,0.007427727,0,11.5455,100,44.77264902,12.94328662,9.774721864,1.807779822,16.42859676,9.456241598,2.364068687,0.329281203,1.080720429,0.151976258,0.046996198,0.244850593,0.024676077,0.006216856,0.567938019,0,0.151103565,2.565561244,0.24,1445.063007,39,TRUE
OIB,Niihau,Dixon_2008,samp.70NII-18,Niihau,Rejuvenated,VOLCANICROCK,BASALT,HAWAIIANISLANDS/NIIHAU/REJUVENATEDSTAGE/KIEKIEBASALT/PACIFICOCEAN,0.5,0.5,Stratigraphic,21.83,-160.18,44.56358703,1.389489757,14.54464114,10.01297067,11.18589807,11.97560166,0.189930305,0.469827543,2.509080694,0.229915058,0.54712869,0,0,30.9,0,243,398,65,291,100,87,18,12.1,373,19.82,66,18.43,0,0.11,239,13.3,26.16,3.39,14.58,3.65,1.23,3.72,0.57,3.4,0.66,1.8,0.26,1.62,0.25,1.7,1.04,0,1.82,1.08,0.25,0.703382,0.513006,18.11,15.439,37.709,0.17,2.279371818,0.057660831,0.036704564,0.008192171,0,12.1707,100,43.99380883,12.42563878,10.15004614,1.947291142,17.28130556,9.556229502,2.143533833,0.401378575,1.187055606,0.162259442,0.04926025,0.196418834,0.031357093,0.006998657,0.467417752,0,0.136069114,2.860586876,0.24,1480.258032,39,TRUE
OIB,Niihau,Dixon_2008,samp.70NII-19,Niihau,Rejuvenated,VOLCANICROCK,BASALT,HAWAIIANISLANDS/NIIHAU/REJUVENATEDSTAGE/KIEKIEBASALT/PACIFICOCEAN,0.5,0.5,Stratigraphic,21.83,-160.18,44.60162382,1.48138828,14.84381624,10.15607643,11.4006773,11.19044937,0.190177475,0.410383546,2.542370266,0.220206071,0.551286807,0,0,32.4,0,252,395,66,270,49,97,17,11.6,376,21.49,67,18.68,0,0.13,260,13.73,26.36,3.46,15.01,3.71,1.27,3.92,0.59,3.53,0.69,1.87,0.27,1.67,0.26,1.76,1.07,0,0.81,1.13,0.24,0,0,0,0,0,0.17,2.311948689,0.057223625,0.034054248,0.00831783,0,12.3452,100,43.89451222,12.22070901,10.34653245,1.903395442,17.72453696,9.386020246,2.093098346,0.337863109,1.219606522,0.15657049,0.047111421,0.181292619,0.028036392,0.006847955,0.453866818,0,0.162829636,2.936022217,0.24,1492.912977,39,TRUE
OIB,Niihau,Dixon_2008,samp.70NII-21,Niihau,Rejuvenated,VOLCANICROCK,BASALT,HAWAIIANISLANDS/NIIHAU/REJUVENATEDSTAGE/KIEKIEBASALT/PACIFICOCEAN,0.5,0.5,Stratigraphic,21.83,-160.18,46.32201864,1.927172813,14.28900151,10.58792253,10.69428477,9.565963219,0.189721106,0.41938428,2.656103412,0.259618981,0.586200102,0,0,29.4,0,261,394,57,223,100,98,20,8.2,364,25.11,82,17.47,0,0.11,182,13.09,28.04,3.88,17.6,4.61,1.58,4.94,0.75,4.41,0.84,2.24,0.31,1.94,0.3,2.19,0.98,0,0.98,0.86,0.2,0.703358,0.512957,18.142,15.442,37.736,0.17,2.410254962,0.057057164,0.028115647,0.007180863,0,12.875,100,44.86607024,10.73019486,10.91341045,1.809958897,19.04590664,8.03077524,1.99457654,0.314932785,1.447192781,0.142469328,0.042846555,0.194958497,0.021113188,0.005392403,0.4402016,0,0.222697241,2.870735656,0.24,1516.831385,39,TRUE
OIB,Niihau,Dixon_2008,samp.70NII-28,Niihau,Rejuvenated,VOLCANICROCK,BASALT,HAWAIIANISLANDS/NIIHAU/REJUVENATEDSTAGE/KIEKIEBASALT/PACIFICOCEAN,0.5,0.5,Stratigraphic,21.83,-160.18,46.03940382,1.283612797,14.97212103,9.98674622,10.42928567,11.49231431,0.180507211,0.19053539,2.557190461,0.180507211,0.310064758,0,0,29.1,0,240,384,61,323,110,107,16,1.6,289,18.38,48,9.16,0,0.01,118,7,14.79,2.03,9.49,2.71,0.96,3.12,0.51,3.06,0.62,1.74,0.25,1.59,0.25,1.32,0.51,0,1.34,0.54,0.13,0.703373,0.513062,18.04,15.443,37.644,0.17,2.273402035,0.055764978,0.040837777,0.007706337,0,12.11,100,45.17528734,12.58157396,10.16268642,1.910415751,17.36670568,8.764077494,2.148892655,0.160113259,1.078662756,0.151686246,0.046861176,0.151686246,0.034317349,0.006475892,0.260557785,0,0.148211244,2.546856319,0.24,1468.046238,39,TRUE
OIB,Niihau,Dixon_2008,samp.70NII-29,Niihau,Rejuvenated,VOLCANICROCK,BASALT,HAWAIIANISLANDS/NIIHAU/REJUVENATEDSTAGE/KIEKIEBASALT/PACIFICOCEAN,0.5,0.5,Stratigraphic,21.83,-160.18,46.2711354,1.297038276,14.62937019,9.912063928,10.48691862,11.61301135,0.180982524,0.211146112,2.503581814,0.211146112,0.323445424,0,0,29.4,0,244,389,62,312,95,104,17,1.9,293,18.65,48,8.99,0,0.02,125,7.14,15.43,2.1,9.63,2.77,0.99,3.14,0.51,3.08,0.62,1.71,0.25,1.54,0.24,1.32,0.51,0,0.71,0.51,0.08,0,0,0,0,0,0.17,2.256401215,0.056484692,0.039442553,0.007831784,0,12.0208,100,45.41709379,12.41086472,10.08080693,1.914223912,17.18192982,8.896605024,2.123920224,0.179126361,1.100345837,0.153537001,0.047918937,0.179126361,0.033461194,0.006644114,0.274395777,0,0.141262344,2.466573501,0.24,1462.121808,39,TRUE
OIB,Niihau,Dixon_2008,samp.OX-130,Niihau,Rejuvenated,VOLCANICROCK,BASALT,HAWAIIANISLANDS/NIIHAU/REJUVENATEDSTAGE/KIEKIEBASALT/PACIFICOCEAN,0.5,0.5,Stratigraphic,21.83,-160.18,45.73714657,1.103790492,15.27246541,9.675853517,10.66665089,11.80057473,0.180620353,0.250861656,2.478513004,0.170586165,0.357933386,0,0,32.9,0,224,411,62,276,110,96,18,5.7,319,17.96,50,9.88,0,0.05,129,8.34,17.08,2.31,10.21,2.68,0.97,3.04,0.48,2.92,0.6,1.65,0.24,1.51,0.24,1.29,0.57,0,0.79,0.59,0.16,0,0,0,0,0,0.17,2.202629825,0.059662609,0.03488179,0.007829607,0,11.7376,100,45.07069797,13.26444038,9.832912861,1.913027871,16.62072591,9.264198736,2.152637906,0.217878345,0.958664026,0.156872374,0.051818164,0.148157481,0.030295529,0.006800169,0.310872275,0,0.123575811,2.466776756,0.24,1446.514447,39,TRUE
OIB,Niihau,Dixon_2008,samp.OX-121,Niihau,Rejuvenated,VOLCANICROCK,BASALT,HAWAIIANISLANDS/NIIHAU/REJUVENATEDSTAGE/KIEKIEBASALT/PACIFICOCEAN,0.5,0.5,Stratigraphic,21.83,-160.18,45.7780843,1.156919252,15.11968439,9.722126301,10.63171091,11.62898317,0.179521919,0.279256097,2.652936896,0.179521919,0.342010455,0,0,32.5,0,232,414,63,380,100,94,16,4.1,312,17.74,48,9.47,0,0.02,122,7.86,16.32,2.22,9.76,2.61,0.94,2.91,0.47,2.89,0.57,1.57,0.24,1.49,0.23,1.24,0.54,0,0.77,0.53,0.27,0.70334,0.513087,18.079,15.457,37.743,0.17,2.21316345,0.060098779,0.048026193,0.00795598,0,11.7936,100,45.06473148,13.01412081,9.891470714,1.904958845,16.75057206,9.151141429,2.283489548,0.240366961,0.995806958,0.15452174,0.051729438,0.15452174,0.041338077,0.006848032,0.294382162,0,0.130434783,2.529748869,0.24,1455.304396,39,TRUE
