Sample,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,H2O
Siqueiros,48.5,0.9,15.9,0,0,8,0.1,13.2,11.1,2.3,0,0,0,0
Iceland,47.2,0.7,12.3,0,0,9.3,0.2,18.2,10.5,1.4,0.1,0,0,0
Hawaii,47.2,1.6,9,0,0,11.6,0.2,21.4,7.3,1.4,0.2,0,0,0
Samoa,45.3,2.5,9.2,0,0,12,0.2,20.5,8,1.8,0.7,0,0,0
Kilauea-H,47.5,1.9,9.7,0,0,11.4,0.2,19.2,8,1.7,0.4,0,0,0
Morb-H,48.4,0.8,16.3,0,0,7.9,0.1,12.9,11.3,2.2,0,0,0,0
Avg-MORB,48,0.9,15.2,0,0,8.4,0.1,14.6,10.6,2.2,0,0,0,0
