Author,Sample,Island,Volcano,Stage,Phase,High_S,Ferric/Fe_Total,H2O(WT%),SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),S(WT%),Mg#,Fo
Helz_2017,Iki26-1 average 3,Hawaii,Kilauea,Shield,Melt_Inclusion,Y,0.145,,49.67,2.72,13.26,11.09,11.72,8.05,0.17,0.54,2.08,0.27,0.0069,58.97725672,85
Helz_2017,"Iki26-1 average 3, smaller ol",Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.145,,49.67,2.72,13.26,11.09,11.72,8.05,0.17,0.54,2.08,0.27,0.0069,58.97725672,84.2
Helz_2017,Iki-26-2 (1) edge,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.628,,49.84,2.63,13.15,11.41,11.23,8.53,0.17,0.54,2.32,0.23,,59.68834569,
Helz_2017,Iki-26-2 (2+ 3) ,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.173,,49.81,2.64,13,11.24,11.48,8.74,0.16,0.52,2.08,0.25,0.012,60.63101694,85.4
Helz_2017,Iki-26-2 ave 3 (recheck),Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.173,,49.87,2.63,13.14,11.07,11.61,8.62,0.17,0.53,1.96,0.26,0.0053,60.66478747,85.4
Helz_2017,Iki-26-2 (a3),Hawaii,Kilauea,Shield,Melt_Inclusion,Y,0.144,,49.98,2.54,12.96,11.16,11.4,8.83,0.18,0.52,2.14,0.26,0.0134,61.04528221,85
Helz_2017,Iki-26-2 (a4  + a5) ,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.144,,49.9,2.67,12.92,11.58,11.48,8.96,0.16,0.52,2.04,0.26,0.004,60.51302423,85
Helz_2017,Iki-26-2 (4) ,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.144,,49.8,2.7,13.14,11.01,11.55,8.17,0.14,0.54,2.09,0.28,,59.50933968,85
Helz_2017,Iki -26-2 (d1),Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.161,,49.95,2.71,13.2,11.14,11.88,8.27,0.16,0.5,2.1,0.22,0.0076,59.51963576,85.5
Helz_2017,Iki -26-2 (c2),Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.183,,49.96,2.64,13.05,11.21,11.84,8.35,0.17,0.52,1.95,0.23,0.0076,59.60063774,85.5
Helz_2017,Iki -26-2 (e3),Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.233,,50.08,2.65,13.08,10.95,11.68,8.53,0.15,0.47,1.92,0.23,0.0105,60.67441723,86.3
Helz_2017,Iki-26- 3 (b1 + a1) ,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.135,,50.02,2.59,13.09,11.36,11.64,8.92,0.17,0.55,2.12,0.24,0.004,60.86389041,85.7
Helz_2017,Iki-26-3 (b2) ,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.135,,50.31,2.75,13.1,10.93,11.38,8.55,0.15,0.52,2.03,0.18,0.0037,60.77387318,85.7
Helz_2017,Iki-26 3 (a2 + b2) small ol,Hawaii,Kilauea,Shield,Melt_Inclusion,Y,0.135,,50.02,2.56,12.99,11.27,11.49,8.66,0.14,0.53,2.09,0.2,0.0072,60.34754412,83.8
Helz_2017,Iki-32 -1 (a)  inclusion,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.157,,49.47,2.75,13.02,10.09,12.04,8.8,0.13,0.53,2.08,0.24,0.1151,63.33473023,87.2
Helz_2017,Iki-32 -1 (b) inclusion,Hawaii,Kilauea,Shield,Melt_Inclusion,Y,0.161,,49.48,2.65,13.07,9.91,12.06,8.91,0.16,0.56,2,0.29,0.1178,64.03830018,87
Helz_2017,Iki-32-1 incl (recheck),Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.161,,49.7,2.51,13.17,10.02,12.19,8.88,0.12,0.53,1.99,0.33,0.1142,63.70574851,87.2
Helz_2017,Iki-32-1 (f)  ,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.133,,49.48,2.61,12.95,10.62,11.39,8.86,0.17,0.54,2.11,0.21,,62.2977309,86.1
Helz_2017,Iki-32-1 (c)  ,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.137,,49.7,2.69,13.06,10.81,11.56,8.61,0.19,0.55,2.15,0.28,,61.20291395,84.9
Helz_2017,Iki-32-1 (d) ,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.13,,50.11,2.7,13.13,11.27,11.39,8.95,0.21,0.55,2.1,0.23,,61.13299811,85.4
Helz_2017,Iki-32-2 (a1),Hawaii,Kilauea,Shield,Melt_Inclusion,Y,0.134,,49.78,2.62,12.89,11.17,11.27,8.93,0.16,0.55,2.03,0.24,0.0117,61.29149521,85.6
Helz_2017,Iki-32-2 (a2) ,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.143,,49.78,2.55,12.89,11.21,11.44,8.91,0.16,0.56,2.19,0.24,0.0083,61.15340173,85.7
Helz_2017,Iki-32-2 (c1 + c2) ,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.127,,49.7,2.74,12.86,11.23,11.5,8.9,0.18,0.51,2.07,0.24,0.01125,61.08435639,85.2
Helz_2017,Iki-32-2 (d1 + d2) ,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.139,,49.63,2.7,12.99,11.08,11.31,8.86,0.2,0.56,2.13,0.26,0.0023,61.29672174,85
Dixon_1997,23D,Oahu,Oahu,Rejuvenated,Glass,,0.2,0.12,42,2.95,14.4,12.3,13.4,6.48,0.19,1.38,4.62,0.71,0.138,51.06279543,
Dixon_1997,24D-a,Oahu,Oahu,Rejuvenated,Glass,,0.19,0.13,42.7,2.1,14.1,12.2,13.2,8.06,0.2,0.98,4.3,0.65,0.12,56.68165947,
Dixon_1997,24D-b,Oahu,Oahu,Rejuvenated,Glass,,0.22,0.16,42.8,2.15,14.8,12,13.7,7.19,0.2,1,4.43,0.66,0.115,54.2691176,
Dixon_1997,27D-a,Oahu,Oahu,Rejuvenated,Glass,,0.23,0.11,42.6,2.71,13.6,12.6,13,7.87,0.2,1.29,4.13,0.59,0.122,55.29898194,
Dixon_1997,27D-b,Oahu,Oahu,Rejuvenated,Glass,,0.16,0.17,43.6,2.36,14.6,11.8,13.2,7.07,0.19,1.14,3.97,0.55,0.169,54.26853256,
Dixon_1997,9D,Oahu,Oahu,Rejuvenated,Glass,,0.12,0.12,44.9,2.16,14.6,11.8,12.3,7.55,0.18,0.85,3.81,0.38,0.137,55.89360045,
Dixon_1997,36D-b,Oahu,Oahu,Rejuvenated,Glass,,0.14,0.2,46,1.88,14.6,11.3,12.4,7.33,0.19,0.74,3.55,0.34,0.146,56.23167341,
Dixon_1997,17D-a,Oahu,Oahu,Rejuvenated,Glass,,0.13,0.13,45,1.89,14.2,11.4,11.6,8.71,0.16,0.78,3.44,0.32,0.133,60.21078057,
Dixon_1997,22D,Oahu,Oahu,Rejuvenated,Glass,,0.13,0.07,47.6,1.36,15.1,11.1,11.7,8.29,0.18,0.38,3.18,0.25,0.139,59.66441829,
