Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
OIB,Maui,Gaffney_2004,samp.WA04,West_Maui,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/WESTMAUI/SHIELDSTAGE/WAILUKUSERIES/PACIFICOCEAN,1.65,0.35,Stratigraphic,21.0189,-156.609,47.734,3.3794,13.6785,13.8797,10.9227,7.00018,0.198137,0.341963,2.84634,0.421419,0,-0.4,,30,,,126,,123,,127,21,2.15,458,36.7,200,16.5,,0.02,130.8,16.3,38.2,5.43,27.4,8.16,2.8,8.76,1.37,7.85,1.44,3.62,0.47,2.58,0.38,5.51,1.12,,1.01,1.04,0.23,0.703669,0.512998,18.505,15.494,38.013
OIB,Maui,Gaffney_2004,samp.LA35,West_Maui,Post-Shield,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/MAUI/WESTMAUI/POST-SHIELDSTAGE/HONOLUASERIES/PACIFICOCEAN,0.325,0.175,Stratigraphic,20.91,-156.59,45.1113,2.26265,12.685,12.4117,9.95161,11.6119,0.200449,1.38695,4.20134,0.480876,0,-0.3,,25,,,522,,304,,119,20,39.67,796,25.1,201,51,,0.45,633.8,39.4,70.3,7.76,31.8,7.35,2.45,6.93,1.02,5.54,0.98,2.32,0.3,1.69,0.24,4.85,3.1,,2.77,5.3,1.25,0.703289,0.513023,18.181,15.446,37.792
OIB,Maui,Ren_2004,samp.K216-7A,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6278,-155.135,49.7267,3.04511,12.6981,11.4989,9.61241,10.2823,0.233459,0.446617,2.13158,0.324812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.K216-7B,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6278,-155.135,49.8863,2.98751,12.6488,11.3267,9.60053,10.4411,0.192416,0.42534,2.18746,0.303814,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.K216-8A,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.627,-155.136,49.6671,3.01749,12.6066,11.389,9.72078,10.5005,0.182265,0.455662,2.14667,0.3139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.K216-9,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.625,-155.136,50.1602,2.94278,12.5477,11.5019,9.3086,10.1873,0.173706,0.500682,2.36036,0.316758,0,,,27,,298,604,55,418,,112,20,10,307,33,181,18,,,109,15.8,36,5.07,24.6,6.55,2.29,6.73,1.07,6.21,1.16,2.87,0.39,2.32,0.35,4.54,0.94,,0.77,1.12,0.33,,,,,
OIB,Maui,Ren_2004,samp.K216-10,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6125,-155.137,49.5623,2.35674,12.0467,11.5768,9.65959,12.0669,0.171951,0.364131,1.97238,0.222525,0,,,29,,286,1011,62,544,,107,19,6.1,280,25,128,12,,,65,11.35,26.78,3.57,17.86,4.93,1.76,4.42,0.78,4.32,0.86,2.08,0.3,1.95,0.25,2.82,0.59,,1.19,0.88,0.25,,,,,
OIB,Maui,Ren_2004,samp.K216-11A,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6125,-155.137,50.2928,2.88052,12.9269,10.9769,10.0768,9.75333,0.161713,0.444711,2.16291,0.323426,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.K216-11B,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6125,-155.137,49.7477,2.74749,12.6061,11.0703,9.84852,10.9596,0.161617,0.414143,2.14142,0.303032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.K216-11C,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6125,-155.137,49.403,2.89709,12.1576,11.5523,9.85011,11.0903,0.254131,0.396444,2.08387,0.315122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.K216-12B,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6103,-155.137,47.8426,2.85128,12.6735,11.7322,10.0657,11.8922,0.344994,0.304407,1.98879,0.304407,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.K216-12C,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6103,-155.137,49.0969,2.88746,12.5767,11.5361,9.98409,10.7771,0.335514,0.396517,2.10459,0.305013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.K216-13,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6097,-155.137,50.0182,2.84823,12.4687,11.5512,9.69218,10.1532,0.215154,0.481535,2.26424,0.307363,0,,,30,,302,978,67,527,,110,20,8,308,31,171,16,,,101,14.2,34.8,4.7,22.8,6.38,2.26,6.04,0.98,5.55,1.09,2.58,0.34,2.19,0.29,4.16,0.78,,2.97,0.98,0.35,,,,,
OIB,Maui,Ren_2004,samp.S687-1,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.5833,-155.099,50.343,2.7421,12.5527,11.1762,9.52627,10.4809,0.162495,0.446861,2.26477,0.304678,0,,,28,,301,982,55,524,,113,21,7.8,310,31,169,16,,,94,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.S687-3,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.584,-155.101,49.6247,2.47313,11.3723,11.3728,8.6154,13.6123,0.172308,0.405431,2.07783,0.273666,0,,,27,,271,1062,63,753,,105,18,7.7,279,27,153,14,,,93,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.S687-5,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.5847,-155.101,49.7166,2.47619,11.3864,11.3139,8.58548,13.5784,0.162373,0.405933,2.1007,0.274005,0,,,26,,264,1061,63,725,,104,18,7.3,277,27,152,15,,,93,12,30,4.11,19.3,5.02,1.88,4.91,0.82,4.95,0.95,2.33,0.31,1.98,0.28,3.44,0.71,,0.63,0.8,0.3,,,,,
OIB,Maui,Ren_2004,samp.S687-6,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.5854,-155.104,49.7925,2.50681,11.5839,11.5237,8.74351,12.8979,0.171838,0.414432,2.09238,0.272919,0,,,28,,280,1300,65,810,,107,19,8.4,285,28,157,15,,,90,12.1,30.9,4.24,22.6,6.22,1.81,5.65,0.88,4.87,1.04,2.38,0.34,2.19,0.32,3.96,0.82,,2.35,0.91,0.29,,,,,
OIB,Maui,Ren_2004,samp.S687-9,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.5854,-155.104,49.7912,2.5508,11.8734,11.3394,8.99866,12.4098,0.172078,0.425133,2.15603,0.283422,0,,,28,,286,835,60,576,,112,19,8.1,296,30,159,15,,,87,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.S687-11,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.5847,-155.107,49.737,2.51576,11.5137,11.3093,8.78488,13.1773,0.162307,0.415912,2.10999,0.273893,0,,,25,,270,962,63,662,,105,18,7.6,284,28,154,14,,,92,12.61,31.17,4.34,20.18,6.08,1.82,5.28,0.88,4.4,0.9,2.09,0.29,1.75,0.27,3.48,0.69,,0.66,0.82,0.26,,,,,
OIB,Maui,Ren_2004,samp.S687-13,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.5986,-155.107,49.5552,2.46912,11.3194,11.6298,8.70798,13.6564,0.172737,0.355635,1.90011,0.233703,0,,,27,,279,1031,66,731,,106,18,5.8,260,25,132,12,,,76,11,26.2,3.57,17.7,4.8,1.72,4.67,0.81,4.55,0.83,2.1,0.26,1.63,0.21,3.05,0.6,,0.43,0.64,0.2,,,,,
OIB,Maui,Ren_2004,samp.S687-15,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.5986,-155.107,49.2616,2.44039,11.4154,11.7324,8.87415,13.5129,0.21177,0.342865,1.96643,0.242022,0,,,27,,292,842,76,645,,110,19,5.6,270,27,135,12,,,73,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.S687-20,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6014,-155.107,49.197,2.65085,11.6819,11.9171,9.11167,12.6193,0.181427,0.322537,2.05617,0.262061,0,,,28,,312,813,64,612,,117,19,4.7,281,29,142,13,,,76,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.S687-21,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6042,-155.107,49.1521,2.48539,11.0529,11.9,8.83021,13.9222,0.171755,0.343509,1.90951,0.232374,0,,,28,,289,1039,67,761,,110,19,5.4,259,26,132,12,,,80,11.73,23.85,3.33,16.05,4.59,1.71,4.07,0.69,4.27,0.86,2.03,0.25,1.67,0.22,2.84,0.57,,0.62,0.58,0.21,,,,,
OIB,Maui,Ren_2004,samp.S687-23,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6056,-155.107,49.5135,2.41085,11.5579,11.4571,9.01535,13.3812,0.172203,0.344407,1.92463,0.222851,0,,,28,,274,1011,63,685,,104,18,5.3,262,25,126,11,,,72,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.S691-2A,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6806,-155.124,49.6891,2.70071,11.6049,11.374,9.09714,12.671,0.162449,0.456888,1.97985,0.263979,0,,,28,,279,833,60,559,,105,19,6.2,278,29,153,14,,,83,12.2,31.2,4.37,21.4,5.95,2.05,5.67,0.86,4.88,0.97,2.33,0.3,2.21,0.32,3.72,0.78,,0.6,0.83,0.26,,,,,
OIB,Maui,Ren_2004,samp.S691-3,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6764,-155.126,49.1266,2.35143,10.1456,11.4363,7.47997,16.5816,0.172303,0.435825,1.98655,0.283793,0,,,23,,250,1326,77,992,,105,18,7.4,236,29,165,15,,,92,13.3,33,4.31,20.7,5.6,1.93,5.61,0.85,4.77,0.91,2.28,0.31,2.03,0.27,3.84,0.67,,0.88,0.97,0.31,,,,,
OIB,Maui,Ren_2004,samp.S691-4B,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6715,-155.131,47.1498,2.78673,11.1877,11.968,8.75828,15.0055,0.163325,0.551221,2.12322,0.306234,0,,,24,,249,1034,71,766,,112,18,8.4,373,25,166,19,,,124,15.18,36.37,4.81,22.31,5.42,1.99,4.8,0.75,4.09,0.75,1.75,0.23,1.53,0.21,3.35,0.87,,0.73,1.06,0.4,,,,,
OIB,Maui,Ren_2004,samp.S691-5A,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6694,-155.132,48.05,2.69421,11.9416,11.9116,9.32843,12.9849,0.172186,0.50643,2.127,0.283601,0,,,28,,270,825,64,570,,111,19,8.3,373,25,158,17,,,109,14.1,33.2,4.37,20.2,5.41,1.83,4.75,0.75,4.05,0.74,1.83,0.23,1.53,0.19,3.12,0.77,,0.81,0.96,0.28,,,,,
OIB,Maui,Ren_2004,samp.S691-5B,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6694,-155.132,47.9135,2.66749,11.8161,11.9828,9.36159,13.1448,0.172424,0.527413,2.12994,0.283992,0,,,27,,266,842,64,599,,112,19,8.1,371,26,156,16,,,102,13.74,33.89,4.45,20.42,5.31,1.9,4.77,0.71,4.12,0.8,1.71,0.22,1.55,0.2,3.17,0.78,,0.71,0.91,0.33,,,,,
OIB,Maui,Ren_2004,samp.K216-2A,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6375,-155.135,49.9284,2.8542,12.6931,11.1681,9.83895,10.452,0.17085,0.4221,2.1708,0.3015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.K216-2B,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6375,-155.135,49.1311,2.98194,12.2523,11.7182,9.61525,11.4308,0.172425,0.45642,1.92711,0.314423,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.K216-3,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6361,-155.135,50.4075,2.47939,12.8119,11.0455,9.9884,10.3122,0.192279,0.404798,2.12519,0.232759,0,,,29,,287,790,61,403,,103,19,8.7,286,28,135,14,,,84,13.3,28.6,3.94,19.5,5.14,1.93,5.45,0.85,5.1,0.95,2.33,0.28,2.08,0.29,3.44,0.71,,1.88,0.92,0.26,,,,,
OIB,Maui,Ren_2004,samp.K216-4,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6333,-155.135,49.9896,2.62625,12.8181,11.2429,10.3838,10.1313,0.171716,0.414139,1.97979,0.242423,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.K216-5A,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6319,-155.135,50.0022,2.62157,13.371,10.9475,10.3952,9.72715,0.232804,0.384633,2.07499,0.242926,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.K216-5B,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6319,-155.135,50.1455,2.65251,13.0306,11.1259,10.3175,9.97463,0.171455,0.363081,1.96669,0.252139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIB,Maui,Ren_2004,samp.K216-6,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.6305,-155.135,50.0371,2.598,12.9593,11.3202,10.3613,9.72716,0.173882,0.398906,2.18887,0.235252,0,,,29,,282,769,55,381,,105,20,8.1,293,29,142,15,,,82,12.9,28.3,4.08,19.8,5.62,2.09,5.83,0.96,5.29,1.04,2.51,0.32,2.1,0.3,3.58,0.74,,0.7,0.9,0.25,,,,,
OIB,Maui,Ren_2004,samp.K212-1B,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.5417,-154.934,48.1612,2.05028,10.0464,11.438,8.12937,17.7862,0.174274,0.328045,1.68123,0.205028,0,,,24,,225,1156,76,935,,98,8,12,233,23,113,12,,,67,10,23.9,3.3,15.8,4.32,1.54,4.64,0.72,3.96,0.79,1.92,0.25,1.65,0.21,2.88,0.54,,0.93,0.69,0.22,,,,,
OIB,Maui,Ren_2004,samp.K212-2A,Haleakala,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/MAUI/HALEAKALA/SHIELDSTAGE/PACIFICOCEAN,1.05,0.05,Stratigraphic,20.5389,-154.935,47.9932,2.0551,9.95854,11.6103,8.01591,18.0358,0.194263,0.316956,1.61545,0.204487,0,,,22,,226,1520,82,1095,,99,16,4.6,232,23,120,11,,,65,10.2,25.6,3.34,16.4,4.68,1.6,4.25,0.7,4.15,0.79,1.89,0.28,1.69,0.22,2.95,0.54,,2.29,0.89,0.2,,,,,
