,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,src_Fo
3425,OIB,Hawaii,Lipman_2006,samp.S710-R5X,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVES710/PACIFICOCEAN,0.2,0.07,Stratigraphic,18.95,-155.1,51.8164,2.09902,13.8921,11.2227,10.85,7.18939,0.172383,0.324486,2.31196,0.233224,0.48,-0.11,,,,318.0,334.0,,77.0,125.0,103.0,18.0,6.0,276.0,26.0,118.0,10.0,,,61.0,7.0,16.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3426,OIB,Hawaii,Lipman_2006,samp.S710-R7A,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVES710/PACIFICOCEAN,0.2,0.07,Stratigraphic,18.95,-155.1,50.4683,2.26447,13.0994,10.6904,10.8654,9.62654,0.162473,0.365565,2.2137,0.253865,0.75,-0.01,,,,333.0,745.0,,273.0,120.0,109.0,20.0,6.0,309.0,24.0,125.0,12.0,,,78.0,11.0,25.0,,20.0,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3427,OIB,Hawaii,Lipman_2006,samp.S710-R7D,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVES710/PACIFICOCEAN,0.2,0.07,Stratigraphic,18.95,-155.1,50.9968,2.14349,13.1047,11.1518,10.5651,9.16317,0.172698,0.284444,2.27555,0.233651,0.42,-0.09,,,,309.0,566.0,,186.0,73.0,100.0,20.0,4.0,277.0,24.0,116.0,10.0,,,64.0,11.0,14.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3428,OIB,Hawaii,Lipman_2006,samp.K209-1A,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,49.553,1.82823,11.5319,12.2953,9.14114,13.1994,0.160723,0.25113,1.87845,0.160723,0.72,,2.76,24.4,,307.0,773.0,,462.0,,,15.8,6.4,238.0,22.1,99.0,10.6,,0.05,70.0,6.7,24.0,2.55,12.2,3.44,1.21,3.78,0.64,3.68,0.68,1.72,0.25,1.5,0.21,2.47,0.48,,0.86,0.46,0.15,,,,,,0.2,0.89
3429,OIB,Hawaii,Lipman_2006,samp.K209-1B,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,49.2402,2.26426,11.6434,12.5591,9.87219,11.8748,0.161014,0.332092,1.85167,0.201268,0.99,,,28.8,,326.0,821.0,,345.0,,,16.9,8.1,285.0,24.6,129.0,14.9,,,93.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3430,OIB,Hawaii,Lipman_2006,samp.K209-2A,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,48.4108,1.69845,10.9158,12.6738,8.56178,15.594,0.158919,0.168852,1.69845,0.11919,0.45,,3.92,25.1,,258.0,1093.0,,592.0,,,16.2,4.8,213.0,18.8,88.0,8.8,,0.04,50.0,7.0,15.0,2.68,12.9,3.66,1.3,4.03,0.68,4.07,0.76,1.89,0.28,1.69,0.24,2.66,0.5,,0.69,0.46,0.14,,,,,,0.2,0.89
3431,OIB,Hawaii,Lipman_2006,samp.K209-2B,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,50.7812,2.09971,13.2949,12.2898,10.5682,8.14011,0.15922,0.298537,2.19922,0.169171,0.75,,,28.4,,329.0,334.0,,119.0,,,19.9,5.4,263.0,26.0,110.0,10.1,,,63.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3432,OIB,Hawaii,Lipman_2006,samp.K209-3A,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,50.9212,2.04369,13.5609,12.3326,10.6715,7.60093,0.161079,0.231551,2.29538,0.181214,0.66,,2.12,30.0,,348.0,263.0,,102.0,,,18.2,6.5,245.0,31.1,116.0,10.4,,0.04,67.0,7.6,22.0,2.98,14.7,4.29,1.55,4.91,0.86,5.2,1.03,2.58,0.38,2.45,0.36,3.13,0.49,,0.57,0.51,0.16,,,,,,0.2,0.89
3433,OIB,Hawaii,Lipman_2006,samp.K209-4A,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,49.4126,1.69696,10.9348,11.9088,8.60528,15.1722,0.150618,0.230947,1.72708,0.160659,0.45,,,24.0,,273.0,796.0,,624.0,,,15.0,6.9,224.0,21.2,92.0,9.9,,,66.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3434,OIB,Hawaii,Lipman_2006,samp.K209-4B,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,51.3842,2.0713,13.5431,11.7407,11.0038,7.43876,0.159331,0.268871,2.21071,0.179247,0.69,,2.91,29.1,,343.0,377.0,,111.0,,,19.7,5.6,272.0,25.9,108.0,10.4,,0.05,68.0,7.4,23.0,2.86,13.8,3.91,1.48,4.49,0.75,4.43,0.84,2.14,0.31,1.83,0.27,2.9,0.56,,0.63,0.49,0.16,,,,,,0.2,0.89
