Area,Province,Author,Sample,Unique_Id,Flow,RockType,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
1,EPRR29,GOSS/2010,JS20268-015,,,,,ICP-MS,,,GL,9.849,-104.285,,,,,,,,,,,,,,42.4,2.296661102,293,265,41.1,97,70,77.8,16.7,0.97,116,32.6,89.9,2.24,,,,3.36,10.56,1.82,9.8,3.36,1.22,4.39,0.82,5.22,1.13,3.28,,3.29,0.48,2.45,0.158,,0.208,0.131,0.056,,,18.258,15.472,37.673
1,EPRR29,GOSS/2010,JS20268-024,,,,,ICP-MS,,,GL,9.854,-104.274,,,,,,,,,,,,,,41.7,2.233722871,283,283,40.1,99,71,79.5,16,0.99,116,31.4,86.1,2.18,,,,3.31,10.33,1.78,9.56,3.25,1.2,4.38,0.8,5.12,1.1,3.19,,3.19,0.46,2.43,0.149,,0.126,0.133,0.056,,,18.266,15.472,37.681
1,EPRR29,GOSS/2010,JS20268-021,,,,,ICP-MS,,,GL,9.853,-104.278,,,,,,,,,,,,,,42.4,2.263439065,288,302,40.9,99,72,83.7,16.5,0.92,116,31.9,87.7,2.23,,,,3.09,9.57,1.66,9.27,3.24,1.16,4.34,0.8,5.13,1.1,3.19,,3.11,0.46,2.26,0.133,,0.09,0.132,0.052,,,18.267,15.471,37.678
1,EPRR29,GOSS/2010,ALV4296-002,,,,,ICP-MS,,,GL,9.919,-104.301,,,,,,,,,,,,,,41.3,2.406010017,297,288,38.9,82,70,81.5,16.6,0.99,114,33.3,91.3,2.46,,,,3.35,10.52,1.78,9.76,3.27,1.2,4.45,0.82,5.38,1.17,3.32,,3.29,0.5,2.49,0.168,,0.099,0.129,0.058,,,18.271,15.475,37.693
1,EPRR29,GOSS/2010,ALV2351-002/RE,,,,,ICP-MS,,,GL,9.836,-104.291,,,,,,,,,,,,,,39,2.055258765,254,365,37,108,76,74,,0.78,116,30,84,2.3,,,,2.9,9.3,1.6,8.5,3,1.2,4.3,0.78,4.8,1,2.8,,2.8,0.46,2.2,0.15,,,0.15,0.05,,,,,
1,EPRR29,GOSS/2010,ALV2497-005,,,,,ICP-MS,,,GL,9.9,-104.299,,,,,,,,,,,,,,46.6,,321,285,,,,,,,124,34.4,102.7,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR29,GOSS/2010,ALV4202-001,,,,,ICP-MS,,,GL,9.847,-104.296,,,,,,,,,,,,,,38.7,2.248914858,287,266,39.8,97,70,73.1,16.6,0.8,109,31.4,86.7,2.4,,,,2.95,9.75,1.63,8.63,3.1,1.11,4.1,0.76,4.99,1.08,3.1,,3.02,0.48,2.25,0.156,,0.273,0.131,0.055,,,,,
1,EPRR29,GOSS/2010,ALV4203-001,,,,,ICP-MS,,,GL,9.839,-104.293,,,,,,,,,,,,,,40,2.271786311,288,290,41.2,99,73,83.3,16.4,0.92,114,31.8,88,2.29,,,,3.13,9.88,1.71,9.2,3.14,1.16,4.3,0.8,5.16,1.11,3.19,,3.15,0.47,2.39,0.151,,0.133,0.116,0.052,,,,,
1,EPRR29,GOSS/2010,ALV4203-003,,,,,ICP-MS,,,GL,9.838,-104.292,,,,,,,,,,,,,,39.6,2.170617696,277,316,40.4,100,74,79.3,16,0.92,115,30.3,86.1,2.21,,,,3.03,9.58,1.63,8.87,3.04,1.12,4.1,0.77,4.96,1.06,3.01,,2.98,0.45,2.3,0.145,,0.123,0.119,0.052,,,,,
1,EPRR29,GOSS/2010,ALV4204-005,,,,,ICP-MS,,,GL,9.884,-104.293,,,,,,,,,,,,,,40.2,2.372287145,297,289,39.9,84,70,80.1,16.3,0.94,112,32.2,91.5,2.45,,,,3.25,10.25,1.75,9.52,3.21,1.18,4.4,0.82,5.33,1.14,3.28,,3.22,0.49,2.48,0.156,,0.166,0.115,0.057,,,,,
1,EPRR29,GOSS/2010,ALV4204-006,,,,,ICP-MS,,,GL,9.885,-104.292,,,,,,,,,,,,,,41.7,2.420868114,303,295,41,85,72,82.9,16.8,0.99,115,33.3,93.5,2.53,,,,3.31,10.44,1.76,9.7,3.27,1.19,4.51,0.84,5.42,1.17,3.35,,3.27,0.5,2.52,0.167,,0.18,0.123,0.056,,,,,
