,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe
966,OIB,Oahu,Frey_1994,samp.KOO-13,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,52.8996,2.13715,14.0645,10.4025,9.39328,7.33755,0.183184,0.42743,2.88006,0.274776,0.47664000000000006,,,25.5,,252.0,266.0,41.8,130.0,,112.0,20.2,5.5,406.0,26.0,158.0,10.3,,,80.0,12.7,33.1,,21.9,5.74,1.91,,1.0,,,,,1.98,0.3,3.85,0.57,,,0.49,,,,,,,0.15
967,OIB,Oahu,Frey_1994,samp.KOO-14,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,53.1617,2.12971,14.1271,10.2478,9.27947,7.18018,0.172405,0.425943,2.9816,0.294103,0.36,,,,,250.0,279.0,,127.0,,113.0,21.0,6.5,402.0,24.5,158.0,9.9,,,94.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
968,OIB,Oahu,Frey_1994,samp.KOO-15,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,53.1576,2.13894,14.1577,10.5212,9.09557,7.21127,0.183337,0.37686,2.87228,0.285191,0.468,,,25.6,,216.0,286.0,43.8,128.0,,107.0,20.2,1.39,388.6,26.3,153.0,9.9,,0.028,109.8,12.8,32.5,,22.3,5.64,2.0,,0.85,,,,,2.04,0.27,3.78,0.55,,,0.7,,,,,,,0.15
969,OIB,Oahu,Frey_1994,samp.KOO-17A,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,47.5405,1.29647,9.32027,11.6565,5.94129,21.9889,0.163334,0.0918756,1.8273,0.173543,0.27647999999999995,,,17.5,,170.0,894.0,87.8,1121.0,,112.0,13.2,,280.0,17.1,103.0,6.4,,,34.0,7.55,19.2,,12.6,3.11,1.08,,0.44,,,,,1.08,0.164,2.15,0.34,,,0.18,,,,,,,0.15
970,OIB,Oahu,Frey_1994,samp.KOO-17,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,52.9796,1.91211,13.2729,10.2225,8.92995,9.01132,0.183074,0.437344,2.76645,0.284782,0.4104,,,24.8,,205.0,395.0,46.5,236.0,,97.0,20.2,6.26,401.1,21.8,141.0,8.9,,0.062,93.2,10.8,28.5,,18.7,4.87,1.64,,0.83,,,,,1.61,0.24,3.35,0.48,,,,,,,,,,0.15
971,OIB,Oahu,Frey_1994,samp.KOO-18,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,52.848,2.10533,13.8686,10.4007,9.60686,7.28691,0.183961,0.429243,2.98426,0.286162,0.4665599999999999,,,24.9,,240.0,290.0,41.4,115.0,,107.0,20.3,7.46,443.4,22.6,153.0,10.7,,0.079,107.6,12.2,32.4,,20.1,4.97,1.76,,0.7,,,,,1.41,0.23,3.53,0.58,,,,,,,,,,0.15
972,OIB,Oahu,Frey_1994,samp.KOO-21,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,52.4634,1.97223,13.2947,10.1971,8.78817,9.46262,0.17372,0.327002,3.02477,0.296345,0.3024,,,,,220.0,473.0,,271.0,,105.0,20.7,2.7,408.0,22.6,137.0,8.5,,,106.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
973,OIB,Oahu,Frey_1994,samp.KOO-22,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,52.5882,2.21413,14.2337,10.5673,10.0809,7.00972,0.173458,0.418339,2.408,0.306102,0.4536,,,26.9,,266.0,286.0,41.0,118.0,,117.0,20.4,6.4,440.0,24.1,154.0,11.2,,,127.0,12.2,31.5,,20.7,5.08,1.81,,0.76,,,,,1.56,0.25,3.46,0.64,,,,,,,,,,0.15
974,OIB,Oahu,Frey_1994,samp.KOO-23A,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.85,53.3103,2.24591,13.9868,9.7525,9.07388,7.49974,0.150396,0.521372,3.13826,0.320844,0.45792,,,23.1,,233.0,262.0,42.9,211.0,,108.0,19.4,6.5,447.0,22.7,169.0,10.1,,,109.0,11.7,31.8,,21.0,5.65,1.89,,0.89,,,,,1.68,0.25,3.72,0.59,,,0.63,,,,,,,0.15
975,OIB,Oahu,Frey_1994,samp.KOO-23,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.3156,-157.657,53.303,2.21338,13.7553,9.94889,9.11629,7.52953,0.161708,0.505337,3.12298,0.343629,0.45504000000000006,,,23.1,,234.0,260.0,42.4,200.0,,112.0,20.0,6.1,458.0,22.8,166.0,9.7,,,118.0,12.0,31.6,,21.1,5.73,1.91,,0.88,,,,,1.69,0.24,3.76,0.56,,,0.57,,,,,,,0.15
976,OIB,Oahu,Frey_1994,samp.KOO-24,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,53.0686,1.8345,13.1861,10.5151,8.89883,8.92923,0.192571,0.385143,2.75681,0.233113,0.33552000000000004,,,25.2,,202.0,369.0,46.5,166.0,,98.0,19.8,4.0,360.0,20.1,112.0,6.9,,,85.0,9.08,23.3,,16.3,4.4,1.52,,0.7,,,,,1.69,0.24,2.74,0.44,,,0.34,,,,,,,0.15
977,OIB,Oahu,Frey_1994,samp.KOO-25,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,51.9074,2.25817,14.187,10.4328,9.34658,7.88839,0.182273,0.313915,3.15941,0.324042,0.46368000000000004,,,23.9,,224.0,282.0,43.7,190.0,,103.0,21.6,1.8,473.0,23.8,165.0,10.0,,,106.0,12.0,32.2,,21.2,5.66,1.92,,0.83,,,,,1.73,0.24,3.91,0.6,,,0.6,,,,,,,0.15
978,OIB,Oahu,Frey_1994,samp.KOO-26,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,53.1702,1.84055,14.2514,10.4918,9.73742,7.27993,0.185083,0.185083,2.61173,0.246777,0.33696,,,26.1,,232.0,308.0,43.2,81.0,,118.0,19.9,1.87,353.6,22.6,116.0,7.4,,0.024,66.7,8.75,23.4,,15.5,4.26,1.6,,0.68,,,,,1.74,0.24,3.02,0.42,,,0.32,,,,,,,0.15
