,Area,Province,Author,Sample,Unique_Id,Flow,RockType,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
1257,1,MARR169,Kelley/Kingsley/andSchilling/inrevision,CON2806-016-010,,,,,ICP-MS,,,GL,-0.27,-16.235,50.24,1.52,14.89,9.71,11.03,8.33,0.17,0.28,3.05,0.16,,,4.7,53.0,1.540901503,263.0,317.0,40.6,156.0,60.0,81.3,16.3,4.587,163.0,32.5,116.8,8.55,1.066,0.061,,6.63,17.39,2.64,12.96,3.75,1.305,4.35,0.827,5.41,1.21,3.35,,3.1,0.47,2.71,0.5276,0.021,0.649,0.621,0.174,0.702692,0.51307,18.806,15.582,38.476
1258,1,MARR169,Kelley/Kingsley/andSchilling/inrevision,CON2806-008-001,,,,,ICP-MS,,,GL,-0.405,-16.089,50.2,1.51,14.89,10.11,10.85,8.15,0.18,0.27,3.03,0.21,,,5.6,36.7,1.610517529,258.0,290.0,43.9,140.0,68.0,90.5,17.0,4.09,178.0,30.1,103.9,7.93,0.862,0.057,,6.26,16.17,2.51,12.43,3.81,1.33,4.42,0.809,5.18,1.12,3.19,,2.93,0.44,2.32,0.4896,0.021,0.626,0.547,0.153,0.702811,0.513054,19.012,15.593,38.55
1259,1,MARR170,Kelley/Kingsley/andSchilling/inrevision,CON2806-011-001,,,,,ICP-MS,,,GL,-1.261,-15.92,49.83,1.06,15.41,9.03,12.12,9.42,0.15,0.11,2.42,0.08,,,4.7,34.3,1.032053422,236.0,362.0,42.5,154.0,73.0,75.3,14.3,1.73,115.0,24.4,67.4,3.101,0.5,0.03,,2.72,8.81,1.48,7.58,2.49,0.96,3.49,0.6,3.94,0.87,2.49,,2.28,0.36,1.33,0.2023,0.016,0.266,0.171,0.05,0.702483,0.51313,18.554,15.518,38.132
1260,1,MARR170,Kelley/Kingsley/andSchilling/inrevision,CON2806-010-006,,,,,ICP-MS,,,GL,-1.062,-15.976,50.57,1.56,14.73,10.2,11.02,8.11,0.17,0.17,2.89,0.14,,,6.1,40.2,1.653422371,296.0,255.0,41.1,118.0,70.0,89.1,17.2,2.33,129.0,33.9,110.8,5.149,0.924,0.038,,4.86,14.33,2.36,12.3,3.95,1.36,4.6,0.898,5.92,1.31,3.75,,3.47,0.52,2.61,0.3218,0.02,0.5,0.352,0.098,0.702504,0.513064,18.667,15.543,38.219
1261,1,MARR170,Kelley/Kingsley/andSchilling/inrevision,CON2806-009-003,,,,,ICP-MS,,,GL,-0.742,-16.077,51.21,1.91,13.63,11.53,10.73,6.73,0.21,0.24,3.06,0.18,,,7.3,41.8,1.845075125,326.0,179.0,42.3,82.0,66.0,92.4,18.0,3.64,136.0,37.4,129.6,6.89,1.009,0.048,,6.08,17.14,2.73,13.94,4.44,1.5,4.42,0.956,6.62,1.45,4.17,,3.97,0.59,3.15,0.4393,0.022,0.567,0.443,0.135,0.702568,0.513112,18.656,15.532,38.18
1262,1,MARR170,Kelley/Kingsley/andSchilling/inrevision,CON2806-012-001,,,,,ICP-MS,,,GL,-1.536,-15.888,49.93,1.47,15.26,9.94,11.17,8.33,0.17,0.17,2.97,0.14,,,5.0,34.1,1.424540902,254.0,286.0,40.2,128.0,67.0,84.1,15.7,2.56,151.0,30.9,105.2,4.619,0.804,0.039,,4.3,13.25,2.17,11.06,3.49,1.22,4.12,0.766,5.17,1.12,3.27,,2.93,0.46,2.31,0.3167,0.02,0.447,0.294,0.085,0.702575,0.513084,18.612,15.525,38.142
1263,1,MARR170,Kelley/Kingsley/andSchilling/inrevision,CON2806-014-002,,,,,ICP-MS,,,GL,-1.159,-15.938,50.37,1.9,14.13,11.54,10.86,7.11,0.18,0.22,3.0,0.16,,,6.3,36.6,1.832053422,314.0,196.0,40.4,86.0,63.0,97.8,17.5,3.47,129.0,40.0,135.1,6.33,1.03,0.047,,5.71,16.87,2.71,13.96,4.52,1.45,4.78,0.97,6.84,1.51,4.37,,3.97,0.61,3.28,0.417,0.023,0.55,0.424,0.126,0.702585,0.513094,18.63,15.554,38.24
1264,1,MARR170,Kelley/Kingsley/andSchilling/inrevision,CON2806-013-003,,,,,ICP-MS,,,GL,-1.365,-15.919,50.37,1.37,14.73,10.15,11.19,8.63,0.17,0.15,2.68,0.13,,,4.1,35.6,1.349749583,258.0,308.0,41.0,140.0,73.0,83.9,16.6,2.26,122.0,31.3,98.0,4.023,0.709,0.034,,3.9,12.27,2.04,10.53,3.42,1.2,3.98,0.786,5.28,1.16,3.25,,3.11,0.47,2.22,0.2771,0.018,0.38,0.259,0.078,0.702631,0.513097,18.574,15.525,38.117
1265,1,MARR171,Sunetal./2008,1322-32,,,,,LA-ICP-MS,,,GL,-1.18,-13.15,50.29,1.66,15.31,9.85,10.89,7.34,,0.17,2.86,0.12,,,7.1,36.6,1.614744574,305.0,,,,,,18.6,2.49514,129.0,31.2,93.4,4.22804,,,,3.9601,12.4651,,10.5635,3.50891,1.36245,4.554,,5.45633,,3.37812,,3.21248,0.47,2.50963,0.248366,,0.545081,0.235,0.08,,,,,
1266,1,MARR171,Sunetal./2008,1322/35,,,,,LA-ICP-MS,,,GL,-1.18,-13.15,50.68,1.69,15.08,9.89,10.6,7.65,,0.12,2.94,0.11,,,7.4,35.6,1.636540902,315.0,,,,,,18.3,2.00619,130.0,31.7,96.4,3.8656,,,,3.93503,12.6864,,11.0965,3.68554,1.3934,4.66338,,5.49548,,3.36517,,3.25804,0.48,2.60862,,,0.555602,0.214,0.076,,,,,
