seg name,seg lat,seg lon,Distance from Hotspot,Hotspot Name,mean depth,minmax depth,length (km),spread rate,n pts,nlocs,Si method,Si slope,Si8 mean,Si8 std,Fe method,Fe slope,Fe8 mean,Fe8 std,Na method,Na slope,Na8 mean,Na8 std,Ca method,Ca slope,Ca8 mean,Ca8 std,Al method,Al slope,Al8 mean,Al8 std,Ti method,Ti slope,Ti8 mean,Ti8 std,K8 mean,K8 std,P8 mean,P8 std,,Si90,Ti90,Al90,Fe90,Mg90,Ca90,Na90,K90,+ACI-Confidence (1+AD0-best, 3+AD0- worst)+ACI-,87Sr/86Sr_conc,143Nd/144Nd_conc,206Pb/204Pb_conc,207Pb/204Pb_conc,208Pb/204Pb_conc,176Hf/177Hf_conc,,Crustal_Thickness_km,Plate_Age,Ref
EPRR62,-17.612,-113.236,1096,Easter,-2809.1,561.9,375.76,146.6,68,34,1,-0.564,50.06,0.41,1,-2.056,9.88,0.77,1,-0.224,2.69,0.17,1,0.78,12.02,0.37,1,1.305,14.77,0.69,1,-0.349,1.67,0.17,0.109,0.05,0.166,0.03,,48.48,1.28,13.29,9.24,13.98,10.68,2.22,0.08,1,,0.702632,0.513124,,,,,,5.38018,1.5,Hoggard(2017)
EPRR63,-20.004,-113.684,864,Easter,-2910,490.4,155.46,148.04,35,20,1,-0.012,50.72,0.34,1,-2.572,8.68,0.73,1,-0.208,2.6,0.09,1,1.204,12.3,0.22,1,1.623,15.9,0.71,1,-0.632,1.31,0.18,0.107,0.06,0.156,0.03,,49.92,0.92,15.43,7.66,11.61,11.9,2.3,0.09,2,,0.702562,0.513147,,,,,,,,
EPRR64,-21.828,-114.333,723,Easter,-2996.8,439.8,274.06,148.99,33,20,1,-0.375,50.65,0.45,1,-1.738,9.76,0.56,1,-0.365,2.74,0.25,1,1.001,11.95,0.38,1,0.883,14.54,0.51,1,-0.477,1.59,0.18,0.071,0.04,0.175,0.03,,49.05,1.15,12.87,9.29,14.05,10.7,2.2,0.05,1,,0.702422,0.513179,18.187,15.476,37.619,0.28324,,,,
EPRR65,-23.619,-115.461,665,Easter,-2987.6,999.9,154.39,149.8,4,3,3,-0.5,50.17,0.56,3,-1.6,9.86,0.5,3,-0.32,2.64,0.26,3,1,12.05,0.15,3,1,15.22,0.47,3,-0.43,1.52,0.15,0.016,0.02,0.174,0.11,,48.51,1.11,13.39,9.47,14.33,10.68,2.11,0.01,3,,0.702434,0.51316,18.204,15.485,37.679,0.28323,,,,
EPRR67,-25.784,-115.789,592,Easter,-2695.2,1329.9,253.52,150.47,3,3,3,-0.5,50.16,0.35,3,-1.6,9.75,0.37,3,-0.32,2.49,0.06,3,1,12.5,0.21,3,1,15.08,0.09,3,-0.43,1.42,0.17,0.055,0.01,0.12,0.03,,48.56,1.03,13.34,9.35,14.14,11.13,1.99,0.04,3,,0.70262,0.513131,18.448,15.51,37.973,0.28321,,,,
EPRR70,-26.377,-112.671,274,Easter,-2643.1,402.7,220.62,150.46,7,6,3,-0.5,49.71,0.61,3,-1.6,9,0.59,3,-0.32,2.64,0.08,3,1,11.81,0.65,3,1,16.03,0.71,3,-0.43,1.73,0.29,0.169,0.13,0.218,0.04,,48.45,1.35,14.69,8.55,12.93,10.93,2.21,0.13,2,,0.702811,0.513023,19.191,15.585,38.798,0.28309,,,,
EPRR71,-27.929,-112.933,307,Easter,-2377.6,598,125.56,150.82,33,3,3,-0.5,49.95,0.13,3,-1.6,9.85,0.16,3,-0.32,2.68,0.11,3,1,12.61,0.1,3,1,14.92,0.18,3,-0.43,1.27,0.05,0.08,0.01,0.137,0.01,,48.33,0.9,13.13,9.46,14.31,11.16,2.15,0.06,2,,,,,,,,,,,
FIJI2,-16.187,173.523,1785,Samoa,-3279,796.8,137.91,35.3,10,4,3,-0.5,49.9,0.39,3,-1.6,9.72,1.34,3,-0.32,2.61,0.3,3,1,11.73,0.53,3,1,14.93,0.85,3,-0.43,1.65,0.18,0.334,0.27,0.221,0.11,,48.35,1.24,13.28,9.28,14.04,10.48,2.12,0.26,2,,,,,,,,,,,
FIJI3,-17.488,173.756,1780,Samoa,-2528.2,871.4,141.79,62.6,24,8,3,-0.5,50.68,0.54,3,-1.6,8.82,0.59,3,-0.32,2.62,0.12,3,1,12.3,0.43,3,1,15.36,0.63,3,-0.43,1.24,0.32,0.194,0.14,0.106,0.06,,49.4,0.92,14.22,8.36,12.64,11.46,2.2,0.15,3,,,,,,,,,,,
FIJI4,-19.032,173.47,1848,Samoa,-2758.2,332.9,157.65,79.3,22,4,3,-0.5,49.85,0.3,3,-1.6,10.8,0.64,3,-0.32,2.69,0.25,3,1,11.62,0.42,3,1,14.55,0.61,3,-0.43,1.65,0.24,0.121,0.05,0.129,0.04,,47.89,1.16,12.26,10.41,15.74,9.87,2.05,0.09,1,,,,,,,,,,,
