seg name,seg lat,seg lon,Distance from Hotspot,Hotspot Name,mean depth,minmax depth,length (km),spread rate,n pts,nlocs,Si method,Si slope,Si8 mean,Si8 std,Fe method,Fe slope,Fe8 mean,Fe8 std,Na method,Na slope,Na8 mean,Na8 std,Ca method,Ca slope,Ca8 mean,Ca8 std,Al method,Al slope,Al8 mean,Al8 std,Ti method,Ti slope,Ti8 mean,Ti8 std,K8 mean,K8 std,P8 mean,P8 std,,Si90,Ti90,Al90,Fe90,Mg90,Ca90,Na90,K90,+ACI-Confidence (1+AD0-best, 3+AD0- worst)+ACI-,87Sr/86Sr_conc,143Nd/144Nd_conc,206Pb/204Pb_conc,207Pb/204Pb_conc,208Pb/204Pb_conc,176Hf/177Hf_conc,,Crustal_Thickness_km,Plate_Age,Ref
PARR12,-51.95,-118.015,1589,Louisville,-2562.2,578.2,230.29,84.44,4,4,3,-0.5,50.3,0.2,3,-1.6,9.08,0.3,3,-0.32,2.57,0.09,3,1,12.39,0.24,3,1,15.37,0.06,3,-0.43,1.4,0.05,0.139,0.03,0.146,0.01,,48.95,1.05,14.03,8.65,13.08,11.39,2.13,0.11,3,,,,,,,,,,,
PARR13,-53.827,-118.078,1579,Louisville,-2629,830.3,171.02,82.9,9,4,1,-0.272,50.15,0.12,1,-1.638,10.22,0.48,1,-0.321,2.59,0.12,1,0.923,11.74,0.33,1,0.871,14.92,0.1,1,-0.434,1.62,0.1,0.079,0.03,0.139,0.01,,48.47,1.18,12.87,9.81,14.84,10.23,2.04,0.06,1,,0.702435,0.513101,18.805,15.506,38.075,,,,,
PARR15PARR16,-54.871,-121.05,1399,Louisville,-2405.3,368.5,212.34,81.31,8,3,3,-0.5,49.91,0.49,3,-1.6,9.43,0.69,3,-0.32,2.73,0.07,3,1,12.14,0.31,3,1,15.42,0.31,3,-0.43,1.53,0.21,0.121,0.02,0.147,0.01,,48.48,1.14,13.84,9.01,13.64,10.99,2.24,0.09,2,,0.70247,0.513108,,,,,,,,
PARR17,-55.097,-127.607,1002,Louisville,-2625.7,818.8,57.93,80.19,7,3,3,-0.5,50.62,0.18,3,-1.6,8.78,0.13,3,-0.32,2.94,0.02,3,1,12.32,0.1,3,1,15.42,0.09,3,-0.43,1.3,0.02,0.054,0.01,0.145,0.01,,49.36,0.98,14.27,8.32,12.59,11.49,2.49,0.04,2,,0.702352,0.513174,,,,,,,,
PARR20PARR23PARR21,-56.009,-138.797,576,Louisville,-2513.1,529.1,282.75,77.17,6,4,3,-0.5,50.45,0.36,3,-1.6,9.02,0.49,3,-0.32,2.65,0.2,3,1,12.26,0.08,3,1,15.7,0.22,3,-0.43,1.23,0.09,0.082,0.04,0.127,0,,49.11,0.9,14.37,8.58,12.98,11.31,2.21,0.06,2,,0.702561,0.513114,18.475,15.482,37.903,,,,,
PARR24,-55.969,-145.015,613,Louisville,-2718.5,845.6,68.89,75.19,6,3,3,-0.5,51.16,0.31,3,-1.6,9.54,0.64,3,-0.32,2.66,0.1,3,1,12.1,0.35,3,1,14.51,0.82,3,-0.43,1.23,0.08,0.109,0.02,0.124,0,,49.5,0.87,13,9.13,13.81,10.9,2.16,0.08,2,,,,,,,,,,,
PARR25PARR26,-56.962,-146.137,743,Louisville,-2621.3,390.6,200.64,73.85,6,3,3,-0.5,50.99,0.36,3,-1.6,10.32,0.65,3,-0.32,2.58,0.13,3,1,11.73,0.46,3,1,14.26,0.26,3,-0.43,1.46,0.2,0.063,0.02,0,0,,49.03,1.03,12.3,9.92,15.01,10.2,2.02,0.05,2,,,,,,,,,,,
PARR27PARR28,-58.5,-148.976,977,Louisville,-2440.6,473.1,275.73,71.45,4,3,3,-0.5,50.77,0.26,3,-1.6,10,0.71,3,-0.32,2.69,0.11,3,1,11.97,0.04,3,1,14.33,0.45,3,-0.43,1.45,0.23,0.107,0.04,0,0,,48.98,1.04,12.56,9.6,14.53,10.55,2.14,0.08,3,,,,,,,,,,,
PARR29PARR30,-60.949,-153.226,1338,Louisville,-2464.7,396,355.58,68.08,6,3,3,-0.5,51.03,0.32,3,-1.6,9.84,0.46,3,-0.32,2.78,0.13,3,1,11.63,0.1,3,1,14.39,0.26,3,-0.43,1.49,0.12,0.114,0.02,0,0,,49.26,1.09,12.69,9.44,14.29,10.34,2.24,0.09,2,,,,,,,,,,,
PARR39PARR38PARR35,-64.412,-170.646,1229,Balleny,-2731.3,832.2,352.38,57.84,8,6,3,-0.5,51.08,0.34,3,-1.6,10.29,0.52,3,-0.32,2.62,0.07,3,1,11.74,0.27,3,1,14.15,0.35,3,-0.43,1.45,0.11,0.055,0.02,0.124,0,,49.11,1.03,12.22,9.9,14.98,10.21,2.05,0.04,2,,0.702415,0.513119,,,,,,,,
SEIR30SEIR31,-42.286,89.693,1766,Kerguelen(Heard),-2523.8,348.9,192.37,69.04,35,3,3,-0.5,50.21,0.24,3,-1.6,9.69,0.2,3,-0.32,2.55,0.06,3,1,12.13,0.15,3,1,15.16,0.09,3,-0.43,1.54,0.06,0.116,0.01,0.118,0.02,,48.62,1.14,13.44,9.29,14.05,10.84,2.05,0.09,1,,0.703153,0.513,17.942,15.474,37.711,,,,,
SEIR32,-43.124,91.211,1826,Kerguelen(Heard),-2660,730.4,135.33,69.56,64,3,1,-0.443,50.52,0.1,1,-1.858,9.2,0.28,3,-0.32,2.63,0.15,1,0.484,11.82,0.14,1,1.29,15.4,0.15,1,-0.368,1.49,0.09,0.125,0.01,0.119,0.01,,49.18,1.16,14.19,8.64,13.07,10.67,2.18,0.1,2,,0.702971,0.513039,17.865,15.479,37.51,,,,,
SEIR33,-43.88,93.162,1928,Kerguelen(Heard),-2754,598.2,224.37,70.08,27,4,3,-0.5,50.56,0.11,3,-1.6,8.57,0.27,3,-0.32,2.91,0.18,3,1,12.24,0.24,3,1,15.52,0.13,3,-0.43,1.39,0.09,0.139,0.02,0.131,0.01,,49.39,1.06,14.51,8.09,12.24,11.54,2.49,0.11,2,,0.703177,0.51301,17.84,15.472,37.531,,,,,
SEIR34,-44.84,94.888,2009,Kerguelen(Heard),-2847.8,566.3,134.88,70.54,39,4,1,-0.44,50.63,0.14,1,-1.613,9.03,0.17,1,-0.114,2.78,0.04,1,-0.31,11.92,0.17,1,1.624,15.39,0.19,1,-0.35,1.45,0.06,0.117,0.02,0.116,0.02,,49.3,1.13,14.37,8.58,12.99,10.43,2.41,0.09,1,,0.703071,0.513014,17.876,15.481,37.534,,,,,
SEIR35,-45.124,96.075,2084,Kerguelen(Heard),-2903.2,480.5,65.98,70.76,79,3,4,-0.5,50.74,0.27,4,-1.6,8.46,0.39,4,-0.32,2.96,0.16,4,1,11.76,0.1,4,1,15.74,0.35,4,-0.43,1.37,0.06,0.22,0.1,0.122,0.02,,49.6,1.05,14.79,7.96,12.04,11.16,2.55,0.18,1,,0.703147,0.513011,17.962,15.486,37.73,,,,,
SEIR36,-46.126,95.975,2038,Kerguelen(Heard),-3244.8,519.5,53.76,70.89,4,4,3,-0.5,51.22,0.13,3,-1.6,8.96,0.06,3,-0.32,2.63,0.02,3,1,11.99,0.25,3,1,15.13,0.28,3,-0.43,1.41,0.05,0.1,0.03,0.105,0.01,,49.82,1.06,13.9,8.52,12.88,11.1,2.2,0.08,3,,0.70309,0.512963,18.494,15.519,38.25,,,,,
SEIR39,-47.836,98.313,2154,Kerguelen(Heard),-2738.3,350.2,174.34,71.39,120,6,3,-0.5,50.24,0.44,1,-2.283,8.39,0.79,1,-0.195,2.93,0.17,1,1.399,11.9,0.63,1,1.398,15.91,0.49,3,-0.43,1.5,0.19,0.286,0.13,0.151,0.03,,49.32,1.19,15.43,7.5,11.36,11.7,2.63,0.23,3,,0.703327,0.512964,17.896,15.49,37.703,,,,,
SEIR40,-47.449,100.817,2346,Kerguelen(Heard),-2827.6,581.9,96.03,71.62,30,3,3,-0.5,50.92,0.27,1,-1.459,8.69,0.15,1,-0.392,2.7,0.08,1,0.969,12.29,0.11,1,1.039,15.33,0.21,1,-0.349,1.31,0.05,0.149,0.04,0.118,0.02,,49.64,1.02,14.23,8.29,12.55,11.48,2.25,0.12,1,,0.702985,0.513003,18.122,15.486,37.921,,,6.00067,0.4,Hoggard(2017)
SEIR41,-47.826,101.971,2418,Kerguelen(Heard),-2971.7,614.9,97.18,71.76,70,4,1,-0.319,50.82,0.25,1,-1.314,8.85,0.17,1,-0.358,2.7,0.08,1,1.258,12.46,0.26,1,0.71,15.12,0.21,1,-0.61,1.31,0.08,0.156,0.05,0.134,0.03,,49.53,0.89,13.74,8.55,12.93,11.62,2.24,0.12,1,,0.702976,0.513006,18.035,15.477,37.84,,,6.36525,0.2,Hoggard(2017)
SEIR42,-47.994,103.562,2527,Kerguelen(Heard),-3067.4,1006.8,114.94,71.9,62,6,3,-0.5,51.1,0.25,3,-1.6,8.74,0.38,3,-0.32,2.72,0.2,3,1,12.18,0.27,3,1,15.27,0.37,3,-0.43,1.27,0.08,0.112,0.03,0.105,0.02,,49.81,0.94,14.18,8.27,12.51,11.4,2.31,0.09,1,,0.702899,0.51303,18.054,15.477,37.865,,,,,
SEIR43SEIR44,-48.478,104.951,2612,Kerguelen(Heard),-3276.4,544.4,91.17,72.01,38,3,3,-0.5,50.65,0.23,3,-1.6,7.86,0.83,3,-0.32,2.92,0.19,3,1,12.16,0.15,3,1,16.07,0.56,3,-0.43,1.31,0.03,0.22,0.11,0.127,0.03,,49.78,1.02,15.55,7.28,11,11.86,2.59,0.18,2,,0.702947,0.513,18.21,15.488,38.054,,,,,
SEIR47,-48.569,107.775,2810,Kerguelen(Heard),-3085.8,910.2,119.32,72.17,59,6,1,-0.255,50.95,0.21,1,-1.099,8.37,0.18,1,-0.301,3,0.08,1,1.168,12.3,0.16,1,0.457,15.57,0.13,3,-0.43,1.28,0.08,0.183,0.04,0.123,0.02,,49.84,0.96,14.28,8.14,12.31,11.65,2.58,0.15,1,,0.702965,0.512984,18.315,15.501,38.297,,,,,
SEIR49,-49.611,109.727,2917,Kerguelen(Heard),-3570.7,1149.3,177.34,72.25,11,4,3,-0.5,50.51,0.86,3,-1.6,8.17,0.57,3,-0.32,2.89,0.14,3,1,11.61,0.44,3,1,16.35,0.81,3,-0.43,1.32,0.1,0.268,0.16,0.146,0.05,,49.52,1.02,15.57,7.64,11.56,11.18,2.52,0.22,2,,0.703171,0.512974,18.112,15.504,38.131,,,5.2085,0.1,Hoggard(2017)
SEIR51,-50.176,111.977,2795,Australia,-3384,1079.7,98.86,72.28,106,5,3,-0.5,50.69,0.14,3,-1.6,9.04,0.74,3,-0.32,2.86,0.16,3,1,11.86,0.44,3,1,15.34,0.4,3,-0.43,1.45,0.15,0.117,0.03,0.118,0.02,,49.31,1.09,14.05,8.59,13,10.97,2.39,0.09,2,,0.702816,0.51305,17.922,15.459,37.76,,,,,
SEIR52,-50.286,113.352,2706,Australia,-3435.1,850.7,81.24,72.27,73,4,3,-0.5,50.44,0.25,3,-1.6,8.87,0.63,3,-0.32,2.81,0.08,3,1,11.9,0.5,3,1,15.45,0.25,3,-0.43,1.6,0.29,0.167,0.03,0.146,0.02,,49.17,1.23,14.25,8.41,12.72,11.09,2.37,0.13,2,,0.702942,0.513018,17.972,15.454,37.778,,,,,
SEIR53,-49.959,114.951,2586,Australia,-4301.5,610.7,87.45,72.24,13,3,1,-0.596,51.19,0.1,1,-0.735,8.41,0.09,1,-0.456,2.97,0.09,1,0.378,11.28,0.14,1,0.7,15.89,0.12,1,-0.231,1.43,0.02,0.154,0.02,0.128,0.02,,49.8,1.17,14.52,8.39,12.69,10.26,2.46,0.12,2,,0.703113,0.513013,17.915,15.469,37.913,,,4.577,0.2,Hoggard(2017)
SEIR56SEIR57,-49.408,117.045,2423,Australia,-4576.2,799.2,66.66,72.19,17,2,3,-0.5,51.77,0.5,1,-1.013,7.22,0.31,3,-0.32,3.42,0.19,1,1.34,11.24,0.25,3,1,16.52,0.56,1,-0.152,1.19,0.04,0.198,0.11,0.125,0.02,,51,1.06,16.21,6.9,10.43,11.34,3.1,0.17,2,,0.703313,0.512995,17.699,15.483,37.716,,,,,
SEIR65,-48.975,124.529,1917,Australia,-4189.6,2870.5,86.57,71.65,15,4,3,-0.5,51.52,0.68,3,-1.6,7.53,0.63,3,-0.32,3.32,0.23,3,1,10.85,0.27,3,1,16.51,0.52,3,-0.43,1.21,0.1,0.207,0.17,0.171,0.02,,50.76,0.95,16.2,6.91,10.44,10.8,3.01,0.17,2,,0.703143,0.512971,17.906,15.474,37.741,0.28316,,,,
SEIR67,-48.75,126.922,1759,Australia,-4318.7,1058.3,89.15,71.38,21,4,3,-0.5,50.65,0.31,1,-0.542,8.71,0.14,3,-0.32,3.09,0.13,1,0.442,11.62,0.12,1,-0.015,15.82,0.18,1,-0.169,1.41,0.03,0.08,0.02,0.137,0.01,,49.19,1.16,13.87,8.82,13.34,10.39,2.57,0.06,2,,0.702621,0.513074,18.416,15.474,38.04,0.28317,,4.346,,Hoggard(2017)
SEIR68,-50.16,127.569,1822,Australia,-3410,409.6,86.37,71.24,15,8,3,-0.5,50.03,0.61,3,-1.6,9.97,0.55,3,-0.32,2.91,0.25,1,0.884,11.54,0.28,1,1.347,15.02,0.36,3,-0.43,1.87,0.24,0.085,0.04,0.172,0.04,,48.37,1.39,13.29,9.57,14.48,10.15,2.34,0.06,2,,0.702556,0.513071,18.688,15.491,38.187,0.28315,,,,
SEIR69,-50.302,129.733,1724,Australia,-3159.8,632.8,212.09,70.93,11,4,3,-0.5,50.2,0.36,3,-1.6,9.95,0.6,3,-0.32,2.53,0.1,3,1,11.92,0.16,3,1,14.9,0.31,3,-0.43,1.73,0.24,0.094,0.01,0.172,0.02,,48.52,1.28,13.07,9.55,14.44,10.53,2.01,0.07,2,,0.702623,0.513082,18.699,15.5,38.21,0.28313,,,,
SEIR71SEIR70,-50.234,134.835,1506,Australia,-2842.9,544.4,433.7,70.07,44,3,3,-0.5,49.6,0.22,3,-1.6,9.76,0.37,3,-0.32,2.79,0.18,3,1,12.13,0.17,3,1,15.36,0.35,3,-0.43,1.6,0.06,0.098,0.02,0.148,0.02,,48.07,1.19,13.58,9.37,14.17,10.8,2.25,0.07,2,,0.702561,0.513098,,,,,,7.32333,,Hoggard(2017)
SWIR1SWIR2,-54.183,4.449,161,Bouvet,-3021.4,2025.2,187.58,13.57,11,2,3,-0.5,49.53,0.27,3,-1.6,9.46,0.36,3,-0.32,2.61,0.07,3,1,12.05,0.09,3,1,16.05,0.11,3,-0.43,1.45,0.04,0.132,0.07,0.142,0.01,,48.12,1.07,14.36,9.05,13.69,10.89,2.13,0.1,3,,0.702981,0.512504,18.72,15.223,37.86,,,,,
SWIR4,-52.878,10.422,571,Bouvet,-3797.3,1315.9,63.82,13.74,17,3,1,-0.328,49.4,0.17,1,-1.692,7.71,0.57,1,-0.244,3.44,0.18,2,-0.031,10.41,0.58,1,1.248,17.05,0.42,1,-0.425,1.6,0.17,0.501,0.13,0.288,0.05,,48.45,1.43,15.28,8.08,12.22,9.3,3.08,0.45,2,,,,,,,,,,,
SWIR5.,-52.841,11.307,630,Bouvet,-2457.9,1674.4,53.01,13.77,23,5,1,-0.024,49.95,0.21,1,-1.218,7.86,0.35,3,-0.32,3.15,0.1,1,1.211,12.8,0.31,1,0.383,15.81,0.11,3,-0.43,1.28,0.09,0.364,0.04,0.202,0.02,,49.27,0.99,14.86,7.51,11.36,12.44,2.78,0.3,2,,,,,,,,,,,
SWIR7SWIR6,-52.582,12.52,716,Bouvet,-4247.4,1270.9,85.14,13.8,17,3,3,-0.5,49.47,0.39,3,-1.6,7.9,0.8,3,-0.32,3.27,0.21,3,1,11.29,0.51,3,1,16.96,0.2,3,-0.43,1.43,0.14,0.36,0.12,0.214,0.02,,48.68,1.13,16.33,7.32,11.07,11.04,2.9,0.3,2,,,,,,,,,,,
SWIR8,-52.335,13.628,796,Bouvet,-3903.7,1192.3,101.48,13.83,55,3,3,-0.5,50.59,0.4,3,-1,7.34,0.24,3,-0.1,3.79,0.23,3,-0.38,9.97,0.12,3,1.3,17.2,0.42,3,-0.2,1.5,0.06,0.368,0.12,0.21,0.03,,49.83,1.33,16.9,7.04,10.64,9.26,3.54,0.31,3,,,,,,,,,,,
SWIR9.,-52.204,14.607,864,Bouvet,-3599.7,1303.5,35.93,13.86,41,5,3,-0.5,49.54,0.29,3,-1,6.34,0.25,3,-0.1,3.31,0.17,3,-0.38,10.36,0.46,3,1.3,17.62,0.44,3,-0.2,1.49,0.06,0.791,0.05,0.257,0.04,,49.21,1.38,18.09,5.88,8.91,10.07,3.22,0.69,3,,0.70352,0.512837,19.254,15.642,39.305,,,,,
SWIR11,-52.253,15.966,950,Bouvet,-3978.7,628.4,46.76,13.92,14,4,3,-0.5,49.89,0.3,3,-1.6,8.56,0.76,3,-0.32,3.02,0.13,3,1,11.27,0.35,3,1,16.17,0.41,3,-0.43,1.68,0.14,0.297,0.07,0.196,0.05,,48.8,1.32,15.13,8.07,12.2,10.68,2.59,0.24,2,,,,,,,,,,,
SWIR13,-52.413,17.321,1033,Bouvet,-3656.8,1144.6,71.69,13.97,28,4,1,-0.311,49.7,0.14,1,-1.1,9.5,0.18,1,-0.369,3.1,0.07,1,0.814,11.22,0.32,1,0.853,15.91,0.09,1,-0.296,1.69,0.08,0.179,0.06,0.175,0.02,,48.24,1.32,13.98,9.36,14.16,9.95,2.5,0.14,1,,0.70248,0.513056,19.045,15.557,38.554,,,,,
SWIR15,-52.767,19.376,1158,Bouvet,-3753.8,1398.4,76.77,14.05,41,4,1,-0.796,49.76,0.26,1,-1.175,9.41,0.56,1,-0.17,3.31,0.07,1,-0.003,10.77,0.2,1,1.113,16,0.42,1,-0.309,1.72,0.09,0.16,0.04,0.161,0.02,,48.13,1.35,14.27,9.21,13.93,9.28,2.78,0.12,1,,,,,,,,,,,
SWIR16,-52.892,20.361,1219,Bouvet,-3848.9,992.2,43.29,14.08,14,3,3,-0.5,49.91,0.16,3,-1.6,9.16,0.21,3,-0.32,3.17,0.08,3,1,11.27,0.28,3,1,15.97,0.34,3,-0.43,1.64,0.06,0.127,0.03,0.156,0.01,,48.57,1.25,14.51,8.73,13.2,10.37,2.65,0.1,2,,,,,,,,,,,
SWIR17,-52.964,21.092,1265,Bouvet,-4118.5,823.3,49.59,14.1,33,3,3,-0.5,50.01,0.26,3,-1.6,9.06,0.26,3,-0.32,3.31,0.18,3,1,11.18,0.21,3,1,15.94,0.22,3,-0.43,1.64,0.08,0.122,0.01,0.151,0.01,,48.7,1.26,14.55,8.63,13.05,10.34,2.79,0.1,1,,,,,,,,,,,
SWIR18,-53.011,21.887,1315,Bouvet,-4144.6,310.6,45.78,14.13,14,3,1,-0.522,50.3,0.13,1,-1.346,8.94,0.22,1,-0.06,3.32,0.06,1,-0.201,10.99,0.16,1,1.31,16.04,0.11,1,-0.403,1.63,0.06,0.125,0.01,0.15,0.01,,48.95,1.26,14.77,8.63,13.06,9.63,2.91,0.1,1,,,,,,,,,,,
SWIR19,-53.118,22.739,1280,Marion,-3661.8,632.5,63.38,14.15,48,7,1,-0.251,50.38,0.17,1,-1.459,8.79,0.17,1,-0.353,3.23,0.07,1,0.804,11.07,0.25,1,1.194,16.13,0.19,1,-0.444,1.56,0.05,0.123,0.03,0.147,0.01,,49.22,1.2,14.94,8.41,12.72,10.25,2.73,0.1,1,,0.70256,0.513101,18.418,15.492,37.965,,,,,
SWIR21SWIR20,-53.4,24.206,1209,Marion,-3980.6,1097.2,113.87,14.2,14,2,3,-0.5,50.25,0.13,3,-1.6,8.87,0.14,3,-0.32,3.2,0.09,3,1,11.09,0.26,3,1,16.36,0.08,3,-0.43,1.45,0.1,0.101,0.03,0.119,0.03,,49,1.1,15.07,8.41,12.72,10.35,2.72,0.08,3,,,,,,,,,,,
SWIR26SWIR27b,-44.652,36.835,276,Marion,-2466.1,2520.3,194.58,14.38,3,3,3,-0.5,49.51,0.75,3,-1.6,10.76,1.24,3,-0.32,2.56,0.07,3,1,11.71,0.53,3,1,15.06,0.29,3,-0.43,1.44,0.09,0.154,0.03,0.179,0,,47.65,1,12.7,10.35,15.65,9.98,1.96,0.11,3,,0.7028,0.513041,18.237,15.499,37.976,,,,,
SWIR29b,-43.878,40.967,417,Marion,-2801.8,1994.1,87.35,14.43,3,3,3,-0.5,49.53,0.59,3,-1.6,9.81,0.77,3,-0.32,2.7,0.08,3,1,11.54,0.48,3,1,15.9,0.35,3,-0.43,1.47,0.09,0.175,0.04,0.216,0.03,,48,1.07,14,9.4,14.22,10.3,2.17,0.13,3,,0.70487,0.512168,16.804,15.408,37.088,,,,,
SWIR30b,-43.383,39.864,428,Marion,-3097.1,1793.2,85.71,14.42,4,4,3,-0.5,50.15,0.56,3,-1.6,9.51,0.36,3,-0.32,2.95,0.47,3,1,10.9,0.87,3,1,15.9,0.14,3,-0.43,1.31,0.12,0.27,0.11,0.175,0.03,,48.64,0.95,14.2,9.1,13.77,9.88,2.42,0.21,3,,0.70399,0.512785,17.152,15.418,37.318,,,,,
SWIR47SWIR48b,-34.037,55.84,1317,Crozet/Pr.,-3666.6,1652.9,177.08,14.33,12,3,3,-0.5,49.81,0.56,3,-1.6,10.68,0.58,3,-0.32,3.01,0.13,3,1,10.73,0.7,3,1,15.01,0.77,3,-0.43,1.89,0.27,0.116,0.02,0.189,0.02,,47.89,1.37,12.7,10.29,15.57,9.21,2.33,0.08,2,,0.70269,,,,,,,,,
SWIR52SWIR53b,-30.638,59.748,1135,Reunion,-4570.8,1278.5,187.98,14.21,4,4,3,-0.5,49.38,0.38,3,-1.6,9.93,0.71,3,-0.32,3.55,0.18,3,1,10.41,0.51,3,1,16.2,0.86,3,-0.43,1.55,0.2,0.17,0.06,0.187,0.03,,47.82,1.13,14.19,9.53,14.42,9.27,2.87,0.13,2,,,,,,,,,,,
SWIR59,-27.875,64.012,1114,Reunion,-4204.6,2128.2,70.09,14.01,4,3,4,-0.5,49.9,1.13,4,-1.6,8.76,1.2,4,-0.32,3.6,0.27,4,1,10.26,0.27,4,1,17.57,0.59,4,-0.43,1.1,0.21,0.157,0.08,0.138,0.07,,48.77,0.8,16.23,8.24,12.48,9.71,3.1,0.11,3,,,,,,,,,,,
SWIR67SWIR66,-26.29,68.365,1389,Reunion,-4302.2,1632.5,263.89,13.71,20,2,3,-0.5,50.3,0.15,3,-1.6,8.07,0.55,3,-0.32,3.72,0.25,3,1,10.58,0.35,3,1,16.88,0.47,3,-0.43,1.48,0.08,0.177,0.03,0.17,0.01,,49.37,1.17,16.13,7.52,11.37,10.28,3.31,0.15,1,,0.70284,0.513045,,,,,,,,
,16.4075,41.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88,,
,-45.7825,-76.8065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7245,,
,22.08,-108.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.112,,
,27.346,-111.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.584,,
,-3.2795,-102.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.317,,
,-4.9285,-106.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,
,27.0255,-111.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.291,,
,26.222,-110.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.20767,,
,25.445,-109.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.547,,
,85.956,25.9275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,
,84.903,7.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,
,43.771,-128.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.187,,
,48.532,-129.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1275,,
,48.181,-128.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.504,,
,-4.318,-12.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.139,,
,-4.862,-12.3825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.973,,
,-5.3965,-11.3825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24867,,
,-7.8155,-13.4445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.253,,
,-8.774,-13.4385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35275,,
,79.337,3.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8295,,
,77.665,7.5725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.387,,
,76.6425,3.1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1524,,
,-37.648,50.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.863,,
,-27.5755,66.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30533,,
,-21.835,-176.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.926,,
,-22.44,-176.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62433,,
,-10.091,153.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.077,,
, , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,
a +AD0- segment value includes unpublished major element data from Escrig et al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b +AD0- segment value includes unpublished major element data from the thesis of Antoine B+//0Aw//9AKk-zos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,
Specific header information:, , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,
All 8- and 90-values given in wt. +ACU- oxides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
